
[00:00:00.000 --> 00:00:01.640]  考試就快到啦
[00:00:01.640 --> 00:00:06.700]  在全班裡面,每一位同學都在掛著貼題目
[00:00:06.700 --> 00:00:09.460]  「捉下老師會出什麼題目」
[00:00:09.460 --> 00:00:11.920]  突然間,波仔就這樣說
[00:00:11.920 --> 00:00:15.480]  他說呢,有四條題目,老師一定出的
[00:00:15.480 --> 00:00:19.640]  波仔這個說話呢,就吸引到全班的注意力了
[00:00:19.640 --> 00:00:22.640]  難道他有秘密貼士?
[00:00:22.640 --> 00:00:24.940]  於是,大家都圍著波仔
[00:00:24.940 --> 00:00:28.100]  「究竟這四條題目,是什麼題目呢?」
[00:00:28.100 --> 00:00:30.100]  波仔就這樣說
[00:00:30.100 --> 00:00:35.820]  「這四條題目就是,姓名、班別、考生編號和日期」
[00:00:35.820 --> 00:00:36.700]  (驕傲的叫聲)
[00:00:36.700 --> 00:00:37.900]  大家都散了
[00:00:37.900 --> 00:00:41.220]  考試的成績表就快出了
[00:00:41.220 --> 00:00:45.820]  一出了,媽媽一問,就問隔壁
[00:00:45.820 --> 00:00:49.580]  「究竟David拿到多少分,我兒子又拿到多少分呢?」
[00:00:49.580 --> 00:00:54.180]  問一問David,都要說「我拿到95分」
[00:00:54.180 --> 00:00:57.180]  於是媽媽回家就問Peter仔
[00:00:57.180 --> 00:01:02.380]  「Peter仔,隔壁David拿到95分,你究竟拿到多少分呢?」
[00:01:02.380 --> 00:01:05.260]  那麼Peter仔就說
[00:01:05.260 --> 00:01:08.300]  「我比他多了一點」
[00:01:08.300 --> 00:01:12.020]  媽媽就很開心,「難道你拿到96分?」
[00:01:12.020 --> 00:01:14.020]  Peter仔就說「不是啊」
[00:01:14.020 --> 00:01:23.300]  「我講得這麼文雅的原因,就是我真的比他多了一點,就是9.5分」
[00:01:23.300 --> 00:01:28.140]  對於很多人來說,考試是代表壓力、競爭
[00:01:28.140 --> 00:01:33.980]  上星期DSE開考,大家都開始感受到那種壓力了
[00:01:33.980 --> 00:01:37.860]  政府都呼籲大家要彈性上班時間
[00:01:37.860 --> 00:01:40.860]  不要阻礙考生去市場
[00:01:40.860 --> 00:01:42.980]  大家都感受到那種壓力
[00:01:42.980 --> 00:01:46.700]  但是你喜不喜歡考試呢?
[00:01:46.700 --> 00:01:48.500]  無論你喜不喜歡也好
[00:01:48.500 --> 00:01:53.140]  似乎考試都是人生中無法逃避、無法避免的
[00:01:53.140 --> 00:01:56.540]  因為考試可能決定你能不能入大學
