
[00:00:00.000 --> 00:00:05.300]  今天講一個比喻
[00:00:05.300 --> 00:00:08.300]  今天我們講一個比喻
[00:00:08.300 --> 00:00:14.700]  通常耶穌講的比喻就是這樣講的
[00:00:14.700 --> 00:00:18.000]  天國就好像什麼什麼
[00:00:18.000 --> 00:00:20.200]  通常耶穌去講比喻他都會說
[00:00:20.200 --> 00:00:22.500]  天國好像什麼什麼
[00:00:22.500 --> 00:00:25.500]  但是這個比喻就不同
[00:00:25.500 --> 00:00:29.900]  但是這個比喻就有點不一樣
[00:00:29.900 --> 00:00:35.100]  我們用的是舊版的和合本
[00:00:35.100 --> 00:00:38.100]  我們用的是舊版的和合本聖經
[00:00:38.100 --> 00:00:42.100]  新版的和合本聖經呢?修訂本呢?
[00:00:42.100 --> 00:00:46.100]  新版的和合本聖經修訂本呢?
[00:00:46.100 --> 00:00:50.100]  他將上面那一句放在下面
[00:00:50.100 --> 00:00:54.100]  他說有一件事你們的意見如何?
[00:00:54.100 --> 00:00:56.100]  這裏沒有的
[00:00:56.100 --> 00:00:58.100]  舊版都沒有
[00:00:58.100 --> 00:01:01.100]  有一件事你們的意見如何?
[00:01:01.100 --> 00:01:03.600]  通常耶穌不是這樣講的
[00:01:03.600 --> 00:01:05.600]  通常耶穌不是這樣說
[00:01:05.600 --> 00:01:08.600]  通常講一個故事天國好像什麼什麼
[00:01:08.600 --> 00:01:11.100]  他通常會講一個故事天國好像什麼什麼
[00:01:11.100 --> 00:01:13.100]  這個比喻就厲害了
[00:01:13.100 --> 00:01:15.100]  那個比喻就很厲害了
[00:01:15.100 --> 00:01:17.100]  通常我講到呢?牧師講到呢?
[00:01:17.100 --> 00:01:19.100]  通常我講到呢?牧師講到呢?
[00:01:19.100 --> 00:01:21.100]  通常我講到呢?牧師講到呢?
[00:01:21.100 --> 00:01:23.100]  通常我講到呢?牧師講到呢?
[00:01:23.100 --> 00:01:26.100]  各位弟兄姐妹你們覺得這個題目有什麼意見嗎?
[00:01:26.100 --> 00:01:28.100]  如果要這樣講呢?
[00:01:28.100 --> 00:01:30.100]  如果要這樣說
[00:01:30.100 --> 00:01:32.100]  一定是一個很難的處境
[00:01:32.100 --> 00:01:34.100]  一定是一個很難的處境
[00:01:34.100 --> 00:01:36.100]  很難出口的說話
[00:01:36.100 --> 00:01:38.100]  一個很難講出口的話
[00:01:38.100 --> 00:01:40.100]  一定會得罪人的說話
[00:01:40.100 --> 00:01:42.100]  那你有什麼意見呢?
[00:01:42.100 --> 00:01:44.100]  耶穌其實不是怕得罪人
[00:01:44.100 --> 00:01:46.100]  耶穌其實並不是怕得罪人
[00:01:46.100 --> 00:01:51.100]  他是希望在座聽著他講這個比喻的人
[00:01:51.100 --> 00:01:53.100]  自己來判斷
[00:01:53.100 --> 00:01:55.100]  他是希望在座聽他講這個比喻的人
[00:01:55.100 --> 00:01:57.100]  自己來判斷
[00:01:57.100 --> 00:01:59.100]  希望聖靈直指他們的心靈
[00:01:59.100 --> 00:02:02.100]  讓他們看到他們自己的處境
[00:02:02.100 --> 00:02:04.100]  用聖靈直擊他們內心的心靈
