
[00:00:00.000 --> 00:00:04.960]  所以我們現在要開始看看John 21
[00:00:04.960 --> 00:00:08.960]  就是John的福音書的最後一章
[00:00:08.960 --> 00:00:17.460]  (中文翻譯)
[00:00:17.460 --> 00:00:24.400]  我想大家想像有兩個人
[00:00:24.400 --> 00:00:28.640]  第一個人說
[00:00:28.640 --> 00:00:32.640]  (中文翻譯)
[00:00:32.640 --> 00:00:35.240]  如果我很勤力地做工
[00:00:35.240 --> 00:00:38.240]  神就會原諒我、愛我
[00:00:38.240 --> 00:00:42.240]  第二個人就這麼說
[00:00:42.240 --> 00:00:44.840]  (中文翻譯)
[00:00:44.840 --> 00:00:46.840]  我知道神愛我
[00:00:46.840 --> 00:00:49.640]  (中文翻譯)
[00:00:49.640 --> 00:00:51.840]  這樣就令我更加愛祂
[00:00:51.840 --> 00:00:55.240]  也讓我更加想服侍祂
[00:00:55.240 --> 00:00:58.240]  (中文翻譯)
[00:00:58.240 --> 00:01:02.240]  這是兩種截然不同的生活方式
[00:01:02.240 --> 00:01:08.240]  (中文翻譯)
[00:01:08.240 --> 00:01:10.240]  很多人認為跟隨耶穌
[00:01:10.240 --> 00:01:13.240]  就好像是第一個人的方式
[00:01:13.240 --> 00:01:16.240]  (中文翻譯)
[00:01:16.240 --> 00:01:18.240]  很勤力地服侍神
[00:01:18.240 --> 00:01:20.240]  (中文翻譯)
[00:01:20.240 --> 00:01:22.240]  做一個更加好的人
[00:01:22.240 --> 00:01:23.240]  (中文翻譯)
[00:01:23.240 --> 00:01:25.240]  盡量不要失敗
[00:01:25.240 --> 00:01:27.240]  (中文翻譯)
[00:01:27.240 --> 00:01:32.240]  或者神就會不斷地繼續愛我
[00:01:32.240 --> 00:01:35.240]  (中文翻譯)
[00:01:35.240 --> 00:01:39.240]  當我們繼續讀約翰福音21章的時候
[00:01:39.240 --> 00:01:45.240]  (中文翻譯)
[00:01:45.240 --> 00:01:47.240]  祂告訴我們
[00:01:47.240 --> 00:01:52.240]  被耶穌基督認識、被祂愛、被祂饒恕
[00:01:52.240 --> 00:01:55.240]  (中文翻譯)
[00:01:55.240 --> 00:01:57.240]  這是服侍的首要條件
[00:01:57.240 --> 00:02:01.240]  (中文翻譯)
[00:02:01.240 --> 00:02:03.240]  這一切都是
[00:02:03.240 --> 00:02:06.240]  始於來到耶穌基督面前回答祂的問題
[00:02:06.240 --> 00:02:07.240]  (中文翻譯)
[00:02:07.240 --> 00:02:09.240]  祢愛我嗎?
[00:02:09.240 --> 00:02:10.240]  (中文翻譯)
[00:02:10.240 --> 00:02:11.240]  然後
[00:02:11.240 --> 00:02:14.240]  (中文翻譯)
[00:02:14.240 --> 00:02:16.240]  餵羊、牧養我的羊
[00:02:16.240 --> 00:02:18.240]  (中文翻譯)
[00:02:18.240 --> 00:02:20.240]  來跟從我
[00:02:20.240 --> 00:02:22.240]  (中文翻譯)
[00:02:22.240 --> 00:02:32.240]  今天我們將以一種略為不同的方式來探討這段經文
[00:02:32.240 --> 00:02:40.240]  (中文翻譯)
[00:02:40.240 --> 00:02:46.240]  我將以我帶領大學生學習這段聖經的經文的方式
[00:02:46.240 --> 00:02:49.240]  來帶領大家一起去理解
[00:02:49.240 --> 00:02:51.240]  (中文翻譯)
[00:02:51.240 --> 00:02:55.240]  我會用五個簡單的詞語
[00:02:55.240 --> 00:02:58.240]  (中文翻譯)
[00:02:58.240 --> 00:02:59.240]  複述
[00:02:59.240 --> 00:03:01.240]  (中文翻譯)
[00:03:01.240 --> 00:03:03.240]  反應
[00:03:03.240 --> 00:03:04.240]  (中文翻譯)
[00:03:04.240 --> 00:03:05.240]  揭示
[00:03:05.240 --> 00:03:06.240]  (中文翻譯)
[00:03:06.240 --> 00:03:07.240]  原因
[00:03:07.240 --> 00:03:08.240]  (中文翻譯)
[00:03:08.240 --> 00:03:09.240]  回應
[00:03:09.240 --> 00:03:15.240]  (中文翻譯)
[00:03:15.240 --> 00:03:22.240]  複述就是用你自己的話將我們剛剛讀過的故事再重新講一遍
[00:03:22.240 --> 00:03:31.240]  (中文翻譯)
[00:03:31.240 --> 00:03:37.240]  反應就是我們對耶穌有些什麼樣的反應
[00:03:37.240 --> 00:03:41.240]  (中文翻譯)
[00:03:41.240 --> 00:03:46.240]  揭示就是在這段經文裡揭示了關於耶穌的一些什麼事情
[00:03:46.240 --> 00:03:51.240]  (中文翻譯)
[00:03:51.240 --> 00:03:58.240]  原因就是約翰為什麼一定要將這個相遇寫進他的福音書裡
[00:03:58.240 --> 00:04:02.240]  (中文翻譯)
[00:04:02.240 --> 00:04:06.240]  回應就是我們應該要怎樣回應這段經文這段教訓
