
[00:00:00.000 --> 00:00:02.280]  見證基督的新時代
[00:00:02.280 --> 00:00:04.360]  由史林傳第二章開始
[00:00:04.360 --> 00:00:05.880]  我們一齊再次禱告
[00:00:05.880 --> 00:00:08.520]  求神引領我們明白祂的話語
[00:00:08.520 --> 00:00:10.120]  我們一齊祈禱
[00:00:10.120 --> 00:00:15.800]  慈悲人 我的天父
[00:00:15.800 --> 00:00:18.320]  我們感謝你因為當基督
[00:00:18.320 --> 00:00:20.320]  祂來到地上
[00:00:20.320 --> 00:00:23.320]  祂將天國近料的信息告訴我們
[00:00:23.320 --> 00:00:26.320]  這個天國對我們何等的寶貴
[00:00:26.320 --> 00:00:28.200]  因為你有永恆的計劃
[00:00:28.200 --> 00:00:31.200]  要成就在地上
[00:00:31.200 --> 00:00:34.000]  今天我們在教會
[00:00:34.000 --> 00:00:36.000]  我們領受你的使命
[00:00:36.000 --> 00:00:38.000]  和你指教我們
[00:00:38.000 --> 00:00:41.400]  怎樣仰望從你而來的能力
[00:00:41.400 --> 00:00:42.400]  好像聖經所說
[00:00:42.400 --> 00:00:44.800]  但聖靈要在我們當中
[00:00:44.800 --> 00:00:47.800]  要降臨在我們教會頂尖的身上
[00:00:47.800 --> 00:00:49.600]  我們能夠得著能力
[00:00:49.600 --> 00:00:53.000]  在任何的地方為你作見證
[00:00:53.000 --> 00:00:54.400]  聽我們同心禱告
[00:00:54.400 --> 00:00:56.400]  奉耶穌基督的聖名
[00:00:58.800 --> 00:01:00.800]  我們看一看聖經
[00:01:00.800 --> 00:01:03.200]  在經文裏面 我們讀一讀
[00:01:03.200 --> 00:01:05.800]  剛才讀了 我們看一看
[00:01:05.800 --> 00:01:08.800]  二章第一節是五旬節的時候
[00:01:08.800 --> 00:01:10.800]  五旬節就是如月節之後
[00:01:10.800 --> 00:01:12.800]  過了七個星期
[00:01:12.800 --> 00:01:14.200]  七七四十九
[00:01:14.200 --> 00:01:15.600]  然後去到第五十日
[00:01:15.600 --> 00:01:17.600]  就是五旬節的時間
[00:01:17.600 --> 00:01:19.200]  五旬就是五十
[00:01:19.200 --> 00:01:21.000]  所以如月節開始計
[00:01:21.000 --> 00:01:22.800]  由如月節的第一日開始計
[00:01:22.800 --> 00:01:24.000]  七個星期
[00:01:24.000 --> 00:01:26.200]  有七七四十九日
[00:01:26.200 --> 00:01:28.600]  所以五旬節又叫七七節
[00:01:28.600 --> 00:01:30.200]  在這一日
