
[00:00:00.000 --> 00:00:06.400]  主律大英姊妹,長輩們平安?
[00:00:06.400 --> 00:00:18.000]  我不知道你們記不記得,上一次我和你們分享那時在哪一卷書,記得嗎?
[00:00:18.000 --> 00:00:24.600]  在哪裏?都學壓軸書,那時我和你們,如果你們記得是厲害的
[00:00:24.600 --> 00:00:28.900]  因為那時是去年六月
[00:00:28.900 --> 00:00:36.300]  六月那時,所以那時我和你們分享是我們面對試煉
[00:00:36.300 --> 00:00:44.300]  所以面對試煉,那時我們重溫一下
[00:00:44.300 --> 00:00:59.600]  那時,我們要大喜樂,要爭個信心,我們要有一個成功的忍耐
[00:00:59.600 --> 00:01:11.800]  就是這三個條件,壓軸書是給一些仇人,因為他們被迫分散去不同的地方
[00:01:11.800 --> 00:01:16.000]  所以他們在不同的地方,壓軸書寫信鼓勵他們
[00:01:16.000 --> 00:01:21.300]  鼓勵他們和他們面對這樣的苦難,那時給他們試煉
[00:01:21.300 --> 00:01:27.800]  試煉當中,你要大喜樂,大喜樂也很難,又要大喜樂
[00:01:27.800 --> 00:01:39.000]  大喜樂就是你要真正的喜樂,你要個信心,你要一個忍耐,這個忍耐要成功的
[00:01:39.000 --> 00:01:49.600]  所以這個意思就是,你的成功就是被你成全,緩避和毫無缺缺,就是不會少的
[00:01:49.600 --> 00:02:02.000]  壓軸書這樣鼓勵,就是一個信徒,他的生命要經歷一個試煉
[00:02:02.000 --> 00:02:05.000]  他就會達到成熟的地步
[00:02:05.000 --> 00:02:13.000]  所以一個人他的生命,不是說我的生命要提升,我的生命也好,我的靈性也好
[00:02:13.000 --> 00:02:25.000]  有時神會給我們經歷一些苦難,或一些我們不想要,但神給我們經歷的時候
[00:02:25.000 --> 00:02:30.500]  我們就知道,其實他是鍛煉我們成熟的地步
[00:02:30.500 --> 00:02:38.500]  我們知道我們在順境順利的時候,其實我們很難,我們會這樣
[00:02:38.500 --> 00:02:46.000]  我們會說,神今天給我好工作,今天好夥伴,什麼都好這樣
