
[00:00:00.000 --> 00:00:03.380]  來到年尾聖誕節的月份
[00:00:03.380 --> 00:00:06.960]  今天很想和大家說一個聖誕節的故事
[00:00:06.960 --> 00:00:08.460]  可能是一個大家都很熟悉
[00:00:08.460 --> 00:00:11.060]  聽了很多次的經文
[00:00:11.060 --> 00:00:15.020]  但我期望我們慢慢看
[00:00:15.020 --> 00:00:21.420]  我估計我相信今天的分享
[00:00:21.420 --> 00:00:23.820]  可能有些事情是你沒有聽過的
[00:00:23.820 --> 00:00:25.600]  我估計今天的分享
[00:00:25.600 --> 00:00:28.140]  仍然對我們有很多提醒
[00:00:28.140 --> 00:00:30.720]  我們一起祈禱
[00:00:30.720 --> 00:00:33.000]  主多謝祢賜下祢的聖言
[00:00:33.000 --> 00:00:35.120]  祢賜下很多的書卷
[00:00:35.120 --> 00:00:36.940]  祢賜下祢的話語
[00:00:36.940 --> 00:00:38.280]  祢讓那些話語
[00:00:38.280 --> 00:00:42.400]  不單止在當時對當時的聽眾
[00:00:42.400 --> 00:00:44.480]  帶來生命的轉化
[00:00:44.480 --> 00:00:46.960]  今天仍然要轉化弟兄姊妹的生命
[00:00:46.960 --> 00:00:48.320]  就是現在坐在這裏
[00:00:48.320 --> 00:00:51.140]  聆聽你話語的一班門徒
[00:00:51.140 --> 00:00:52.320]  求祢與我們同在
[00:00:52.320 --> 00:00:54.440]  祝福給我們受教的心
[00:00:54.440 --> 00:00:55.720]  聆聽的耳朵
[00:00:55.720 --> 00:00:57.560]  以致我們聽得盡
[00:00:57.560 --> 00:01:02.360]  亦願意被聖經的話語去改變我們
[00:01:02.360 --> 00:01:03.020]  祈禱交堂
[00:01:03.020 --> 00:01:04.600]  是奉耶穌基督的名祈求
[00:01:04.600 --> 00:01:05.980]  Amen
[00:01:05.980 --> 00:01:09.180]  今天要講到的題目叫「基督章林」
[00:01:09.180 --> 00:01:10.960]  為何叫「基督章林」呢?
[00:01:10.960 --> 00:01:13.540]  因為我很想講「章林奇」
[00:01:13.540 --> 00:01:15.440]  有沒有人聽過「章林奇」?
[00:01:15.440 --> 00:01:16.400]  不是很多
[00:01:16.400 --> 00:01:18.600]  同福不是一間禮儀的教會
[00:01:18.600 --> 00:01:20.500]  我們只知道有復活節
[00:01:20.500 --> 00:01:22.060]  有聖誕節
[00:01:22.060 --> 00:01:23.360]  有壽苦節
[00:01:23.360 --> 00:01:25.640]  但其實一些傳統一點
[00:01:25.640 --> 00:01:27.640]  或者比較著重禮儀的教會
[00:01:27.640 --> 00:01:29.520]  還有很多不同的節日
[00:01:29.520 --> 00:01:31.520]  而「章林奇」是甚麼呢?
[00:01:31.520 --> 00:01:33.060]  英文是advent
[00:01:33.060 --> 00:01:34.480]  拉丁語是adventus
[00:01:34.480 --> 00:01:36.880]  意思就是將要來到
[00:01:36.880 --> 00:01:39.760]  等待耶穌基督的降臨
[00:01:39.760 --> 00:01:42.480]  如果有些教會是用教會曆
[00:01:42.480 --> 00:01:49.680]  去鋪排一些每一年的程序的時候
[00:01:49.680 --> 00:01:52.740]  原來現在是教會曆的新年
[00:01:52.740 --> 00:01:54.640]  新年不是等到1月1日
[00:01:54.640 --> 00:01:57.560]  是耶穌基督降生之前的四個星期
[00:01:57.560 --> 00:01:59.560]  就已經是新年
[00:01:59.560 --> 00:02:02.200]  在聖誕前的四個星期
[00:02:02.200 --> 00:02:03.440]  就有四個主日
[00:02:03.440 --> 00:02:06.120]  這四個主日有四個不同的主題
[00:02:06.120 --> 00:02:07.680]  如果今年來說
[00:02:07.680 --> 00:02:09.280]  12月1日是第一個星期
[00:02:09.280 --> 00:02:11.680]  是講「醒悟」的訊息
[00:02:11.680 --> 00:02:12.640]  awake
[00:02:12.640 --> 00:02:14.240]  第二個星期即是今天
