
[00:00:00.000 --> 00:00:02.800]  今天系列是門徒系列 繼續
[00:00:02.800 --> 00:00:07.040]  叫做《感染世界》
[00:00:07.040 --> 00:00:10.060]  這是一個很簡單的經文
[00:00:10.060 --> 00:00:13.180]  也是很重要很重要的經文
[00:00:13.180 --> 00:00:16.700]  門徒系列《感染世界》
[00:00:16.700 --> 00:00:20.020]  先開始做一個熱身運動
[00:00:20.020 --> 00:00:22.840]  我想大家猜猜 我一會兒會做幾個動作
[00:00:22.840 --> 00:00:24.880]  幾個人物或者幾個身份的積分
[00:00:24.880 --> 00:00:26.840]  你猜猜我在做什麼
[00:00:26.840 --> 00:00:28.520]  這個有口難言
[00:00:28.520 --> 00:00:30.580]  你猜猜我 第一個
[00:00:30.580 --> 00:00:33.820]  第一個 如果你看到街上有人這樣
[00:00:33.820 --> 00:00:41.300]  交通警察 交通警察做什麼的
[00:00:41.300 --> 00:00:45.320]  只會交通 這麼多問 對了
[00:00:45.320 --> 00:00:47.820]  第二個 如果你看到有一個
[00:00:47.820 --> 00:00:58.420]  消防員 做得不錯 大家猜到是吧
[00:00:58.420 --> 00:00:59.760]  消防員做什麼的
[00:00:59.760 --> 00:01:02.820]  對了 救火 最重要是救人
[00:01:02.820 --> 00:01:05.180]  先給我點掌聲
[00:01:05.180 --> 00:01:08.280]  好 再猜幾個 兩三個
[00:01:08.280 --> 00:01:11.900]  猜猜 我要出一個消防員 猜對了
[00:01:11.900 --> 00:01:15.040]  然後猜猜一個電影的 哎呀 出了
[00:01:15.040 --> 00:01:17.080]  哎呀 不推猜
[00:01:17.080 --> 00:01:20.720]  不猜這個 猜下一個 下一個是
[00:01:20.720 --> 00:01:27.680]  是什麼
[00:01:28.620 --> 00:01:32.560]  是 猜不到 是粗的
[00:01:32.560 --> 00:01:35.560]  在做什麼
[00:01:35.560 --> 00:01:39.780]  軍人 我聽到有人說軍人 軍人做什麼的
[00:01:39.780 --> 00:01:43.800]  軍人是保護
[00:01:43.800 --> 00:01:45.680]  是吧 一個地方應該是吧
[00:01:45.680 --> 00:01:48.480]  應該是救災 保護人民的
[00:01:48.480 --> 00:01:50.360]  對了 救災 保護人民的
[00:01:50.360 --> 00:01:53.160]  上了臺一做 有個小朋友說"啊sir"這樣
[00:01:53.160 --> 00:01:54.180]  很大聲
[00:01:54.180 --> 00:01:56.540]  好了 這個呢 就是
[00:01:59.400 --> 00:02:01.600]  是吧 廚師做什麼的
[00:02:01.600 --> 00:02:04.300]  煮東西喫吧 好了 最後一個
[00:02:04.300 --> 00:02:07.060]  先看看 是吧 最後一個
[00:02:07.060 --> 00:02:09.080]  是吧 就是
[00:02:09.080 --> 00:02:15.740]  是什麼
[00:02:15.740 --> 00:02:18.140]  餵奶啦 那我是什麼
[00:02:18.140 --> 00:02:21.700]  是吧 媽媽啦 爹爹也行 爹爹也行
[00:02:21.700 --> 00:02:23.700]  餵奶是吧 照顧小朋友
[00:02:23.700 --> 00:02:27.720]  這世界有很多很多的職位和職份
[00:02:27.720 --> 00:02:31.780]  我不知道你們有沒有想過 如果各樣的位置
[00:02:31.780 --> 00:02:35.120]  職責 它沒有履行
[00:02:35.120 --> 00:02:39.020]  這個世界會變成怎樣
[00:02:39.020 --> 00:02:43.640]  沒人救火 沒人救災
[00:02:43.640 --> 00:02:45.040]  沒人餵奶
[00:02:45.040 --> 00:02:47.200]  沒人煮飯
[00:02:47.200 --> 00:02:49.300]  這個世界會變成怎樣
[00:02:49.300 --> 00:02:51.660]  會怎樣
[00:02:51.660 --> 00:02:56.000]  不堪設想 是吧 很亂
[00:02:56.580 --> 00:02:58.040]  這個世界都亂了
[00:02:58.040 --> 00:03:02.200]  慢慢會更大亂
[00:03:02.200 --> 00:03:04.360]  暴動
[00:03:04.360 --> 00:03:07.040]  沒警察 很亂
[00:03:07.040 --> 00:03:11.320]  今天的主題 我想問一個很重要一開始的問題就是
[00:03:11.320 --> 00:03:12.320]  你呢
[00:03:12.320 --> 00:03:16.400]  你有什麼責任呢 你作爲信徒
[00:03:16.400 --> 00:03:19.980]  你有什麼職位 你有什麼責任
[00:03:19.980 --> 00:03:24.420]  如果你的職位或者責任沒有履行
[00:03:24.420 --> 00:03:27.840]  神的國 又會變成怎樣
[00:03:27.840 --> 00:03:31.620]  神的國 又會變成怎樣
[00:03:31.620 --> 00:03:35.760]  今天我們回到信仰的基本 但也很重要
[00:03:35.760 --> 00:03:38.560]  我們想想 究竟我們有什麼身份
[00:03:38.560 --> 00:03:39.920]  有什麼職責
[00:03:39.920 --> 00:03:42.440]  大家準備好了沒有
[00:03:42.440 --> 00:03:44.580]  準備好了嗎 好
[00:03:44.580 --> 00:03:47.140]  一個很簡單 也很直接
[00:03:47.140 --> 00:03:49.020]  也很重要
[00:03:49.020 --> 00:03:51.860]  在《馬來風音》五章十三十四節
[00:03:52.000 --> 00:03:55.460]  耶穌說到這兩句簡化了經文
[00:03:55.460 --> 00:03:57.980]  我們一開始不如大聲讀 好嗎 這兩句經文
[00:03:57.980 --> 00:03:59.780]  我們一起讀 一 二 三
[00:03:59.780 --> 00:04:04.560]  你們是世上的炎 你們是世上的光
[00:04:04.560 --> 00:04:08.240]  他說到我們的身份是炎和光
[00:04:08.240 --> 00:04:11.780]  我很喜歡這個燈膽 但有個炎痕 很可愛
[00:04:11.780 --> 00:04:13.640]  上網很容易找到
[00:04:13.640 --> 00:04:17.360]  很可愛 你是炎和光的身份
[00:04:17.360 --> 00:04:20.480]  如果這個身份沒有履行會怎樣呢
[00:04:20.480 --> 00:04:22.480]  你履行又會變成什麼呢
[00:04:22.480 --> 00:04:24.480]  究竟這個身份代表些什麼
[00:04:24.480 --> 00:04:27.480]  我如何才能履行 我今天將會很簡單
[00:04:27.480 --> 00:04:29.480]  用幾個字去分享
[00:04:29.480 --> 00:04:32.480]  我們首先看看 你們是誰
[00:04:32.480 --> 00:04:35.480]  你們是世上的炎 你們是世上的光
[00:04:35.480 --> 00:04:37.480]  耶穌指你們是誰呢
[00:04:37.480 --> 00:04:39.480]  是不是所有人呢 究竟是誰呢
[00:04:39.480 --> 00:04:42.480]  如果我們看回《馬來風音》四章
[00:04:42.480 --> 00:04:44.480]  他剛剛說到耶穌第一次出來
[00:04:44.480 --> 00:04:47.480]  傳道 依次 趕鬼
[00:04:47.480 --> 00:04:50.480]  當時他說很多人跟着他
[00:04:50.480 --> 00:04:52.480]  很多人來看看
[00:04:52.480 --> 00:04:54.480]  他說很多人從加里裏 底加坡裏
[00:04:54.480 --> 00:04:58.480]  耶路撒冷 猶太 約旦航外來看
[00:04:58.480 --> 00:05:00.480]  哇 這個人這麼厲害
[00:05:00.480 --> 00:05:02.480]  即是說今天深圳有人來
[00:05:02.480 --> 00:05:04.480]  泰國有人來 日本有人來
[00:05:04.480 --> 00:05:07.480]  尖沙咀有人來 看看什麼事
[00:05:07.480 --> 00:05:09.480]  耶穌出來的時候
[00:05:09.480 --> 00:05:11.480]  很多人會看看 哇 究竟是什麼事
[00:05:11.480 --> 00:05:14.480]  然後聖經形容耶穌不是就這樣說
[00:05:14.480 --> 00:05:17.480]  他說耶穌見到這麼多人
[00:05:17.480 --> 00:05:20.480]  他知道不是每個人都想聽
[00:05:20.480 --> 00:05:22.480]  所以他去了山上
[00:05:22.480 --> 00:05:24.480]  坐下來 其實坐下來做什麼呢
[00:05:24.480 --> 00:05:26.480]  就是登山寶訓 就是在這裏出來
[00:05:26.480 --> 00:05:28.480]  他坐下來 然後
[00:05:28.480 --> 00:05:31.480]  門徒就到他的前來
[00:05:31.480 --> 00:05:33.480]  他就開口教訓他
[00:05:33.480 --> 00:05:35.480]  然後百福出
[00:05:35.480 --> 00:05:37.480]  接着就來到五章十三節
[00:05:37.480 --> 00:05:41.480]  你們 所以你們是指誰
[00:05:41.480 --> 00:05:43.480]  是指什麼身份
[00:05:43.480 --> 00:05:45.480]  這裏說的是
[00:05:45.480 --> 00:05:47.480]  門徒 沒錯
[00:05:47.480 --> 00:05:51.480]  我想問下我們中間有誰是基督徒
[00:05:51.480 --> 00:05:54.480]  我們舉手好嗎 哇 非常好
[00:05:54.480 --> 00:05:59.480]  我們中間有誰覺得自己是門徒
[00:05:59.480 --> 00:06:01.480]  舉手好嗎
[00:06:01.480 --> 00:06:03.480]  好 又一半 又一半
[00:06:03.480 --> 00:06:05.480]  又一半 沒錯
[00:06:05.480 --> 00:06:07.480]  我們昨天有六成 今早五成
[00:06:07.480 --> 00:06:09.480]  剛纔那堂四成 舉手 現在又一半
[00:06:09.480 --> 00:06:11.480]  爲什麼我們有這樣的感覺
[00:06:11.480 --> 00:06:13.480]  覺得我們是基督徒
[00:06:13.480 --> 00:06:15.480]  又不是門徒呢
[00:06:15.480 --> 00:06:17.480]  究竟耶穌有沒有說過
[00:06:17.480 --> 00:06:19.480]  你可以是基督徒不是門徒呢
[00:06:19.480 --> 00:06:21.480]  我今天第一個想慢慢分享
[00:06:21.480 --> 00:06:24.480]  拆解一下這個迷思
[00:06:24.480 --> 00:06:27.480]  其實耶穌在四封音從來沒有說過
[00:06:27.480 --> 00:06:29.480]  你要成爲基督徒
[00:06:29.480 --> 00:06:31.480]  沒有這個詞 從來沒有出現過
[00:06:31.480 --> 00:06:33.480]  基督徒是以士囊人傳描述
[00:06:33.480 --> 00:06:35.480]  外邦人跟隨耶穌
[00:06:35.480 --> 00:06:37.480]  叫基督徒就是基督人
[00:06:37.480 --> 00:06:39.480]  所以耶穌說你每一次信我
[00:06:39.480 --> 00:06:41.480]  就叫門徒 要跟隨
[00:06:41.480 --> 00:06:43.480]  是這樣的意思
[00:06:43.480 --> 00:06:45.480]  但我們知道我們明白我們今天經常覺得
[00:06:45.480 --> 00:06:47.480]  基督徒要做很多事
[00:06:47.480 --> 00:06:49.480]  走三步 五年
[00:06:49.480 --> 00:06:51.480]  做到某個標準
[00:06:51.480 --> 00:06:53.480]  可以成爲門徒了
[00:06:53.480 --> 00:06:55.480]  我們有時也害怕 門徒是不是要付出很多呢
[00:06:55.480 --> 00:06:57.480]  我記得在二十多年前
[00:06:57.480 --> 00:06:59.480]  八七年信主在包羅報道會的時候
[00:06:59.480 --> 00:07:01.480]  我信了主了
[00:07:01.480 --> 00:07:03.480]  當時我有一個很大的掙扎
[00:07:03.480 --> 00:07:05.480]  我自己內心
[00:07:05.480 --> 00:07:07.480]  我認不認我是信耶穌的呢
[00:07:07.480 --> 00:07:09.480]  究竟我走得怎麼樣呢
[00:07:09.480 --> 00:07:11.480]  爲什麼我會這樣呢
