
[00:00:00.000 --> 00:00:02.000]  慶祝各位平安
[00:00:02.000 --> 00:00:04.000]  我們一起祈禱
[00:00:04.000 --> 00:00:06.000]  真是天父感謝祢的恩典
[00:00:06.000 --> 00:00:08.000]  讓我們在全日清晨
[00:00:08.000 --> 00:00:10.000]  可以一齊來到這個聚集
[00:00:10.000 --> 00:00:12.000]  聆聽祢的話語
[00:00:12.000 --> 00:00:14.000]  祢救聖靈
[00:00:14.000 --> 00:00:16.000]  幫助我們順服自己的怒氣
[00:00:16.000 --> 00:00:18.000]  幫助我們能夠時常充滿
[00:00:18.000 --> 00:00:20.000]  從來以來的喜樂
[00:00:20.000 --> 00:00:22.000]  過每一天的日子
[00:00:22.000 --> 00:00:24.000]  榮耀主的名
[00:00:24.000 --> 00:00:26.000]  奉耶穌基督的名祈禱
[00:00:26.000 --> 00:00:28.000]  阿門
[00:00:28.000 --> 00:00:30.000]  今天我們繼續
[00:00:30.000 --> 00:00:32.000]  從真言裡面
[00:00:32.000 --> 00:00:34.000]  去思想一些
[00:00:34.000 --> 00:00:36.000]  人生的智慧
[00:00:36.000 --> 00:00:38.000]  今天就
[00:00:38.000 --> 00:00:40.000]  講到怒氣的問題
[00:00:40.000 --> 00:00:42.000]  順服憤怒
[00:00:42.000 --> 00:00:44.000]  我想問一問
[00:00:44.000 --> 00:00:46.000]  我們中餐廳有沒有人
[00:00:46.000 --> 00:00:48.000]  你從來不發怒的
[00:00:48.000 --> 00:00:54.000]  好像沒有
[00:00:54.000 --> 00:00:56.000]  今天講章就不是全篇
[00:00:56.000 --> 00:00:58.000]  因為有些意外發生
[00:00:58.000 --> 00:01:02.000]  你喜歡看就看吧
[00:01:02.000 --> 00:01:04.000]  即使我們中間
[00:01:04.000 --> 00:01:06.000]  有這樣的人
[00:01:06.000 --> 00:01:08.000]  有些人從來都不會生氣
[00:01:08.000 --> 00:01:10.000]  不發怒的
[00:01:10.000 --> 00:01:12.000]  都不可以睡覺
[00:01:12.000 --> 00:01:14.000]  因為真言的
[00:01:14.000 --> 00:01:16.000]  引言提醒我們
[00:01:16.000 --> 00:01:18.000]  一件事
[00:01:18.000 --> 00:01:20.000]  真言是
[00:01:20.000 --> 00:01:22.000]  使愚昧人靈巧
[00:01:22.000 --> 00:01:24.000]  使年輕人有知識
[00:01:26.000 --> 00:01:28.000]  有智慧
[00:01:28.000 --> 00:01:30.000]  智慧人聽見
[00:01:30.000 --> 00:01:32.000]  即是你很厲害的人
[00:01:32.000 --> 00:01:34.000]  都有用的
[00:01:34.000 --> 00:01:36.000]  會增長學問
[00:01:36.000 --> 00:01:38.000]  聰明人就得著智慧
