
[00:00:00.000 --> 00:00:06.860]  上個禮拜天能夠在這邊和屬靈的大家庭一起來度過農曆新年
[00:00:06.860 --> 00:00:08.540]  真是非常開心
[00:00:08.540 --> 00:00:11.180]  今天是大年的這個初八
[00:00:11.180 --> 00:00:16.260]  那我也想要在這邊再次的來跟大家祝賀一下
[00:00:16.260 --> 00:00:20.340]  特別我們年輕人製作了一個賀年卡要來送給大家
[00:00:20.340 --> 00:00:22.260]  讓我念給大家聽
[00:00:22.260 --> 00:00:30.260]  祝大家玉兔迎春彼此鼓勵,時時向神傾心吐意
[00:00:30.260 --> 00:00:36.720]  工作學業奮發吐強,迎向改變,精力突破
[00:00:36.720 --> 00:00:39.280]  最後呢,讓我們對耶穌說
[00:00:39.280 --> 00:00:45.580]  I love you too
[00:00:45.580 --> 00:00:50.940]  祝大家今年都更加的愛耶穌,Amen
[00:00:50.940 --> 00:00:55.940]  不過說實在話,今年一開始對於身在北美的我們
[00:00:55.940 --> 00:00:58.680]  其實並不是這麼的平順
[00:00:58.680 --> 00:01:01.900]  每次過年我們都說祝您財源滾滾
[00:01:01.900 --> 00:01:09.020]  結果沒有想到各大公司真的是財源滾滾
[00:01:09.020 --> 00:01:11.460]  真是一個財經風暴
[00:01:11.460 --> 00:01:13.600]  我們常說暴族身中除舊罪
[00:01:13.600 --> 00:01:19.500]  可是竟然新年開始每一天都在槍擊身中
[00:01:19.500 --> 00:01:21.060]  過了好幾天
[00:01:21.060 --> 00:01:23.760]  實在是一個令人很不安的時刻
[00:01:23.760 --> 00:01:26.100]  所以在周二晨禱的時候
[00:01:26.100 --> 00:01:29.700]  曾牧師我和我們一些弟兄姐妹在一起禱告
[00:01:29.700 --> 00:01:31.560]  為著罹難的家屬
[00:01:31.560 --> 00:01:34.000]  也為著我們的家人、弟兄姐妹
[00:01:34.000 --> 00:01:36.420]  並且我們的周遭來禱告
[00:01:36.420 --> 00:01:39.040]  我心中有一個很強的意念
[00:01:39.040 --> 00:01:43.580]  就是我們千萬不能活在恐懼之中
[00:01:43.580 --> 00:01:46.380]  一方面的確我們要更加的謹慎自守
[00:01:46.380 --> 00:01:47.940]  要注意安全
[00:01:47.940 --> 00:01:52.380]  但是另一方面我們千萬不能被恐懼所挾制了
[00:01:52.380 --> 00:01:58.100]  畢竟在我們裡面的是比在世界的更大的
[00:01:58.100 --> 00:01:59.260]  Amen?
[00:01:59.260 --> 00:02:02.380]  更何況聖經說若不是神所允許的
[00:02:02.380 --> 00:02:05.820]  我們一根頭髮都不會掉下來的
[00:02:05.820 --> 00:02:09.100]  我告訴你這個經文對我來說太有意義了
[00:02:09.100 --> 00:02:13.100]  太有意義了
