
[00:00:00.000 --> 00:00:08.000]  我們這個社會裏面,當我們說我們要去關心我們身邊的事情,
[00:00:08.000 --> 00:00:17.000]  我們看到社會上很多的議題,無論是一些普選的議題,
[00:00:17.000 --> 00:00:24.000]  或者是早前的一些關於同性的婚姻,同性或者性別的歧視的議題,
[00:00:24.000 --> 00:00:34.000]  都令到我們一班相信耶穌的人,或多或少都會常常去問究竟我們可以怎樣去做。
[00:00:34.000 --> 00:00:42.000]  以後我們常常都會將這一句說話,行公義,好好憐憫,掛在我們口邊,
[00:00:42.000 --> 00:00:46.000]  或者在我們生活裏面會聽到這些說話。
[00:00:46.000 --> 00:00:53.000]  在今天的社關主題裏面,我都很希望透過尼加書第六章一到八節,
[00:00:53.000 --> 00:01:04.000]  尼加先知的這段經文,來幫助我們再次去思想去反思究竟公義憐憫的意思是甚麼,
[00:01:04.000 --> 00:01:13.000]  以致幫助我們從聖經裏面有亮光,我們知道我們怎樣去將神在我們生命裏面的公義憐憫,
[00:01:13.000 --> 00:01:24.000]  公義慈愛來實踐出來。讓我們先一齊讀尼加書第六章一到八節,預備起!
[00:01:24.000 --> 00:01:33.000]  以色列人,當聽耶和華理的話,只光靈聽你的話。
[00:01:33.000 --> 00:01:39.000]  山嶺和地永久的根基,要聽耶和華爭辯的話,
[00:01:39.000 --> 00:01:45.000]  因為耶和華要與他的百姓爭辯,與以色列爭論。
[00:01:45.000 --> 00:01:49.000]  我的百姓,我向你做了甚麼呢?
[00:01:49.000 --> 00:01:55.000]  我在甚麼事上使你受難?你可以對我證明。
[00:01:55.000 --> 00:02:01.000]  我曾將你從埃及地領出來,從作奴服之家救贖你。
[00:02:01.000 --> 00:02:09.000]  我也差遣摩西、亞倫和米利安在你面前行。
[00:02:09.000 --> 00:02:17.000]  我的百姓,你們當追念摩訶王巴納所設的謀,和比爾的兒子巴蘭回答他的話,
[00:02:17.000 --> 00:02:25.000]  並你們從十庭到吉甲所遇見的事,好使你們知道耶和華公義的作為。
[00:02:25.000 --> 00:02:32.000]  我召見耶和華,在至高神面前跪拜,當獻上甚麼呢?
[00:02:32.000 --> 00:02:36.000]  豈可獻上罪的舊俗為凡世嗎?
[00:02:36.000 --> 00:02:42.000]  耶和華豈喜悅千千的公羊,或是萬萬的猶豪嗎?
[00:02:42.000 --> 00:02:47.000]  我豈可為自己的罪過獻我的賬字嗎?
[00:02:47.000 --> 00:02:51.000]  為心中的罪惡獻我身所深的嗎?
[00:02:51.000 --> 00:02:59.000]  世人啊,耶和華指使你何為是?他向你所要的是甚麼呢?
[00:02:59.000 --> 00:03:08.000]  只要你行公義,好憐憫,傳天秘的心,與你的神同行。
[00:03:08.000 --> 00:03:16.000]  這書是李克仙之所寫的,當時約莫在主前七百多年前的時間,
[00:03:16.000 --> 00:03:26.000]  在那個期間,亞述帝國進攻以色列北角,攻佔了首都撒瑪利亞,
[00:03:26.000 --> 00:03:31.000]  最終將以色列北角滅亡,百姓也被擄。
[00:03:31.000 --> 00:03:40.000]  而李克仙當時在南國服侍南部猶大,面對強國入侵的威脅,
[00:03:40.000 --> 00:03:46.000]  隨即而來亞述帝國繼續發動他的突襲。
[00:03:46.000 --> 00:03:56.000]  在整個事件中,數千計猶太人,猶大的百姓都遭到殺害,甚至被擄。
[00:03:56.000 --> 00:04:05.000]  幸而在那個期間,南國仍然得著保持國家保備滅亡。
[00:04:05.000 --> 00:04:15.000]  現在在他的書中,要對他當代百姓所面對的罪和不義,
[00:04:15.000 --> 00:04:24.000]  他盡上他作為先知的本分,來將百姓的心挽回,以他們能夠歸向神。
[00:04:24.000 --> 00:04:33.000]  而在第六章這段經文中,神就用法庭聆訊的場景來控訴他的子民,
[00:04:33.000 --> 00:04:38.000]  這段是一個神責備子民的訊息。
[00:04:38.000 --> 00:04:46.000]  他用列國山領江陵做證人,來指出百姓的忘恩負義,
[00:04:46.000 --> 00:04:51.000]  他如何偏離神,他與百姓彼此的爭辯。
[00:04:51.000 --> 00:04:56.000]  除了在責備和審判之外,神也用一些勸諱的說話,
[00:04:56.000 --> 00:05:06.000]  用一些歷史的事實去證明,去質詢其實神有什麼令到百姓感到厭煩,
[00:05:06.000 --> 00:05:09.000]  有什麼是對百姓不滿的呢?
[00:05:09.000 --> 00:05:13.000]  神就透過昔日出埃及的事件,
[00:05:13.000 --> 00:05:18.000]  這個摩訶王與先知巴蘭的對話的事件,
[00:05:18.000 --> 00:05:22.000]  來讓他知道神的作為是怎樣。
[00:05:22.000 --> 00:05:26.000]  而去到第六節,亦都再一次將全景轉變,
[00:05:26.000 --> 00:05:34.000]  講到先知尼迦代表百姓去到神的面前朝見神,敬拜神。
[00:05:34.000 --> 00:05:42.000]  百姓仍然以一個對神的心情,對神的心意是怎樣,
[00:05:42.000 --> 00:05:44.000]  出現一個傳言,
[00:05:44.000 --> 00:05:50.000]  先知就用一些諷刺的說話帶出他們所以為獻上的最好的,
[00:05:50.000 --> 00:05:53.000]  其實不是神所最喜歡的。
[00:05:53.000 --> 00:05:58.000]  而在第八節裏面就帶出整段尼迦書的核心,
[00:05:58.000 --> 00:06:01.000]  神看什麼為善,
[00:06:01.000 --> 00:06:07.000]  神對百姓的敬拜和期望是什麼。
[00:06:07.000 --> 00:06:16.000]  我們一同從經文裏面去看看神給我們今天有什麼亮光。
[00:06:16.000 --> 00:06:21.000]  當我們為了講我們要行公義、好憐憫的時候,
[00:06:21.000 --> 00:06:24.000]  我們首先都需要去確定,
[00:06:24.000 --> 00:06:28.000]  我們所相信的神是一個怎樣的神。
[00:06:28.000 --> 00:06:32.000]  祂是不是一個慈愛和公義呢?
[00:06:32.000 --> 00:06:40.000]  在面對先知的年代,百姓對神的存疑,
[00:06:40.000 --> 00:06:42.000]  透過這段經文的責備,
[00:06:42.000 --> 00:06:46.000]  神要帶出祂自己的屬性,
[00:06:46.000 --> 00:06:49.000]  祂是一個慈愛的屬性,
[00:06:49.000 --> 00:06:51.000]  從第一到第三節裏面,
[00:06:51.000 --> 00:06:56.000]  經文講到神容讓這班百姓和祂爭辯,
[00:06:56.000 --> 00:07:00.000]  這個容讓祂爭辯其實帶出神慈愛的一面。
[00:07:00.000 --> 00:07:04.000]  經文在第一到第三節裏面講到,
[00:07:04.000 --> 00:07:07.000]  這班百姓要聽耶和華的話,
[00:07:07.000 --> 00:07:10.000]  要起來向這個山嶺爭辯,
[00:07:10.000 --> 00:07:14.000]  甚至地的根基都要聽耶和華爭辯的話,
[00:07:14.000 --> 00:07:18.000]  因為神要和這班百姓爭辯,
[00:07:18.000 --> 00:07:20.000]  和他們爭論,
