
[00:00:00.000 --> 00:00:02.000]  「混吉」的「混吉」
[00:00:02.000 --> 00:00:03.200]  搞完一大輪
[00:00:03.200 --> 00:00:05.680]  都是只剩下「吉」
[00:00:05.680 --> 00:00:08.440]  如果傳道者今天來到我們
[00:00:08.440 --> 00:00:12.680]  廣東行可能開始的說話是這樣
[00:00:12.680 --> 00:00:16.080]  因為廣東人我們避忌「空」字
[00:00:16.080 --> 00:00:18.200]  我們就改成「吉」字
[00:00:18.200 --> 00:00:21.680]  但是其實傳道者說的「空虛」
[00:00:21.680 --> 00:00:27.840]  就是「混吉」的意思
[00:00:27.840 --> 00:00:31.640]  今天我們繼續研究傳道書
[00:00:31.640 --> 00:00:36.000]  上星期潘牧師透過第八章為我們介紹傳道書
[00:00:36.000 --> 00:00:38.600]  傳道書為一些人生的迷思
[00:00:38.600 --> 00:00:41.560]  譬如為甚麼世界上有這麼多不公義
[00:00:41.560 --> 00:00:44.680]  這麼多不成功的事情給了我們解答
[00:00:44.680 --> 00:00:48.120]  今天講到的訊息是來自第五章和第六章
[00:00:48.120 --> 00:00:51.160]  集中思想關於財富的問題
[00:00:51.160 --> 00:00:54.400]  因為這個講道系列是按主題來編排的
[00:00:54.400 --> 00:00:55.920]  如果你是第一次讀傳道書
[00:00:55.920 --> 00:00:57.440]  或者很多年沒有看過
[00:00:57.440 --> 00:01:01.240]  我鼓勵你在家裡從頭到尾先讀一次
[00:01:01.240 --> 00:01:04.520]  就比較容易明白上文下理
[00:01:04.520 --> 00:01:07.080]  在這裡我想和大家首先去回顧
[00:01:07.080 --> 00:01:10.520]  傳道書第五章之前的一些重要的訊息
[00:01:10.520 --> 00:01:13.440]  傳道書的作者簡直是傳道者
[00:01:13.440 --> 00:01:17.200]  見到日光之下虛空的虛空
[00:01:17.200 --> 00:01:19.320]  凡事都是很虛空的
[00:01:19.320 --> 00:01:20.000]  為甚麼呢
[00:01:20.000 --> 00:01:21.600]  至少有三件事
[00:01:21.600 --> 00:01:24.640]  第一 日光之下無新事
[00:01:24.640 --> 00:01:29.520]  他說 已有的事必再有 已行的事後必再行
[00:01:29.520 --> 00:01:31.880]  日光之下並無新事
[00:01:31.880 --> 00:01:34.720]  豈有一件事人能只著說這是新的
[00:01:34.720 --> 00:01:38.440]  那知在我們以前的世代早已有了
[00:01:38.440 --> 00:01:40.840]  已過的世代無人紀念
[00:01:40.840 --> 00:01:44.760]  將來的世代後來的人也不紀念
[00:01:44.760 --> 00:01:47.600]  傳道者不是說世界從無改變
[00:01:47.600 --> 00:01:49.400]  作為一個國家領導人
[00:01:49.400 --> 00:01:52.120]  他當然知道每天都有新的挑戰
[00:01:52.120 --> 00:01:54.960]  每天都有新的發展
[00:01:54.960 --> 00:01:57.360]  但最令他灰心的是
[00:01:57.360 --> 00:01:59.480]  無論他多麼努力
[00:01:59.480 --> 00:02:00.760]  每一個朝代
[00:02:00.760 --> 00:02:03.960]  每一個朝代是千秋萬世的
[00:02:03.960 --> 00:02:05.600]  有哪一個朝代
[00:02:05.600 --> 00:02:08.480]  好像梁老師說走到最後一程
[00:02:08.480 --> 00:02:10.560]  會是光榮結業的呢
[00:02:10.560 --> 00:02:13.880]  全部都是臨尾香的
[00:02:13.880 --> 00:02:19.160]  改朝換代的故事情節都是一樣的
[00:02:19.160 --> 00:02:22.840]  為何走不出這個故事情節呢
[00:02:22.840 --> 00:02:26.000]  有位思想家George Santayana說
[00:02:26.000 --> 00:02:31.200]  沒有讀過歷史就注定重蹈覆轍
[00:02:31.200 --> 00:02:34.080]  Elder Huxley 另一位思想家說
[00:02:34.080 --> 00:02:36.560]  歷史給我們最重要的教訓
[00:02:36.560 --> 00:02:40.440]  就是人從來沒有在歷史裡吸取教訓
[00:02:40.440 --> 00:02:41.960]  兩個說話加起來
[00:02:41.960 --> 00:02:45.400]  就是日光之下無新事的原因
[00:02:45.400 --> 00:02:48.800]  所以令傳道書作者最束手無策的
[00:02:48.800 --> 00:02:50.960]  是無論他做了什麼事
[00:02:50.960 --> 00:02:53.760]  都不能夠保證他以後的人
[00:02:53.760 --> 00:02:58.040]  能夠珍惜、保持得住、守住下去
[00:02:58.040 --> 00:03:00.040]  日光之下無新事
[00:03:00.040 --> 00:03:05.280]  原因是日光之下無朝至
[00:03:05.280 --> 00:03:07.320]  我恨惡一切的勞碌
[00:03:07.320 --> 00:03:10.000]  就是我在日光之下所勞碌的
[00:03:10.000 --> 00:03:13.720]  因為我所得的必須留給我以後的人
[00:03:13.720 --> 00:03:16.200]  那人是智慧、是愚昧
[00:03:16.200 --> 00:03:17.560]  誰能知道呢
[00:03:17.560 --> 00:03:19.880]  他竟要掌管我在日光之下
[00:03:19.880 --> 00:03:21.960]  用智慧勞碌所得的
[00:03:21.960 --> 00:03:25.080]  這也是虛空
[00:03:25.080 --> 00:03:26.600]  也是剩下一個吉
[00:03:26.600 --> 00:03:31.120]  一代人努力艱苦經營建立去創業
[00:03:31.120 --> 00:03:32.920]  從未自己享受過
[00:03:32.920 --> 00:03:37.040]  那些富二代就將國富揮霍一空
[00:03:37.040 --> 00:03:38.760]  甚至先謝未來錢
[00:03:38.760 --> 00:03:40.400]  國家債台高築
[00:03:40.400 --> 00:03:45.120]  後世代的人墮落一個永久的貧窮當中
[00:03:45.120 --> 00:03:50.160]  這樣艱苦經營是為了甚麼呢
[00:03:50.160 --> 00:03:53.760]  如果建國的第一代讀過歷史
[00:03:53.760 --> 00:03:55.840]  他們可能孤注一擲
[00:03:55.840 --> 00:03:58.480]  甚麼都不留給那些富二代
[00:03:58.480 --> 00:04:00.960]  叫他們從零開始
[00:04:00.960 --> 00:04:04.760]  問題是其實那些第一代都沒有讀過歷史
[00:04:04.760 --> 00:04:06.920]  至少讀得不夠
[00:04:06.920 --> 00:04:08.520]  結果是怎樣
[00:04:08.520 --> 00:04:11.360]  日光之下無公義
[00:04:11.360 --> 00:04:14.720]  我又見日光之下在審判之處有奸惡
[00:04:14.720 --> 00:04:16.840]  在公義之處有奸惡
[00:04:16.840 --> 00:04:20.680]  我又轉念見日光之下所行的一切欺壓
[00:04:20.680 --> 00:04:23.200]  看下受欺壓的流淚
[00:04:23.200 --> 00:04:24.720]  且無人安慰
[00:04:24.720 --> 00:04:26.440]  欺壓他們的有勢力
[00:04:26.440 --> 00:04:29.120]  也無人安慰他們
[00:04:29.120 --> 00:04:33.880]  這個就是每一代每一代國家領導人發言的問題
[00:04:33.880 --> 00:04:36.360]  即使他們為自己的利益集團
[00:04:36.360 --> 00:04:39.800]  賺取了大量的權力和財富
[00:04:39.800 --> 00:04:40.960]  很多時候
