
[00:00:00.000 --> 00:00:02.240]  各位姐妹平安,又讀聖經啦
[00:00:02.240 --> 00:00:04.400]  生命樹鼓勵大家讀聖經
[00:00:04.400 --> 00:00:07.040]  看聖經人物、聖經故事
[00:00:07.040 --> 00:00:10.360]  然後看看上帝奇妙大能的手在背後
[00:00:10.360 --> 00:00:11.840]  和祂的心意
[00:00:11.840 --> 00:00:14.960]  這次我自己看下去就是
[00:00:14.960 --> 00:00:18.960]  機電本來小時候一直聽聖經故事
[00:00:18.960 --> 00:00:20.560]  都說機電很厲害
[00:00:20.560 --> 00:00:23.600]  帶著三百人打破瓶子大叫
[00:00:23.600 --> 00:00:26.720]  贏了米電人
[00:00:26.720 --> 00:00:30.640]  但原來之前上帝是一個人
[00:00:30.640 --> 00:00:34.960]  我稱呼機電一開始是一個膽小的人
[00:00:34.960 --> 00:00:38.960]  竟然令他做了很大能的工作
[00:00:38.960 --> 00:00:41.440]  不過機電為何說他膽小呢?
[00:00:41.440 --> 00:00:43.920]  因為他經常都害怕、經常都求
[00:00:43.920 --> 00:00:45.600]  你給我一個證據
[00:00:45.600 --> 00:00:47.320]  你給我一個證據
[00:00:47.320 --> 00:00:49.120]  經常求神給他證據
[00:00:49.120 --> 00:00:53.040]  給他證據做少少,給他證據做些
[00:00:53.040 --> 00:00:54.960]  都幾好
[00:00:54.960 --> 00:00:59.400]  不過我覺得上帝在他身上有很多功夫
[00:00:59.400 --> 00:01:02.400]  對於他很忍耐
[00:01:02.400 --> 00:01:04.560]  很感謝主的
[00:01:04.560 --> 00:01:07.640]  其實我都不給機電大膽
[00:01:07.640 --> 00:01:10.080]  不過神給我學些學些學些
[00:01:10.080 --> 00:01:11.680]  一直為他工作
[00:01:11.680 --> 00:01:13.840]  機電第一次求證據
[00:01:13.840 --> 00:01:16.200]  然後今次第二次又第三次
[00:01:16.200 --> 00:01:18.760]  我覺得他第三次是求得最差
[00:01:18.760 --> 00:01:21.680]  我們看看他求什麼證據
