
[00:00:00.000 --> 00:00:04.000]  上個禮拜牧師分享是教會的意象
[00:00:04.000 --> 00:00:10.200]  那今天我想跟你們大家分享是我們今年教會屬靈的方向
[00:00:10.200 --> 00:00:13.800]  我們今天教會屬靈的方向就是要建立一個
[00:00:13.800 --> 00:00:18.440]  蒙古而且是和神心意的家庭
[00:00:18.440 --> 00:00:22.720]  那我常常聽到有人講一些見證
[00:00:22.720 --> 00:00:28.800]  說因為他的生命中婚姻還是家庭
[00:00:28.800 --> 00:00:32.520]  還是個人跟人與人之間的關係出了一些問題
[00:00:32.520 --> 00:00:35.080]  所以他來到教會裡面得到幫助
[00:00:35.080 --> 00:00:38.440]  那他的生活跟他的生命就得到改善
[00:00:38.440 --> 00:00:42.400]  改善之後他就因此而認識神 信了耶穌
[00:00:42.400 --> 00:00:44.080]  我聽到很多這種見證
[00:00:44.080 --> 00:00:47.840]  但是住在我們中間 我們在教會久了
[00:00:47.840 --> 00:00:49.560]  久了的弟兄姊妹
[00:00:49.560 --> 00:00:52.480]  你的家都很穩定嗎?
[00:00:52.480 --> 00:00:56.520]  你跟你丈夫的關係都很幸福美滿嗎?
[00:00:56.520 --> 00:01:00.240]  那你要知道神是非常看重家庭的
[00:01:00.240 --> 00:01:01.920]  神是非常看重家庭的
[00:01:01.920 --> 00:01:05.120]  神絕對不是只要你個人得救就好了
[00:01:05.120 --> 00:01:08.000]  神要的 神的救贖
[00:01:08.000 --> 00:01:10.480]  祂的救贖是一人得救
[00:01:10.480 --> 00:01:12.720]  全家都要得救
[00:01:12.720 --> 00:01:15.480]  所以祂要祝福我們
[00:01:15.480 --> 00:01:20.080]  有很豐盛的家庭 很豐盛的人生
[00:01:20.080 --> 00:01:23.440]  而且我們的生命時時刻刻在祂的手中
[00:01:23.440 --> 00:01:26.120]  要被更新 被更新
[00:01:26.120 --> 00:01:30.760]  但是我們來看
[00:01:30.760 --> 00:01:35.120]  我們現在外面的家庭 一般的家庭
[00:01:35.120 --> 00:01:39.800]  是不是其實很多的婚姻都支離破碎了
[00:01:39.800 --> 00:01:43.360]  這些支離破碎的婚姻所造成的傷害
[00:01:43.360 --> 00:01:46.480]  就不是只有個人的危機而已
[00:01:46.480 --> 00:01:49.640]  有的時候甚至會帶來一些社會上的問題
[00:01:49.640 --> 00:01:51.800]  所以今年我們就決定
[00:01:51.800 --> 00:01:57.280]  我們每一個月 我們就是有母子講教會的意象
[00:01:57.280 --> 00:01:59.800]  那我會來講家庭方面的訊息
[00:01:59.800 --> 00:02:03.440]  而且我們也每一個月從外面請一個講員進來
[00:02:03.440 --> 00:02:06.240]  來給我們在傳福音上點火
[00:02:06.240 --> 00:02:12.360]  在家庭方面給我們有一個新的看法 新的學習
[00:02:12.360 --> 00:02:16.800]  所以這個都是希望能夠來幫助我們弟兄姊妹
[00:02:16.800 --> 00:02:18.680]  在靈裡面成長
[00:02:18.680 --> 00:02:24.040]  為什麼 因為神要來的日子不遠了
[00:02:24.040 --> 00:02:27.160]  你必須要把你自己預備好
[00:02:27.160 --> 00:02:29.800]  不然神來的時候
[00:02:29.800 --> 00:02:35.520]  我們可能像那個去買油的銅魚 就要哀哭怯慈了
[00:02:35.520 --> 00:02:38.080]  所以弟兄姊妹 讓我們低頭禱告
[00:02:38.080 --> 00:02:41.320]  讓我們來看今天神要對我們說什麼話
[00:02:41.320 --> 00:02:42.720]  Hallelujah
[00:02:42.720 --> 00:02:44.200]  親愛的天父主耶穌聖靈保佑
[00:02:44.200 --> 00:02:46.720]  使我們用感恩的心來到你面前
