
[00:00:00.000 --> 00:00:07.580]  星期二、三、四晚有來到參加祝瑞聯牧師的敬拜聚會的弟兄姊妹
[00:00:07.580 --> 00:00:12.000]  祝瑞聯牧師有一個系列叫做燃燒新府
[00:00:12.000 --> 00:00:16.000]  燃燒新府是指誰呢?新府就是指教會
[00:00:16.000 --> 00:00:18.440]  教會就是指你和我
[00:00:18.440 --> 00:00:20.040]  和你隔壁的網絡聲音
[00:00:20.040 --> 00:00:21.640]  你是基督的新府
[00:00:21.640 --> 00:00:25.660]  我知道這裏有多少是弟兄的請你舉手
[00:00:25.660 --> 00:00:29.440]  弟兄今天這一堂很難接受的
[00:00:30.940 --> 00:00:33.340]  你幻想一下自己穿婚紗
[00:00:33.340 --> 00:00:34.160]  你受不住了
[00:00:34.160 --> 00:00:35.000]  已經吐了
[00:00:35.000 --> 00:00:37.140]  就是什麼新府
[00:00:37.140 --> 00:00:39.940]  你和隔壁的姐妹說沒問題
[00:00:39.940 --> 00:00:41.380]  弟兄是成爲新府
[00:00:41.380 --> 00:00:44.540]  這個是很難接受的一篇道理
[00:00:44.540 --> 00:00:47.060]  一會兒我慢慢跟你解釋這個問題
[00:00:47.060 --> 00:00:49.980]  而在美國的祈禱殿
[00:00:49.980 --> 00:00:52.100]  Mike Bickel 即是創辦人
[00:00:52.100 --> 00:00:55.980]  在Kansas City的埃合祈禱殿裏面
[00:00:55.980 --> 00:00:58.580]  創辦人Mike Bickel就認爲
[00:00:58.580 --> 00:01:03.900]  新府裏面有很多比喻教會和神的關係
[00:01:03.900 --> 00:01:09.900]  但是他自己會側重在新府
[00:01:09.900 --> 00:01:12.780]  這個比喻和這個角色裏面
[00:01:12.780 --> 00:01:16.740]  所以在整個埃合的運動裏面
[00:01:16.740 --> 00:01:19.380]  《擒與金康奴》、《二十四小時祈禱》
[00:01:19.380 --> 00:01:25.100]  整個方向都是預備教會成爲基督的新府
[00:01:25.100 --> 00:01:30.860]  如果是這樣的話我們怎麼理解整個聖經題的問題呢?
[00:01:30.860 --> 00:01:33.980]  我們看看在新約聖經裏面
[00:01:33.980 --> 00:01:37.740]  約翰用了很簡單的詞句
[00:01:37.740 --> 00:01:41.660]  總結了整個舊約關於神的屬性
[00:01:41.660 --> 00:01:44.860]  第一方面提到神是愛
