
[00:00:00.000 --> 00:00:03.000]  請姊妹平安 我們再一次低頭禱告
[00:00:03.000 --> 00:00:08.000]  天父啊 我們知道你兒子的說話就是真理
[00:00:08.000 --> 00:00:12.000]  你也是親自來宣告
[00:00:12.000 --> 00:00:17.000]  聽見你的說話又跟從的就是你的門徒
[00:00:17.000 --> 00:00:20.000]  當你的門徒認識真理的時候
[00:00:20.000 --> 00:00:23.000]  真理會叫我們得到自由
[00:00:23.000 --> 00:00:26.000]  今天我們奉你的命宣告
[00:00:26.000 --> 00:00:28.000]  願你的聖靈在我們中間
[00:00:28.000 --> 00:00:32.000]  主你釋放我們 叫我們成為在神面前自由的人
[00:00:32.000 --> 00:00:37.000]  我們這樣禱告 奉耶穌基督的命祈求 阿們
[00:00:37.000 --> 00:00:42.000]  上一次在楊福音第八章講到耶穌親自的宣告
[00:00:42.000 --> 00:00:46.000]  「我就是世界的光 跟從我的 必不在黑暗裡走」
[00:00:46.000 --> 00:00:48.000]  並且要「得著生命的光」
[00:00:48.000 --> 00:00:52.000]  那一段宣告其實還沒講完
[00:00:52.000 --> 00:00:55.000]  所以第八章 今天剛讀完那一段
[00:00:55.000 --> 00:00:58.000]  就繼續講究竟耶穌說
[00:00:58.000 --> 00:01:02.000]  「我就是世界的光 跟從我的 必不在黑暗裡走」
[00:01:02.000 --> 00:01:04.000]  是什麼意思
[00:01:04.000 --> 00:01:06.000]  當然在楊福音那裡
[00:01:06.000 --> 00:01:11.000]  其實很多時候他用光明和黑暗做一個對比
[00:01:11.000 --> 00:01:16.000]  光明就代表著得到神的真理
[00:01:16.000 --> 00:01:21.000]  黑暗就代表著人的心仍然在罪惡當中
[00:01:21.000 --> 00:01:24.000]  這個在楊福音多次的去
[00:01:24.000 --> 00:01:29.000]  好像不斷用不同的角度來解釋這個真理
[00:01:29.000 --> 00:01:31.000]  究竟是什麼意思
[00:01:31.000 --> 00:01:34.000]  繼續我們剛讀那一段聖經
[00:01:34.000 --> 00:01:38.000]  繼續講下去的時候 耶穌就去說
[00:01:38.000 --> 00:01:40.000]  耶穌對信他的猶太人說
[00:01:40.000 --> 00:01:44.000]  「你們要常常遵守我的道 就真是我的門徒」
[00:01:44.000 --> 00:01:48.000]  「你們必要得真理 真理必叫你們得以自由」
[00:01:48.000 --> 00:01:50.000]  這裡就講出了一點就是
[00:01:50.000 --> 00:01:54.000]  對於信耶穌的人 主耶穌來宣告
[00:01:54.000 --> 00:01:58.000]  他們是一些認識真理的人
[00:01:58.000 --> 00:02:04.000]  而這些人也可以說是稱為他的門徒
