
[00:00:00.000 --> 00:00:02.000]  各位姐妹主內平安
[00:00:02.000 --> 00:00:06.000]  今日和大家分享的題目是
[00:00:06.000 --> 00:00:10.000]  愛在不安萬年時
[00:00:10.000 --> 00:00:12.000]  說到不安
[00:00:12.000 --> 00:00:14.000]  我想我們在香港
[00:00:14.000 --> 00:00:16.000]  無論你是什麼階層
[00:00:16.000 --> 00:00:17.000]  什麼年齡
[00:00:17.000 --> 00:00:21.000]  都可能會感受到不同程度的不安
[00:00:21.000 --> 00:00:25.000]  好像越來越嚴峻的政治
[00:00:25.000 --> 00:00:27.000]  民生的警方
[00:00:27.000 --> 00:00:30.000]  高不可攀的樓價租金
[00:00:30.000 --> 00:00:32.000]  作爲學生
[00:00:32.000 --> 00:00:34.000]  剛剛纔放榜
[00:00:34.000 --> 00:00:36.000]  可能未必舒緩
[00:00:36.000 --> 00:00:39.000]  嚴峻的人口老化問題
[00:00:39.000 --> 00:00:42.000]  年輕人的情緒問題等等
[00:00:42.000 --> 00:00:45.000]  都令人內心很不安
[00:00:45.000 --> 00:00:47.000]  最要命的就是
[00:00:47.000 --> 00:00:50.000]  這些負面的情緒
[00:00:50.000 --> 00:00:52.000]  有時好像是傳染病
[00:00:52.000 --> 00:00:54.000]  是會蔓延的
[00:00:54.000 --> 00:00:57.000]  令到我們都不知如何自處
[00:00:57.000 --> 00:01:01.000]  同時作爲信仰的羣體
[00:01:01.000 --> 00:01:04.000]  我們見到中國政府
[00:01:04.000 --> 00:01:06.000]  近來的宗教政策
[00:01:06.000 --> 00:01:10.000]  無論是對官方認可的三自教會
[00:01:10.000 --> 00:01:13.000]  或者是對一些地下的家庭教會
[00:01:13.000 --> 00:01:18.000]  都是作出不同程度的監管和打壓
[00:01:18.000 --> 00:01:22.000]  令到我們爲國內肢體的情況
[00:01:22.000 --> 00:01:24.000]  很擔憂
[00:01:24.000 --> 00:01:28.000]  另外
[00:01:28.000 --> 00:01:30.000]  作爲我們土鎮的弟兄姊妹
[00:01:30.000 --> 00:01:35.000]  大家知道原本Peter和Cindy
[00:01:35.000 --> 00:01:37.000]  都有一個計劃去到四川
[00:01:37.000 --> 00:01:40.000]  去服侍留守兒童
[00:01:40.000 --> 00:01:42.000]  因爲收緊的政策
[00:01:42.000 --> 00:01:46.000]  令到他們的行程被逼取消
[00:01:46.000 --> 00:01:49.000]  但是大家不可以不知
[00:01:49.000 --> 00:01:52.000]  原來早在初期教會的時候
[00:01:52.000 --> 00:01:57.000]  信仰羣體在宗教政治經濟和生活上
[00:01:57.000 --> 00:02:00.000]  同樣都是面對很大的挑戰
[00:02:00.000 --> 00:02:05.000]  信徒一方面面對羅馬帝國的逼迫
[00:02:05.000 --> 00:02:10.000]  另一方面又面對外邦人的敵視和排斥
[00:02:10.000 --> 00:02:16.000]  究竟他們是如何面對這些不安的情緒呢
[00:02:16.000 --> 00:02:22.000]  他們是如何克服生活信仰上的種種困難呢
[00:02:22.000 --> 00:02:24.000]  今天
[00:02:24.000 --> 00:02:26.000]  我希望和大家一起
[00:02:26.000 --> 00:02:29.000]  藉着閱讀彼得前書第四章
[00:02:29.000 --> 00:02:32.000]  去尋求上主給我們的亮光
[00:02:32.000 --> 00:02:35.000]  以致我們能夠在這個艱難的日子
[00:02:35.000 --> 00:02:37.000]  能夠站立得住
[00:02:37.000 --> 00:02:41.000]  繼續爲主發熱發光
[00:02:41.000 --> 00:02:42.000]  我們留意到
[00:02:42.000 --> 00:02:45.000]  在經文裏面一開始提到
[00:02:45.000 --> 00:02:48.000]  萬物的結局近了
[00:02:48.000 --> 00:02:52.000]  不知道大家有沒有想過是什麼意思呢
