
[00:00:00.000 --> 00:00:05.000]  我們繼續思想「過唔多前書」第十五章
[00:00:05.000 --> 00:00:09.000]  在這個月裏面,在上個星期
[00:00:09.000 --> 00:00:12.000]  Fanny 全都已經和我們開始了思想
[00:00:12.000 --> 00:00:15.000]  「過唔多前書」第十五章
[00:00:15.000 --> 00:00:17.000]  關於復活的真理
[00:00:17.000 --> 00:00:19.000]  今天會和大家繼續思想
[00:00:19.000 --> 00:00:21.000]  「過唔多前書」第十五章
[00:00:21.000 --> 00:00:24.000]  十二節到第十九節
[00:00:24.000 --> 00:00:28.000]  然後在今年最後的一次講道
[00:00:28.000 --> 00:00:31.000]  李靚蘭全都會和我們完結
[00:00:31.000 --> 00:00:35.000]  「過唔多前書」第十五章的最後一大段
[00:00:35.000 --> 00:00:38.000]  所以我們都能夠神透地安排
[00:00:38.000 --> 00:00:41.000]  讓我們做一次更多的思想
[00:00:41.000 --> 00:00:46.000]  復活對我們基督徒來說的意義在哪裏
[00:00:46.000 --> 00:00:50.000]  我想上一次我們都已經思想過
[00:00:50.000 --> 00:00:54.000]  如果我們沒有復活的真理的時候
[00:00:54.000 --> 00:00:58.000]  我們所信的就是一個徒然的信仰
[00:00:58.000 --> 00:01:01.000]  耶穌基督不單止是一個偉人
[00:01:01.000 --> 00:01:03.000]  不單止是一個在我們聖誕節的時候
[00:01:03.000 --> 00:01:07.000]  所慶祝的一個英孩帶給我們歡樂
[00:01:07.000 --> 00:01:09.000]  帶給我們繁盛
[00:01:09.000 --> 00:01:12.000]  而是他一生用復活的大能
[00:01:12.000 --> 00:01:16.000]  來托著我們,保守著我們
[00:01:16.000 --> 00:01:17.000]  所以在這個時間裏面
[00:01:17.000 --> 00:01:20.000]  我們再一次來思想一下
[00:01:20.000 --> 00:01:26.000]  2013年都快要去到一個尾聲
[00:01:26.000 --> 00:01:29.000]  我不知道你想留住2013年
[00:01:29.000 --> 00:01:32.000]  還是快些就一腳離開2013年
[00:01:32.000 --> 00:01:34.000]  快些到2014年
[00:01:34.000 --> 00:01:40.000]  希望有一些新的氣象來出現
[00:01:40.000 --> 00:01:43.000]  所以我們都看看2013年
[00:01:43.000 --> 00:01:46.000]  你的人生是怎樣呢
