
[00:00:00.000 --> 00:00:02.580]  今天說的是「破障人生」
[00:00:02.580 --> 00:00:04.500]  《路加封》第三章
[00:00:04.500 --> 00:00:07.500]  我知道我們每個人都會有些障礙
[00:00:07.500 --> 00:00:10.600]  在人生裏面要破障
[00:00:10.600 --> 00:00:13.000]  可能我們上班的時候
[00:00:13.000 --> 00:00:14.700]  可能我們工作的時候
[00:00:14.700 --> 00:00:16.000]  可能在家庭的時候
[00:00:16.000 --> 00:00:19.300]  往往突然間有些驚訝的事發生
[00:00:19.300 --> 00:00:20.500]  好像這個圖片
[00:00:20.500 --> 00:00:21.500]  他都幾驚訝
[00:00:21.500 --> 00:00:23.300]  大家難得突然間有些什麼出現
[00:00:23.300 --> 00:00:26.000]  有別人的鞋子阻止了
[00:00:26.000 --> 00:00:28.900]  是驚訝的 是不預料的
[00:00:28.900 --> 00:00:31.100]  或者可能你班上的圖突然間發現
[00:00:31.100 --> 00:00:33.500]  有個石頭阻礙你
[00:00:33.500 --> 00:00:34.300]  有時都會的
[00:00:34.300 --> 00:00:36.000]  我們打風
[00:00:36.000 --> 00:00:38.900]  或者外國弄捲風等等
[00:00:38.900 --> 00:00:40.800]  你怎樣去回應呢
[00:00:40.800 --> 00:00:43.700]  有時未必是肉體上的身體
[00:00:43.700 --> 00:00:45.800]  可能是心情上
[00:00:45.800 --> 00:00:47.000]  有些事你覺得
[00:00:47.000 --> 00:00:50.300]  你的力量 你的精力已經頂不住了
[00:00:50.300 --> 00:00:53.000]  但是你發現每天都好像壓住你一樣
[00:00:53.000 --> 00:00:55.600]  又沒有果效 又推不回頭
[00:00:55.600 --> 00:00:57.000]  但是你又要頂住
[00:00:57.000 --> 00:00:59.300]  有時可能不只是腦閉塞
[00:00:59.300 --> 00:01:00.400]  想也想不到
[00:01:00.400 --> 00:01:03.100]  怎麼辦呢 怎樣解決呢
[00:01:03.100 --> 00:01:04.400]  的確都會
[00:01:04.400 --> 00:01:07.100]  但我們的確遇見的障礙
[00:01:07.100 --> 00:01:08.100]  是一定有的
[00:01:08.100 --> 00:01:08.900]  無論是幾歲
[00:01:08.900 --> 00:01:12.500]  從小朋友到成人到長者
[00:01:12.500 --> 00:01:13.300]  都會有
[00:01:13.300 --> 00:01:15.300]  但是我們不可以視而不見
[00:01:15.300 --> 00:01:17.700]  因為如果劍山衝過去
[00:01:17.700 --> 00:01:21.200]  最後損失損害都是自己
[00:01:21.200 --> 00:01:22.400]  這是真的
[00:01:22.400 --> 00:01:25.500]  我們昨天就跟幾個電影節目
[00:01:25.500 --> 00:01:27.900]  一起去探一個街坊
[00:01:27.900 --> 00:01:28.500]  都頗有趣的
[00:01:28.500 --> 00:01:30.600]  八十七歲 上年開始探
[00:01:30.600 --> 00:01:31.800]  哇 好傾的
[00:01:31.800 --> 00:01:35.200]  聊著聊著他就說了很多事情
[00:01:35.200 --> 00:01:36.200]  其中一兩件事我覺得
[00:01:36.200 --> 00:01:38.300]  哇 真的不少事
[00:01:38.300 --> 00:01:40.800]  他說有一次回家就發現門鎖
[00:01:40.800 --> 00:01:42.400]  被人撬爛了
[00:01:42.400 --> 00:01:45.500]  哇 心裡不妙了
[00:01:45.500 --> 00:01:47.600]  一進去發現衣服都落地了
[00:01:47.600 --> 00:01:48.900]  櫃桶都開了
[00:01:48.900 --> 00:01:49.700]  我就立即報警
[00:01:49.700 --> 00:01:51.400]  警察來的時候
[00:01:51.400 --> 00:01:52.500]  他就問了一個問題
[00:01:52.500 --> 00:01:53.400]  他說 這麼有趣的
[00:01:53.400 --> 00:01:56.000]  你房間的梳妝桌上
[00:01:56.000 --> 00:01:57.200]  你是不是斬雞
[00:01:57.200 --> 00:01:59.400]  有一把菜刀
[00:01:59.400 --> 00:02:02.900]  哇 原來那個入屋行劫的人
[00:02:02.900 --> 00:02:04.700]  把菜刀放在桌子上
[00:02:04.700 --> 00:02:05.600]  如果
[00:02:05.600 --> 00:02:07.600]  我猜後面就不知道了
[00:02:07.600 --> 00:02:09.500]  可能他打劫的時候
[00:02:09.500 --> 00:02:11.000]  如果有人回來
[00:02:11.000 --> 00:02:12.900]  他就拿刀學他
[00:02:12.900 --> 00:02:14.000]  我們說 哇 真的好
[00:02:14.000 --> 00:02:15.100]  那等下他打劫的時候
[00:02:15.100 --> 00:02:16.000]  你不在這裡
[00:02:16.000 --> 00:02:17.000]  回不來
[00:02:17.000 --> 00:02:18.400]  現在更危險
[00:02:18.400 --> 00:02:19.200]  他說 那就是啊
[00:02:19.200 --> 00:02:20.200]  他說 真的啊
[00:02:20.200 --> 00:02:21.900]  然後說話很有趣的
[00:02:21.900 --> 00:02:23.800]  早幾年他們在家裡
[00:02:23.800 --> 00:02:26.800]  外場去維修
[00:02:26.800 --> 00:02:28.100]  搭了棚
[00:02:28.100 --> 00:02:31.000]  凌晨兩點鐘去廁所
[00:02:31.000 --> 00:02:31.900]  他突然間
[00:02:31.900 --> 00:02:33.600]  看到一個男人在棚上
[00:02:33.600 --> 00:02:34.800]  望著家裡
[00:02:34.800 --> 00:02:35.900]  他心想
[00:02:35.900 --> 00:02:37.300]  凌晨兩點鐘就開工
[00:02:37.300 --> 00:02:39.900]  這麼勤力的
[00:02:39.900 --> 00:02:41.100]  他就想 應該不是
[00:02:41.100 --> 00:02:42.600]  應該是打劫啊
[00:02:42.600 --> 00:02:44.700]  於是就拍他的兒子醒來
[00:02:44.700 --> 00:02:45.700]  真的很有趣
[00:02:45.700 --> 00:02:47.500]  人生的確有很多事情
[00:02:47.500 --> 00:02:51.300]  超越我們想像是很難明白的
[00:02:51.300 --> 00:02:53.100]  這個世界有一種的秩序
[00:02:53.100 --> 00:02:56.000]  有一種的價值觀在運行著
[00:02:56.000 --> 00:02:58.500]  而我們要回應這一種
[00:02:58.500 --> 00:03:00.400]  憂心
[00:03:00.400 --> 00:03:01.800]  駕馭不了的困難
[00:03:01.800 --> 00:03:04.200]  必須要用聖經的秩序
[00:03:04.200 --> 00:03:05.700]  聖經的真理
[00:03:05.700 --> 00:03:07.000]  福音的力量
[00:03:07.000 --> 00:03:09.000]  今天我們說到
[00:03:09.000 --> 00:03:12.200]  怎樣可以突破這一種的障礙
[00:03:12.200 --> 00:03:14.800]  人生裡面最開始
[00:03:14.800 --> 00:03:15.900]  那個位置
[00:03:15.900 --> 00:03:19.700]  怎樣可以去回應著
[00:03:19.700 --> 00:03:23.400]  我們人生必然經過的艱難
[00:03:23.400 --> 00:03:25.000]  如果我們用錯方法
[00:03:25.000 --> 00:03:27.500]  用個玩具車去剷這個石頭
[00:03:27.500 --> 00:03:28.600]  是一定行的
[00:03:28.600 --> 00:03:30.800]  這個世界有很多假象
[00:03:30.800 --> 00:03:32.300]  你覺得很容易可以回應
[00:03:32.300 --> 00:03:33.300]  其實不會的
[00:03:33.300 --> 00:03:35.600]  我們必須要回到真理中
[00:03:35.600 --> 00:03:37.100]  今天我講到怎樣
[00:03:37.100 --> 00:03:37.900]  司洗約翰
[00:03:37.900 --> 00:03:40.100]  今天第三章講到司洗約翰出來
[00:03:40.100 --> 00:03:43.400]  他講到接受福音原來都有障礙
[00:03:43.400 --> 00:03:46.100]  福音帶來什麼改變
[00:03:46.100 --> 00:03:47.600]  怎樣可以清除障礙
[00:03:47.600 --> 00:03:50.800]  如果我們沒有清除這個障礙
[00:03:50.800 --> 00:03:52.200]  會帶來什麼後果
[00:03:52.200 --> 00:03:53.100]  好嗎
[00:03:53.100 --> 00:03:54.100]  所以呢
[00:03:54.100 --> 00:03:56.200]  今天次級大家
[00:03:56.200 --> 00:03:57.600]  幾點好啊
[00:03:57.600 --> 00:03:58.500]  三點
[00:03:58.500 --> 00:04:00.400]  因為我們十一週年六月
[00:04:00.400 --> 00:04:01.500]  多送一個點給你
[00:04:01.500 --> 00:04:02.600]  四點好啊
[00:04:02.600 --> 00:04:03.300]  跟我們旁邊的人說
[00:04:03.300 --> 00:04:05.700]  今天有四點好啊
[00:04:05.700 --> 00:04:07.400]  好了先看看背景
[00:04:07.400 --> 00:04:09.400]  耶穌出來傳道之前
[00:04:09.400 --> 00:04:11.600]  有一個報道家叫約翰
