
[00:00:00.000 --> 00:00:05.000]  今天是母親節,在此先祝各位母親節快樂
[00:00:05.000 --> 00:00:11.000]  因為在疫情之下,相信大家慶祝母親節的方式可能跟以前都很不同
[00:00:11.000 --> 00:00:17.000]  不過無論如何,都會令我們留下一個很難忘的母親節
[00:00:17.000 --> 00:00:20.000]  今天很想跟大家看一段聖經
[00:00:20.000 --> 00:00:27.000]  記載在聶王紀上第三章十六至二十八節
[00:00:29.000 --> 00:00:35.000]  這段聖經記載有兩個妓女,都是媽媽,壞人
[00:00:35.000 --> 00:00:40.000]  最後生了小朋友,一晚其中一個媽媽壓死了自己的小孩
[00:00:40.000 --> 00:00:45.000]  然後偷偷換了別人的小孩,將活的小孩放回自己身上
[00:00:45.000 --> 00:00:50.000]  當第二天醒來時,母親發覺孩子死了不是自己的兒子
[00:00:50.000 --> 00:00:53.000]  原來對方偷換了,於是就爭拗
[00:00:53.000 --> 00:00:57.000]  這件事就帶到比王面前來審斷
[00:00:57.000 --> 00:01:01.000]  其中一個困難的地方就是沒有見證人
[00:01:01.000 --> 00:01:05.000]  於是就在爭論,求王作一個判斷
[00:01:05.000 --> 00:01:08.000]  未看這段經文,就要先認識一下
[00:01:08.000 --> 00:01:13.000]  這段經文的上文就在聶王紀上三章六至九節
[00:01:13.000 --> 00:01:16.000]  那裏記載所羅門登基做了皇帝之後
[00:01:16.000 --> 00:01:20.000]  有一天要去機片的地方祭祀神
[00:01:20.000 --> 00:01:25.000]  於是在那裏睡覺,晚上夢見上帝顯現
[00:01:25.000 --> 00:01:29.000]  上帝對所羅門說:你有什麼要求我呢?
[00:01:29.000 --> 00:01:32.000]  所羅門就求神給他智慧
[00:01:32.000 --> 00:01:36.000]  可以判斷國家裏的人民分別是非
[00:01:36.000 --> 00:01:40.000]  於是上帝就把智慧聰明賜給了所羅門
[00:01:40.000 --> 00:01:46.000]  於是所羅門就得到一個「聰明智慧」的名號
[00:01:46.000 --> 00:01:50.000]  而這個案件呈交到所羅門的時候
[00:01:50.000 --> 00:01:52.000]  真的要很考所羅門的「聰明智慧」
[00:01:52.000 --> 00:01:55.000]  因為兩個人各執一詞
[00:01:55.000 --> 00:01:59.000]  又沒有見證人去見證誰是真誰是假
[00:01:59.000 --> 00:02:03.000]  是很難定斷,是很需要智慧來判斷
[00:02:03.000 --> 00:02:07.000]  未看這段經文,我想問一條問題
[00:02:07.000 --> 00:02:09.000]  這條問題就是這樣
[00:02:09.000 --> 00:02:14.000]  為什麼這段案件會呈交到皇帝來處理呢?
[00:02:14.000 --> 00:02:18.000]  其實在文革時期都有其他方法
[00:02:18.000 --> 00:02:20.000]  有其他人可以處理
[00:02:20.000 --> 00:02:22.000]  那些叫做「事司」
[00:02:22.000 --> 00:02:24.000]  事司即是審判官
[00:02:24.000 --> 00:02:28.000]  譬如在事司的記載有一個事司叫做「底波拉」
[00:02:28.000 --> 00:02:32.000]  他在那裏很多人都會聽他判斷
[00:02:32.000 --> 00:02:34.000]  或者阿沙倫,即是大衛的兒子
[00:02:34.000 --> 00:02:36.000]  曾經說想做事司
[00:02:36.000 --> 00:02:39.000]  因為有什麼真相的事情可以到他那裏來判斷
[00:02:39.000 --> 00:02:42.000]  他就秉公辦理
[00:02:42.000 --> 00:02:45.000]  所以當有問題的時候不是去到皇帝那裏
[00:02:45.000 --> 00:02:48.000]  或者說皇帝是很忙的
[00:02:48.000 --> 00:02:50.000]  所以是去到那些事司
[00:02:50.000 --> 00:02:52.000]  事司去處理判斷
[00:02:52.000 --> 00:02:55.000]  如果事司處理不到判斷的時候
[00:02:55.000 --> 00:02:58.000]  最簡單就是求問上帝
[00:02:58.000 --> 00:03:00.000]  有什麼困難我們就去問上帝
[00:03:00.000 --> 00:03:02.000]  其實事司也可以求問上帝
[00:03:02.000 --> 00:03:04.000]  如果遇到困難的答案
[00:03:04.000 --> 00:03:06.000]  困難的案件的時候
[00:03:06.000 --> 00:03:07.000]  其實是可以的
[00:03:07.000 --> 00:03:10.000]  因為《十武士記》28章6節告訴我們
