
[00:00:00.000 --> 00:00:02.640]  好,我們一同來禱告
[00:00:02.640 --> 00:00:06.120]  天父,我們在你面前,非常的感恩是
[00:00:06.120 --> 00:00:09.080]  你仍然愛我們,你仍然聚集我們
[00:00:09.080 --> 00:00:13.080]  每週都有機會在平安的環境當中來敬拜你
[00:00:13.080 --> 00:00:16.160]  主啊,求你讓我們也紀念世界各地各方
[00:00:16.160 --> 00:00:20.080]  並不是如此自由地能夠敬拜你的弟兄姊妹
[00:00:20.080 --> 00:00:21.400]  求主與他們同在
[00:00:21.400 --> 00:00:23.800]  賜給他們力量,賜給你寶貴的話語
[00:00:23.800 --> 00:00:26.480]  我們把今天時間恭敬交託
[00:00:26.480 --> 00:00:30.400]  主講的聽的都求主你憐憫,禱告奉耶穌基督的名
[00:00:30.400 --> 00:00:32.400]  Amen
[00:00:32.400 --> 00:00:35.560]  好,我們一直在讀彼得前書
[00:00:35.560 --> 00:00:38.080]  其實彼得前書是在新的聖經當中
[00:00:38.080 --> 00:00:42.120]  和我們的現實生活非常切近的一卷書
[00:00:42.120 --> 00:00:44.440]  我們在哪個部分呢今天讀到
[00:00:44.440 --> 00:00:48.880]  其實就整個在彼得前書的一章十三節到
[00:00:48.880 --> 00:00:51.720]  二章十二節這整個的大段落當中
[00:00:51.720 --> 00:00:54.840]  其實他一直在談一個問題就是
[00:00:54.840 --> 00:00:58.920]  在這樣的一個世界當中基督徒怎麼樣能夠做一個有盼望的人
[00:00:58.920 --> 00:01:02.320]  而且能活出這種盼望的人生來
[00:01:02.320 --> 00:01:04.440]  那其實在這一大段呢
[00:01:04.440 --> 00:01:09.960]  二章的一章的十三到三章的十二節這樣的一個大段落裏面
[00:01:09.960 --> 00:01:13.800]  其實有一個核心的詞就是順服
[00:01:13.800 --> 00:01:21.280]  彼得用這個核心的概念的來縱橫交錯的編織出來一個整個基督徒的人生的畫面來
[00:01:21.280 --> 00:01:23.920]  首先的一個維度就是你跟上面
[00:01:23.920 --> 00:01:27.640]  在這個整個的神的大家庭當中呢
[00:01:27.640 --> 00:01:32.680]  我們做神的子女的要順服父神在世上聖潔度日
[00:01:32.680 --> 00:01:33.120]  然後呢
[00:01:33.120 --> 00:01:36.560]  要從在順服真理的這個基礎之上呢
[00:01:36.560 --> 00:01:38.400]  來彼此的相愛
[00:01:38.400 --> 00:01:39.320]  第三個維度呢
[00:01:39.320 --> 00:01:40.480]  就是順服基督
[00:01:40.480 --> 00:01:44.680]  然後彼此結成屬靈的聖殿
[00:01:44.680 --> 00:01:45.920]  那這是三個維度
[00:01:45.920 --> 00:01:46.680]  接下來呢
[00:01:46.680 --> 00:01:49.840]  彼得呢又談一個非常重要的問題
[00:01:49.840 --> 00:01:51.000]  在這個世界當中呢
[00:01:51.000 --> 00:01:52.120]  很不容易
[00:01:52.120 --> 00:01:55.200]  我們做一個基督徒存活非常的不容易
[00:01:55.200 --> 00:01:58.600]  他就舉出來三組非常特別的關係啊
[00:01:58.600 --> 00:01:59.360]  三組呢
[00:01:59.360 --> 00:02:03.840]  都是涉及到權柄的屬世的權柄
[00:02:03.840 --> 00:02:04.960]  還不是屬靈的權柄
[00:02:04.960 --> 00:02:07.560]  屬靈權柄順服父神順服真理
[00:02:07.560 --> 00:02:08.240]  順服基督
[00:02:08.240 --> 00:02:09.760]  他那已經說完了
[00:02:09.760 --> 00:02:12.680]  在三種屬世的權柄當中呢
[00:02:12.680 --> 00:02:17.720]  基督徒都被彼得安放在一個從屬的地位上啊
[00:02:17.720 --> 00:02:18.480]  所以聖經呢
[00:02:18.480 --> 00:02:20.960]  我常常說他有一種修士的筆法
[00:02:20.960 --> 00:02:24.440]  就是舉出特別極致的就遑論其他了
[00:02:24.440 --> 00:02:25.920]  都包括在內
[00:02:25.920 --> 00:02:27.560]  那到目前爲止
[00:02:27.560 --> 00:02:30.240]  我們已經分享過兩組的關係了
[00:02:30.240 --> 00:02:37.320]  也就是說基督徒作爲社會的公民和君王臣宰之間的這個關係
[00:02:37.320 --> 00:02:45.320]  然後我們上週上月分享了第二組的關係的就是基督徒的僕人和主人的關係
[00:02:45.320 --> 00:02:50.960]  注意君王臣宰和這個主人在彼得這裏都設定爲不信主的
[00:02:50.960 --> 00:02:53.840]  所以我們很難處理這種關係
[00:02:53.840 --> 00:02:54.440]  那今天呢
[00:02:54.440 --> 00:02:58.040]  我們要處理最後一組關係
