
[00:00:00.000 --> 00:00:04.120]  很高興和大家一起繼續延讀神的話語
[00:00:04.120 --> 00:00:09.000]  我們今天是變臉正傳的第三講
[00:00:09.000 --> 00:00:10.480]  就是最後一講
[00:00:10.480 --> 00:00:14.240]  但是下個星期我們有變臉後傳
[00:00:14.240 --> 00:00:18.440]  就是他們下山之後會遇到什麼挑戰
[00:00:18.440 --> 00:00:22.280]  上次我們看到真相
[00:00:22.280 --> 00:00:25.560]  主耶穌帶著三個門徒上山
[00:00:25.560 --> 00:00:28.000]  去改變祂的形象
[00:00:28.000 --> 00:00:30.040]  其實目的是什麼呢?
[00:00:30.040 --> 00:00:34.160]  就是讓門徒看到祂真正的本相
[00:00:34.160 --> 00:00:36.720]  神是滿有榮耀大能的
[00:00:36.720 --> 00:00:39.760]  不是現在他們過去所看到的
[00:00:39.760 --> 00:00:41.720]  是一個人的形象
[00:00:41.720 --> 00:00:43.720]  但是是歷盡滄桑
[00:00:43.720 --> 00:00:47.160]  甚至很快就會被釘十字架
[00:00:47.160 --> 00:00:49.560]  但是這個只不過是一個短暫的過程
[00:00:49.560 --> 00:00:52.280]  最終祂會去勝利
[00:00:52.280 --> 00:00:54.240]  就是我曾經講過
[00:00:54.240 --> 00:00:55.920]  就好像我們看電影
[00:00:55.920 --> 00:00:58.640]  有一個叫做trailer
[00:00:58.640 --> 00:01:00.240]  就是預告
[00:01:00.240 --> 00:01:03.040]  將一些精彩的片段給你看看
[00:01:03.040 --> 00:01:07.200]  那時候就是讓這些門徒有更大的信心
[00:01:07.200 --> 00:01:09.800]  來承擔這個使命
[00:01:09.800 --> 00:01:13.560]  主耶穌這個變象背後的意義
[00:01:13.560 --> 00:01:18.600]  我們可以從一顆種子裡體會出來
[00:01:18.600 --> 00:01:22.000]  大家都知道這些種子是很小的
[00:01:22.000 --> 00:01:25.720]  但是它包含了一些很美麗的生命
[00:01:25.720 --> 00:01:29.200]  當這些種子埋葬在地上
[00:01:29.200 --> 00:01:30.840]  就是埋在地上
[00:01:30.840 --> 00:01:32.400]  好像死了一樣
[00:01:32.400 --> 00:01:35.240]  但是它卻會萌芽生長
[00:01:35.240 --> 00:01:38.480]  突破了泥土的壓力
[00:01:38.480 --> 00:01:43.040]  然後生出很美麗的花朵
[00:01:43.040 --> 00:01:45.240]  如果我們就這樣看看一顆種子
[00:01:45.240 --> 00:01:46.440]  可能是黑色的
[00:01:46.440 --> 00:01:48.120]  可能是很小的
[00:01:48.120 --> 00:01:49.400]  但是我們看不見得到
[00:01:49.400 --> 00:01:53.720]  原來它包含著很美麗優雅
[00:01:53.720 --> 00:01:57.960]  甚至是色彩鮮艷的花朵
[00:01:57.960 --> 00:01:59.760]  雖然它只是微小
[00:01:59.760 --> 00:02:01.560]  雖然它只是普通
[00:02:01.560 --> 00:02:03.240]  但是好像別人看我們基督徒
[00:02:03.240 --> 00:02:04.440]  有時候覺得我們很弱
[00:02:04.440 --> 00:02:06.200]  很不行
[00:02:06.200 --> 00:02:07.640]  但是聖經說
[00:02:07.640 --> 00:02:11.240]  我們是有寶貝放在雅氣裡面
[00:02:11.240 --> 00:02:13.880]  我們是有很美麗的生命
[00:02:13.880 --> 00:02:15.720]  我們表面好像有軟弱
[00:02:15.720 --> 00:02:18.720]  但是我們靠著神是滿有能力的
[00:02:18.720 --> 00:02:24.040]  所以原來我們要從種子裡面看到
[00:02:24.040 --> 00:02:27.520]  一顆好像很微小的種子
[00:02:27.520 --> 00:02:30.200]  它是包含著很美麗的生命
[00:02:30.200 --> 00:02:31.280]  當然這些花朵
[00:02:31.280 --> 00:02:32.440]  其實我已經講過了
[00:02:32.440 --> 00:02:34.160]  這顆種子是要經過埋葬的
[00:02:34.160 --> 00:02:35.720]  它才會復活的
[00:02:35.720 --> 00:02:38.720]  所以我們要記住
[00:02:38.720 --> 00:02:41.120]  我們同樣是要經歷死亡
[00:02:41.120 --> 00:02:42.640]  然後才會復活
[00:02:42.640 --> 00:02:46.920]  為什麼主耶穌會帶我們去登山變象呢
[00:02:46.920 --> 00:02:48.160]  如果我們留意到
[00:02:48.160 --> 00:02:50.760]  原來是出有因的
[00:02:50.760 --> 00:02:54.680]  主耶穌特別帶領著三個祂所愛的門徒
[00:02:54.680 --> 00:02:57.840]  彼得、雅各、約翰上山
[00:02:57.840 --> 00:03:01.400]  讓祂暫時、短暫
[00:03:01.400 --> 00:03:04.800]  窺探到主耶穌的真相
[00:03:04.800 --> 00:03:07.960]  如果我們詳細查考聖經的時候
[00:03:07.960 --> 00:03:10.760]  發現耶穌只是帶著三個門徒
