
[00:00:00.000 --> 00:00:02.880]  各位親愛的弟兄姊妹 祝您平安
[00:00:02.880 --> 00:00:06.120]  我們已經有兩個月差不多沒有見了
[00:00:06.120 --> 00:00:09.620]  還是沒有能夠回家
[00:00:09.620 --> 00:00:14.380]  真是學好這門功課並不容易
[00:00:14.380 --> 00:00:17.600]  在日光之下的世道 人道當中
[00:00:17.600 --> 00:00:20.680]  去學習明白
[00:00:20.680 --> 00:00:23.740]  日光之上的天道
[00:00:23.740 --> 00:00:26.300]  真是一個不簡單的功課
[00:00:26.300 --> 00:00:30.140]  無論我們計劃的如何的周密
[00:00:30.140 --> 00:00:34.420]  但神若許可 我們就可以去這裏
[00:00:34.420 --> 00:00:36.000]  也可以去那裏
[00:00:36.000 --> 00:00:40.940]  神若不許可 我們只能待在我們該在的地方
[00:00:40.940 --> 00:00:46.240]  好 今天我們繼續來分享《雅各述》
[00:00:46.240 --> 00:00:51.260]  前兩次我們用了兩堂的時間
[00:00:51.260 --> 00:00:54.640]  來一起分享《雅各述》的第一章的前半部分
[00:00:54.640 --> 00:00:58.380]  就是第一節的到第十八節
[00:00:58.380 --> 00:01:02.160]  那就是看到在一個逆境當中
[00:01:02.160 --> 00:01:05.280]  在被逼迫當中
[00:01:05.280 --> 00:01:09.780]  神的子民應該如何的
[00:01:09.780 --> 00:01:13.080]  盡心盡意盡性的愛主我們的神
[00:01:13.080 --> 00:01:17.560]  並且如何的去看我們經歷的這些逼迫
[00:01:17.560 --> 00:01:20.120]  就用什麼樣的眼光來看這個逼迫
[00:01:20.120 --> 00:01:22.560]  找到逆境的意義
[00:01:22.560 --> 00:01:27.880]  我想這個是一節到十八節我們看到的
[00:01:27.880 --> 00:01:32.120]  那今天我們要看一章的十九節到二十七節
[00:01:32.120 --> 00:01:34.120]  也是最後的一個一章的部分
[00:01:34.120 --> 00:01:35.720]  讓我們一同來看經文
[00:01:35.720 --> 00:01:39.100]  也一同來誦讀這段經文
[00:01:39.100 --> 00:01:41.340]  好 一二 請
[00:01:41.340 --> 00:01:43.340]  我親愛的弟兄們
[00:01:43.340 --> 00:01:45.600]  這是你們所知道的
[00:01:45.600 --> 00:01:48.360]  但你們個人要快快的聽
[00:01:48.360 --> 00:01:51.280]  慢慢的說 慢慢的動怒
[00:01:51.280 --> 00:01:54.760]  因為人的怒氣並不成就神的意
[00:01:54.760 --> 00:01:59.800]  所以你們要脫去一切的污穢和盈餘的邪惡
[00:01:59.800 --> 00:02:03.540]  純溫柔的心領受那所栽種的道
