
[00:00:00.000 --> 00:00:03.480]  今天跟大家開始一個新的講道系列
[00:00:03.480 --> 00:00:05.720]  就像我剛纔所祈禱所講的
[00:00:05.720 --> 00:00:07.480]  不鬥雍還是不倒雍?
[00:00:07.480 --> 00:00:08.620]  不倒雍吧
[00:00:08.620 --> 00:00:09.820]  OK
[00:00:09.820 --> 00:00:13.780]  那爲什麼要講這樣的題目呢?
[00:00:13.780 --> 00:00:15.980]  事實上其實我討論裏面也提過
[00:00:15.980 --> 00:00:16.920]  因爲今天
[00:00:16.920 --> 00:00:19.640]  就算在美國一個這麼自由民主的國家裏面
[00:00:19.640 --> 00:00:21.240]  要做一個好的基督徒
[00:00:21.240 --> 00:00:23.400]  或者做一個認真的基督徒
[00:00:23.400 --> 00:00:25.640]  其實都要面對很多的難處
[00:00:25.640 --> 00:00:26.960]  很多的挑戰
[00:00:26.960 --> 00:00:29.720]  甚至是很多的攻擊
[00:00:29.720 --> 00:00:33.040]  我們是否能夠去面對這些攻擊
[00:00:33.040 --> 00:00:35.760]  而不被打倒呢?
[00:00:35.760 --> 00:00:37.520]  你看牧師斯斯文文
[00:00:37.520 --> 00:00:39.360]  最近很多人說牧師你瘦了
[00:00:39.360 --> 00:00:41.920]  我說我不是很察覺
[00:00:41.920 --> 00:00:44.000]  我年輕的時候其實也很活躍的
[00:00:44.000 --> 00:00:46.040]  現在我也很活躍的
[00:00:46.040 --> 00:00:48.680]  其中一件事
[00:00:48.680 --> 00:00:51.160]  我很喜歡看拳賽
[00:00:51.160 --> 00:00:52.520]  現在我很喜歡看
[00:00:52.520 --> 00:00:54.520]  可能你們說牧師打拳
[00:00:54.520 --> 00:00:55.280]  你也看?
[00:00:55.280 --> 00:00:56.600]  是啊 我和我兒子一起看
[00:00:56.600 --> 00:00:59.920]  發生什麼事都看
[00:00:59.920 --> 00:01:01.160]  我記得年輕的時候
[00:01:01.160 --> 00:01:02.960]  那個時候是什麼時代呢
[00:01:02.960 --> 00:01:04.800]  就是拳王阿里的時代
[00:01:04.800 --> 00:01:06.120]  大家都知道
[00:01:06.120 --> 00:01:07.920]  拳王阿里
[00:01:07.920 --> 00:01:10.240]  有很多的電影都曾經介紹過他
[00:01:10.240 --> 00:01:13.120]  拍過他的歷史
[00:01:13.120 --> 00:01:16.600]  其實他被稱爲拳擊史上
[00:01:16.600 --> 00:01:19.320]  一個最偉大的拳手
[00:01:19.320 --> 00:01:23.200]  在他拳擊生涯裏面一共打了61場
[00:01:23.200 --> 00:01:24.720]  他只是輸過5場
[00:01:24.720 --> 00:01:27.000]  所以說這是很驕人的成績
[00:01:27.000 --> 00:01:28.840]  而且在這5場當中
[00:01:28.840 --> 00:01:30.480]  沒有一個是被人KO
[00:01:30.480 --> 00:01:32.080]  打低不起來
[00:01:32.080 --> 00:01:33.360]  就是沒有的
[00:01:33.360 --> 00:01:35.440]  就是輸點數
[00:01:35.440 --> 00:01:40.200]  所以就是一個很偉大的拳擊家
[00:01:40.200 --> 00:01:43.400]  但是剛纔我和大家分享的是
[00:01:43.400 --> 00:01:46.040]  其實基督徒
[00:01:46.040 --> 00:01:47.080]  就算在美國
[00:01:47.080 --> 00:01:49.640]  都要面對很多的挑戰和攻擊
[00:01:49.640 --> 00:01:54.720]  我們怎樣能夠被打倒又站起來
[00:01:54.720 --> 00:01:56.320]  被打倒又站起來
[00:01:56.320 --> 00:01:59.800]  成爲一個屬靈的不鬥勇
[00:01:59.800 --> 00:02:02.080]  其實當我們講到這個問題的時候
[00:02:02.080 --> 00:02:03.600]  可能我們心裏面
[00:02:03.600 --> 00:02:06.960]  都有些很氣餒的感覺
[00:02:06.960 --> 00:02:09.880]  因爲很多時候
[00:02:09.880 --> 00:02:11.440]  我們曾經失敗
[00:02:11.440 --> 00:02:14.160]  甚至現在可能我們還在失敗中
[00:02:14.160 --> 00:02:15.640]  我們曾經跌倒
[00:02:15.640 --> 00:02:18.040]  但是我們曾經亦都試過
[00:02:18.040 --> 00:02:19.440]  掙扎很久
