
[00:00:00.000 --> 00:00:01.800]  所以今天是一個很好的日子
[00:00:01.800 --> 00:00:03.800]  在感恩節的主日裏面
[00:00:03.800 --> 00:00:07.000]  回來跟大家說多謝
[00:00:07.000 --> 00:00:10.000]  亦都在今天的訊息裏面
[00:00:10.000 --> 00:00:11.500]  我們都去思想
[00:00:11.500 --> 00:00:12.800]  一起去思想
[00:00:12.800 --> 00:00:16.000]  感恩這個題目
[00:00:16.000 --> 00:00:18.200]  可能大家會覺得很奇怪
[00:00:18.200 --> 00:00:21.000]  今天我們讀的經文好像封罵牛所不及
[00:00:21.000 --> 00:00:22.700]  不是很相關的
[00:00:22.700 --> 00:00:24.100]  那我待會就解釋一下
[00:00:24.100 --> 00:00:25.600]  這個關係在哪裏
[00:00:25.600 --> 00:00:27.200]  那我們都知道
[00:00:27.200 --> 00:00:29.000]  在第一段的經文裏面
[00:00:29.200 --> 00:00:31.800]  提醒我們一個很重要的地方
[00:00:31.800 --> 00:00:32.900]  就是說
[00:00:32.900 --> 00:00:34.400]  我們蒙恩的人
[00:00:34.400 --> 00:00:36.000]  蒙恩的人
[00:00:36.000 --> 00:00:38.000]  不是只有口去說的
[00:00:38.000 --> 00:00:39.400]  不只是我們說
[00:00:39.400 --> 00:00:40.400]  我們很感恩
[00:00:40.400 --> 00:00:42.000]  我們很多謝主
[00:00:42.000 --> 00:00:44.400]  不只是說
[00:00:44.400 --> 00:00:45.600]  說是需要
[00:00:45.600 --> 00:00:47.900]  但是這裏的經文提醒我們一件事
[00:00:47.900 --> 00:00:50.200]  行事為人
[00:00:50.200 --> 00:00:53.600]  就當與所蒙的恩相情
[00:00:53.600 --> 00:00:57.800]  我們領受了神給我們這麼大的恩典的話
[00:00:58.000 --> 00:00:59.400]  我們亦都是需要
[00:00:59.400 --> 00:01:02.000]  全人去獻上
[00:01:02.000 --> 00:01:06.000]  讓他的恩典和我們所作的事
[00:01:06.000 --> 00:01:08.000]  是相賠的
[00:01:08.000 --> 00:01:09.600]  所以在這裏
[00:01:09.600 --> 00:01:11.600]  第一段的經文提醒我們
[00:01:11.600 --> 00:01:12.900]  不是只是說的
[00:01:12.900 --> 00:01:13.700]  我們要做的
[00:01:13.700 --> 00:01:14.900]  我們要行動的
[00:01:14.900 --> 00:01:16.700]  我們日常的生活
[00:01:16.700 --> 00:01:20.300]  成為感恩的獻上
[00:01:20.300 --> 00:01:21.300]  感恩的祭
[00:01:21.300 --> 00:01:23.900]  於是接下來的問題
[00:01:23.900 --> 00:01:25.100]  那我怎樣做
[00:01:25.100 --> 00:01:27.100]  怎樣才可以
[00:01:27.100 --> 00:01:30.000]  達到行事為人與所蒙的恩相情
[00:01:30.000 --> 00:01:32.200]  那今天我們就藉著一個
[00:01:32.200 --> 00:01:33.800]  反面的例子
[00:01:33.800 --> 00:01:36.900]  我們經常都聽到很多正面的例子
[00:01:36.900 --> 00:01:39.000]  但是今天想和大家分享
[00:01:39.000 --> 00:01:40.500]  反面的例子
[00:01:40.500 --> 00:01:41.500]  提醒我們
[00:01:41.500 --> 00:01:42.300]  警惕我們
[00:01:42.300 --> 00:01:43.900]  但是在反面的例子之中
[00:01:43.900 --> 00:01:45.800]  有些地方的準則
[00:01:45.800 --> 00:01:47.500]  又可以幫助我們
[00:01:47.500 --> 00:01:50.200]  去知道怎樣去感恩
[00:01:50.200 --> 00:01:51.700]  我們看看
[00:01:51.700 --> 00:01:53.900]  接下來的第二段的經文
[00:01:53.900 --> 00:01:56.300]  第二段的經文就在生命記那裏
[00:01:56.800 --> 00:01:59.200]  生命記這一段的經文就提到
[00:01:59.200 --> 00:02:04.200]  神給了以色列人立王
[00:02:04.200 --> 00:02:05.400]  立君王
[00:02:05.400 --> 00:02:07.700]  有些準則和條件
[00:02:07.700 --> 00:02:10.200]  有幾樣東西是不可以做的
[00:02:10.200 --> 00:02:13.300]  有哪些不可以做的
[00:02:13.300 --> 00:02:15.800]  第一樣不可以是
[00:02:15.800 --> 00:02:19.500]  不可以為自己加添麻醉
[00:02:19.500 --> 00:02:23.500]  也都不可以使得百姓回到埃及那裏
[00:02:23.500 --> 00:02:26.100]  那為甚麼要去埃及
[00:02:26.300 --> 00:02:27.300]  因為很多時候
[00:02:27.300 --> 00:02:30.400]  漂亮的馬匹在埃及那裏可以賣
[00:02:30.400 --> 00:02:33.500]  所以如果要買一些好的馬匹
[00:02:33.500 --> 00:02:36.300]  就回到埃及那裏去買馬匹
[00:02:36.300 --> 00:02:39.100]  於是大家想想
[00:02:39.100 --> 00:02:43.000]  為甚麼不可以回埃及那裏買馬匹
[00:02:43.000 --> 00:02:45.200]  作為一國之君
[00:02:45.200 --> 00:02:48.300]  為甚麼不可以呢
[00:02:48.300 --> 00:02:51.400]  我們又要想一想
[00:02:51.400 --> 00:02:53.200]  馬匹的作用是甚麼
[00:02:54.600 --> 00:02:56.900]  在香港我們一想起馬匹
[00:02:56.900 --> 00:03:00.700]  自然會想起財馬會
[00:03:00.700 --> 00:03:03.400]  看見他們跑馬跑馬
[00:03:03.400 --> 00:03:04.800]  然後有些人賭錢
[00:03:04.800 --> 00:03:06.500]  以前來說不是這樣的
[00:03:06.500 --> 00:03:08.600]  不是用馬匹來賭錢的
[00:03:08.600 --> 00:03:11.000]  馬匹是用來做甚麼
[00:03:11.000 --> 00:03:12.100]  是用來運輸嗎
[00:03:12.100 --> 00:03:13.800]  我們用來做物流
[00:03:13.800 --> 00:03:17.400]  用馬拖馬車去做運輸
[00:03:17.400 --> 00:03:19.400]  也不是的
[00:03:19.400 --> 00:03:21.300]  在那個時代
[00:03:22.200 --> 00:03:26.100]  運輸多數是用雷和爐
[00:03:26.100 --> 00:03:28.200]  去做運輸
[00:03:28.200 --> 00:03:29.400]  那馬要做甚麼
[00:03:29.400 --> 00:03:33.000]  馬要來打仗
[00:03:33.000 --> 00:03:35.600]  攻城掠地
[00:03:35.600 --> 00:03:39.300]  是一個武力的顯明
[00:03:39.300 --> 00:03:41.600]  你想想如果打仗
[00:03:41.600 --> 00:03:46.200]  你就用木劍和盾牌
[00:03:46.200 --> 00:03:48.000]  人家就用馬兵
