
[00:00:00.000 --> 00:00:05.000]  我們上個星期開始看一個新的講道系列
[00:00:05.000 --> 00:00:07.000]  是講若拿書
[00:00:07.000 --> 00:00:10.000]  我給了一個題目叫做「阿非正傳」
[00:00:10.000 --> 00:00:14.000]  若拿在希伯來文的意思是甲子
[00:00:14.000 --> 00:00:17.000]  所以叫他做阿非其實非常貼切
[00:00:17.000 --> 00:00:20.000]  這個阿非是一個rebel without a cause
[00:00:20.000 --> 00:00:24.000]  我們可以說他是一個無厘頭的叛逆者
[00:00:24.000 --> 00:00:29.000]  但我相信最後這個阿非是有飛回到耶和華的身邊
[00:00:29.000 --> 00:00:31.000]  所以我的題目是
[00:00:31.000 --> 00:00:36.000]  阿非正傳回轉若拿眼中的耶和華
[00:00:36.000 --> 00:00:38.000]  當你留心去看若拿書的時候
[00:00:38.000 --> 00:00:43.000]  你發覺他用了48節的聖經去寫他的懺悔錄
[00:00:43.000 --> 00:00:45.000]  在這48節的聖經裏面
[00:00:45.000 --> 00:00:48.000]  他將自己貶低
[00:00:48.000 --> 00:00:53.000]  以至他可以高舉他所要仰望的耶和華
[00:00:53.000 --> 00:00:57.000]  最後整本若拿書的主角不是若拿
[00:00:57.000 --> 00:01:00.000]  而是若拿的神是耶和華
[00:01:00.000 --> 00:01:04.000]  他用了一個很特別的手法去寫這本書
[00:01:04.000 --> 00:01:06.000]  他好像一個舞台劇
[00:01:06.000 --> 00:01:11.000]  你發覺在這個舞台劇裏面有兩個主要的背景
[00:01:11.000 --> 00:01:14.000]  一個是波濤洶湧的大海
[00:01:14.000 --> 00:01:18.000]  另外一個是沙塵滾滾的大城
[00:01:18.000 --> 00:01:22.000]  而每一個場景又可以分為兩幕
[00:01:22.000 --> 00:01:27.000]  一個是海的上面 一個是海的下面
[00:01:27.000 --> 00:01:32.000]  一個是城的裏面 一個是城的外面
[00:01:32.000 --> 00:01:35.000]  他用這四幕的故事
[00:01:35.000 --> 00:01:40.000]  湊成了一個整體的見證
[00:01:40.000 --> 00:01:42.000]  好像建一間屋一樣
[00:01:42.000 --> 00:01:44.000]  上星期我們看了第一層
[00:01:44.000 --> 00:01:45.000]  今天我們要看第二層
[00:01:45.000 --> 00:01:48.000]  接著我們再看第三層 第四層
[00:01:48.000 --> 00:01:51.000]  我相信若拿書是一個活生生的歷史
[00:01:51.000 --> 00:01:55.000]  我相信若拿書是一個精闢的文學作品
[00:01:55.000 --> 00:01:58.000]  最後他是一個美麗動人的見證
[00:01:58.000 --> 00:02:00.000]  見證耶和華的偉大
[00:02:00.000 --> 00:02:04.000]  於是上星期我們開始看「逃奔怒海」
[00:02:04.000 --> 00:02:06.000]  今天我們要看「葬身漁福」
[00:02:06.000 --> 00:02:09.000]  下星期我們看「螞蟻迴轉」
[00:02:09.000 --> 00:02:13.000]  最後「憤怒求死」
[00:02:13.000 --> 00:02:16.000]  四層樓的大樓
[00:02:16.000 --> 00:02:19.000]  但最後還有一樣最重要的東西
[00:02:19.000 --> 00:02:23.000]  就是每一層樓都指向耶穌基督的十字架
[00:02:23.000 --> 00:02:29.000]  這個建築物最後掛著耶穌基督的十字架
[00:02:29.000 --> 00:02:32.000]  這樣才是一個恩典的大樓
[00:02:32.000 --> 00:02:34.000]  正如我們工理堂一樣
[00:02:34.000 --> 00:02:38.000]  你不可能想像建了24層樓之後
[00:02:38.000 --> 00:02:42.000]  外面是沒有一個十字架
[00:02:42.000 --> 00:02:46.000]  上星期我們看的第一章裏面
[00:02:46.000 --> 00:02:48.000]  若拿展示給我們看耶和華
[00:02:48.000 --> 00:02:51.000]  是一個大而可畏的耶和華
[00:02:51.000 --> 00:02:56.000]  他大而可畏是因為他對人的罪與叛逆
[00:02:56.000 --> 00:02:58.000]  有大大的憤怒
[00:02:58.000 --> 00:03:00.000]  正如若拿的逃避
[00:03:00.000 --> 00:03:04.000]  讓神興起他的巨風
[00:03:04.000 --> 00:03:06.000]  狂風作浪在海裏面
[00:03:06.000 --> 00:03:08.000]  顯出他的大怒
[00:03:08.000 --> 00:03:10.000]  但從另一個角度來看
