
[00:00:00.000 --> 00:00:04.360]  今天是我們2026年的第一篇信息
[00:00:04.360 --> 00:00:06.560]  一如既往的就是
[00:00:06.560 --> 00:00:10.400]  教會每年都會有一個新的主題
[00:00:10.400 --> 00:00:12.500]  去年的主題大家記不記得是甚麼呢?
[00:00:12.500 --> 00:00:17.400]  慶幸還有人記得
[00:00:17.400 --> 00:00:18.360]  有些人回答我
[00:00:18.360 --> 00:00:21.440]  有些人我見到樣子有些神情彷彿
[00:00:21.440 --> 00:00:23.240]  今年的主題是甚麼呢?
[00:00:23.240 --> 00:00:26.840]  教會今年的主題其實就是多待同行
[00:00:26.840 --> 00:00:28.720]  其實多待同行是說甚麼呢?
[00:00:28.720 --> 00:00:30.760]  其實是我們同福
[00:00:30.760 --> 00:00:34.320]  是在說未來20年發展的方向之一
[00:00:34.320 --> 00:00:36.640]  這個主題其實顧名思義
[00:00:36.640 --> 00:00:40.000]  就是希望弟兄姊妹可以學到更加多
[00:00:40.000 --> 00:00:42.600]  跟不同世代的人可以同行
[00:00:42.600 --> 00:00:44.720]  而不是走這個世界那一套
[00:00:44.720 --> 00:00:46.320]  即是大家只顧自己
[00:00:46.320 --> 00:00:48.840]  甚麼都只是咪咪咪的時候
[00:00:48.840 --> 00:00:51.640]  特別是我們現在這個世代
[00:00:51.640 --> 00:00:53.680]  其實坊間有很多人教我們的是甚麼呢?
[00:00:53.680 --> 00:00:57.280]  就是那些不合心意就不要談
[00:00:57.280 --> 00:00:59.600]  大家不合心意就走開一點
[00:00:59.600 --> 00:01:00.680]  你不要惹我
[00:01:00.680 --> 00:01:01.800]  我不要惹你
[00:01:01.800 --> 00:01:02.520]  這樣就不錯了
[00:01:02.520 --> 00:01:07.480]  盡量避開一些有機會發生衝突的事情
[00:01:07.480 --> 00:01:09.760]  不過當我去想的時候
[00:01:09.760 --> 00:01:11.880]  其實很多時候這些衝突
[00:01:11.880 --> 00:01:15.680]  大家彼此的意見有不同
[00:01:15.680 --> 00:01:17.880]  特別是不同世代的那種
[00:01:17.880 --> 00:01:24.080]  是在說由於這些人的成長環境很不同
[00:01:24.080 --> 00:01:28.080]  大家很自然就變成了在那個世代裏面
[00:01:28.080 --> 00:01:30.920]  有那個世代獨有的一些文化
[00:01:30.920 --> 00:01:34.400]  又或者是一些獨特的做人的原則
