
[00:00:00.000 --> 00:00:03.000]  不知大家有沒有這樣的經歷
[00:00:03.000 --> 00:00:08.000]  就是在聚精會神去做一些事時
[00:00:08.000 --> 00:00:11.000]  忽然有人來打擾你
[00:00:11.000 --> 00:00:14.000]  就搗亂了你的計劃
[00:00:14.000 --> 00:00:17.000]  你會怎樣反應呢?
[00:00:17.000 --> 00:00:22.000]  耶穌和門徒經歷過這樣的情況
[00:00:22.000 --> 00:00:25.000]  剛才我們讀經文提到
[00:00:25.000 --> 00:00:28.000]  門徒出外報道回來
[00:00:28.000 --> 00:00:32.000]  那次是第一次耶穌差派他們出外報道
[00:00:32.000 --> 00:00:34.000]  耶穌沒有跟他們去
[00:00:34.000 --> 00:00:35.000]  他們回來之後
[00:00:35.000 --> 00:00:38.000]  在《馬學福音》第六章第三十節
[00:00:38.000 --> 00:00:41.000]  第一次稱他們為使徒
[00:00:41.000 --> 00:00:43.000]  即是自己出去傳福音
[00:00:43.000 --> 00:00:45.000]  回來就是使徒
[00:00:45.000 --> 00:00:47.000]  Apostle
[00:00:47.000 --> 00:00:49.000]  你是不是使徒?
[00:00:49.000 --> 00:00:53.000]  他們回來就興高采烈
[00:00:53.000 --> 00:00:56.000]  出去醫病、講鬼
[00:00:56.000 --> 00:00:58.000]  那些鬼也聽他們的話
[00:00:58.000 --> 00:01:00.000]  那些病真的康復了
[00:01:00.000 --> 00:01:02.000]  他們回來就很開心
[00:01:02.000 --> 00:01:06.000]  有新的領袖、新的經歷、新的身份
[00:01:06.000 --> 00:01:09.000]  趕不及就要告訴耶穌
[00:01:09.000 --> 00:01:11.000]  怎樣怎樣
[00:01:11.000 --> 00:01:17.000]  其實那時的門徒都已經很疲累了
[00:01:17.000 --> 00:01:19.000]  耶穌對他們說
[00:01:19.000 --> 00:01:22.000]  來,你們到曠野休息一下
[00:01:22.000 --> 00:01:24.000]  那時來往的人多
[00:01:24.000 --> 00:01:27.000]  他們連吃飯的時間都沒有
[00:01:27.000 --> 00:01:32.000]  但是那群群眾
[00:01:32.000 --> 00:01:36.000]  很多人不放棄耶穌
[00:01:36.000 --> 00:01:38.000]  他們來找耶穌
[00:01:38.000 --> 00:01:42.000]  如果我們再看剛才所讀的三十三節
[00:01:42.000 --> 00:01:44.000]  群眾看見他們走了
[00:01:44.000 --> 00:01:47.000]  有許多人認出他們
[00:01:47.000 --> 00:01:49.000]  就從各城出來
[00:01:49.000 --> 00:01:50.000]  跑到那裡
[00:01:50.000 --> 00:01:53.000]  讓他們先講道
[00:01:53.000 --> 00:01:55.000]  耶穌對那群門徒說
[00:01:55.000 --> 00:01:57.000]  沒有機會休息
[00:01:57.000 --> 00:01:59.000]  如果你和我面對這樣的情況
[00:01:59.000 --> 00:02:01.000]  就可能不耐煩
[00:02:01.000 --> 00:02:03.000]  耶穌怎樣處理呢?
[00:02:03.000 --> 00:02:05.000]  第三十四節說
[00:02:05.000 --> 00:02:09.000]  耶穌看見一大群人憐憫他們
[00:02:09.000 --> 00:02:13.000]  因為他們好像羊、母、牧、人一樣
[00:02:13.000 --> 00:02:15.000]  或許你會奇怪
[00:02:15.000 --> 00:02:17.000]  為什麼會這麼多人?
[00:02:17.000 --> 00:02:19.000]  其實有個原因
[00:02:19.000 --> 00:02:23.000]  那時的路上真的有很多人
[00:02:23.000 --> 00:02:26.000]  原來他們每個人都去耶路撒冷
[00:02:26.000 --> 00:02:29.000]  因為逾越節近
[00:02:29.000 --> 00:02:32.000]  他們各城各鄉的人
[00:02:32.000 --> 00:02:35.000]  就去耶路撒冷過節
[00:02:35.000 --> 00:02:38.000]  逾越節就在耶穌出生之前
[00:02:38.000 --> 00:02:40.000]  大約一千五百年
[00:02:40.000 --> 00:02:46.000]  上帝差派摩西帶領以色列人出埃及
[00:02:46.000 --> 00:02:49.000]  英文叫 Passover
[00:02:49.000 --> 00:02:51.000]  開始的時候
[00:02:51.000 --> 00:02:53.000]  法老阻擋他們
[00:02:53.000 --> 00:02:56.000]  要上帝殺了埃及的長子
[00:02:56.000 --> 00:03:00.000]  但是以色列人是平安的
[00:03:00.000 --> 00:03:02.000]  因為他們將那些血
[00:03:02.000 --> 00:03:04.000]  將那些山羊的血
[00:03:04.000 --> 00:03:06.000]  塗在門尾、門腔上
[00:03:06.000 --> 00:03:09.000]  那個滅命的天使一見到血就過
[00:03:09.000 --> 00:03:10.000]  一見到血就過
[00:03:10.000 --> 00:03:12.000]  這個叫逾越節
[00:03:12.000 --> 00:03:16.000]  象徵以色列人離開埃及
[00:03:16.000 --> 00:03:18.000]  離開奴隸的生活
[00:03:18.000 --> 00:03:21.000]  建立一個獨立的國家
[00:03:21.000 --> 00:03:23.000]  引以為榮
[00:03:23.000 --> 00:03:24.000]  但是很可惜
[00:03:24.000 --> 00:03:26.000]  一千五百年之後
[00:03:26.000 --> 00:03:31.000]  他們又成為被人統治的民族
[00:03:31.000 --> 00:03:33.000]  他們被羅馬帝國統治
[00:03:33.000 --> 00:03:35.000]  沒有獨立、沒有自由
[00:03:35.000 --> 00:03:37.000]  所以他見到這位耶穌
[00:03:37.000 --> 00:03:39.000]  醫病講鬼
[00:03:39.000 --> 00:03:40.000]  這個就是尼塞亞
[00:03:40.000 --> 00:03:42.000]  尼塞亞尼就是拯救我們
[00:03:42.000 --> 00:03:45.000]  他就要擁護耶穌做皇帝
[00:03:45.000 --> 00:03:47.000]  不是為天國
[00:03:47.000 --> 00:03:49.000]  因為他們不懂得那一件事
[00:03:49.000 --> 00:03:53.000]  他們想著地上要脫離羅馬的統治
[00:03:53.000 --> 00:03:57.000]  所以這班人就帶著不同的目的
[00:03:57.000 --> 00:03:59.000]  每個都來找耶穌
