
[00:00:00.000 --> 00:00:02.000]  在我們先聽神的導議
[00:00:02.000 --> 00:00:03.400]  讓我們先同心禱告
[00:00:03.400 --> 00:00:05.400]  讓我們一起低頭同心禱告
[00:00:05.400 --> 00:00:08.500]  父神,多謝祢讓我們能夠再次
[00:00:08.500 --> 00:00:11.100]  返徒為一同學習祢的說話
[00:00:11.100 --> 00:00:13.100]  求主祢與我們同在
[00:00:13.100 --> 00:00:15.100]  在一個疫症當前的時候
[00:00:15.100 --> 00:00:17.600]  讓我們以一個很不一樣的空間
[00:00:17.600 --> 00:00:20.100]  來學習主祢的道理
[00:00:20.100 --> 00:00:22.100]  求祢的靈與我們同在
[00:00:22.100 --> 00:00:24.900]  求祢的保守與我們每個人同在
[00:00:24.900 --> 00:00:26.400]  堅固我們的心
[00:00:26.400 --> 00:00:28.100]  繫在主祢的身上
[00:00:28.100 --> 00:00:30.400]  很想我們能夠走在祢面前的道路
[00:00:30.400 --> 00:00:34.100]  仍然在眾多的風暴之中
[00:00:34.100 --> 00:00:37.900]  我們仍然可以依靠主祢前行
[00:00:37.900 --> 00:00:39.400]  求主祢的幫助
[00:00:39.400 --> 00:00:40.700]  我們能夠同心禱告
[00:00:40.700 --> 00:00:43.100]  奉靠主耶穌基督的聖名致以求
[00:00:43.100 --> 00:00:43.900]  阿們
[00:00:43.900 --> 00:00:46.900]  好,我們一起翻開聖經
[00:00:46.900 --> 00:00:49.900]  我會跟大家一起去再看看這段聖經
[00:00:49.900 --> 00:00:53.400]  今天我會專注去看第四至第七節
[00:00:53.400 --> 00:00:56.100]  但是我會跟大家一起再讀一下
[00:00:56.100 --> 00:00:57.900]  從第一節開始到第七節
[00:00:57.900 --> 00:00:59.900]  究竟前文後理是說些什麼
[00:00:59.900 --> 00:01:01.900]  好,找到聖經之後
[00:01:01.900 --> 00:01:03.900]  我們一起去打開,一起去研讀
[00:01:03.900 --> 00:01:07.900]  第二章的第一節
[00:01:07.900 --> 00:01:11.900]  拿訛米的丈夫爾利米勒的親族中
[00:01:11.900 --> 00:01:13.900]  有一個名叫波亞斯
[00:01:13.900 --> 00:01:15.900]  是個大財主
[00:01:15.900 --> 00:01:19.900]  摩訶女子路德對拿訛米說
[00:01:19.900 --> 00:01:21.900]  用我往田間去
[00:01:21.900 --> 00:01:23.900]  我蒙誰的恩
[00:01:23.900 --> 00:01:26.900]  就在誰的身後拾取墨水
[00:01:26.900 --> 00:01:27.900]  拿訛米說
[00:01:27.900 --> 00:01:29.900]  女兒啊,你只管去
[00:01:29.900 --> 00:01:31.900]  路德就去了
[00:01:31.900 --> 00:01:32.900]  來到田間
[00:01:32.900 --> 00:01:35.900]  就在收割的人身後拾取墨水
[00:01:35.900 --> 00:01:38.900]  他恰巧到了爾利米勒本族的人
[00:01:38.900 --> 00:01:40.900]  波亞斯那塊田裡
[00:01:40.900 --> 00:01:44.900]  波亞斯正與伯利行來
[00:01:44.900 --> 00:01:46.900]  對收割的人說
[00:01:46.900 --> 00:01:48.900]  願耶華與你們同在
[00:01:48.900 --> 00:01:50.900]  他們回答說
[00:01:50.900 --> 00:01:52.900]  願耶華賜福與你
[00:01:52.900 --> 00:01:56.900]  波亞斯問監管收割的僕人說
[00:01:56.900 --> 00:01:58.900]  那是誰家的女子
[00:01:58.900 --> 00:02:01.900]  監管收割的僕人回答說
[00:02:01.900 --> 00:02:03.900]  是那摩訶女子
[00:02:03.900 --> 00:02:06.900]  跟隨拿訛米從摩訶地回來
[00:02:06.900 --> 00:02:07.900]  她說
[00:02:07.900 --> 00:02:10.900]  請你用我跟著收割的人
[00:02:10.900 --> 00:02:14.900]  拾取打菌剩下的墨水
[00:02:14.900 --> 00:02:16.900]  她從早晨直到如今
[00:02:16.900 --> 00:02:22.900]  除了在屋子裡坐一會兒
[00:02:22.900 --> 00:02:27.900]  相信神的人與不相信神的人
[00:02:27.900 --> 00:02:29.900]  有一個很明顯的分別
[00:02:29.900 --> 00:02:31.900]  就是對事情發生的原因
[00:02:31.900 --> 00:02:34.900]  有一個截然不同的理解
[00:02:34.900 --> 00:02:36.900]  不相信神的人
[00:02:36.900 --> 00:02:40.900]  一般認為事情是可以出於偶然
[00:02:40.900 --> 00:02:42.900]  究竟是什麼原因
[00:02:42.900 --> 00:02:47.900]  他沒有考究認為只是機會率出現
[00:02:47.900 --> 00:02:49.900]  所以很多時候
[00:02:49.900 --> 00:02:52.900]  我們聽到很多不信主的人都會說
[00:02:52.900 --> 00:02:55.900]  幸好這麼巧合
[00:02:55.900 --> 00:02:57.900]  這些字眼都反映出
[00:02:57.900 --> 00:02:59.900]  其實不相信主的人
[00:02:59.900 --> 00:03:02.900]  他們對於事情發生的看法
[00:03:02.900 --> 00:03:04.900]  他沒有一個特定的原因
[00:03:04.900 --> 00:03:07.900]  但是對於神的子民來說
[00:03:07.900 --> 00:03:08.900]  一切事情的發生
[00:03:08.900 --> 00:03:12.900]  都是源於上帝的傳盤計劃
[00:03:12.900 --> 00:03:16.900]  上帝讓這個世界所發生的每一件事
[00:03:16.900 --> 00:03:19.900]  不是靠碰運氣而發生
[00:03:19.900 --> 00:03:21.900]  而是讓我們每一個屬神的人
[00:03:21.900 --> 00:03:23.900]  只需要我們小心翼翼
[00:03:23.900 --> 00:03:26.900]  跟隨主的步伐一起走的話
[00:03:26.900 --> 00:03:29.900]  只要每一步走在合神心意裡
[00:03:29.900 --> 00:03:31.900]  縱使我們還不知道下一步會怎樣
[00:03:31.900 --> 00:03:37.900]  但我們知道上帝仍然在掌管這件事的發生
