
[00:00:00.000 --> 00:00:01.660]  今天我的主題就是
[00:00:01.660 --> 00:00:05.800]  我用我很地道的廣東話去翻譯一下
[00:00:05.800 --> 00:00:07.800]  因為我不懂得看中文
[00:00:07.800 --> 00:00:13.640]  上帝如何在我們自給自足的陷阱救我們出來
[00:00:13.640 --> 00:00:14.740]  就是我的主題
[00:00:14.740 --> 00:00:17.160]  你懂得看中文所以你明白我說什麼
[00:00:17.160 --> 00:00:20.540]  第一點就是我們世界的掙扎
[00:00:20.540 --> 00:00:23.900]  為什麼我們有這麼多掙扎在這個世界
[00:00:23.900 --> 00:00:28.080]  就是在第22節到第24節
[00:00:28.080 --> 00:00:31.640]  我們先看一看第24節
[00:00:31.640 --> 00:00:38.380]  第24節用亞國做的動詞就是「摔跤」
[00:00:38.380 --> 00:00:46.700]  我就覺得這個作者其實是很有特意用這個動詞去講這件事
[00:00:46.700 --> 00:00:50.300]  因為我覺得這個「摔跤」這個動詞就是
[00:00:50.300 --> 00:00:56.880]  總結了他人生的一生 直到這一刻
[00:00:56.880 --> 00:00:59.400]  因為在亞國這一生
[00:00:59.400 --> 00:01:01.740]  我不講多一些背景 因為我記得
[00:01:01.740 --> 00:01:04.640]  我們十週年Mark有和你們講
[00:01:04.640 --> 00:01:06.640]  大概是經過創世紀
[00:01:06.640 --> 00:01:10.280]  我預了你們明白是誰在亞國
[00:01:10.280 --> 00:01:12.280]  他在這一生
[00:01:12.280 --> 00:01:17.880]  他基本上是和很多人很多事去摔跤的
[00:01:17.880 --> 00:01:22.680]  因為他想要優勢 他想控制大局
[00:01:22.680 --> 00:01:24.080]  但是你知道 鄧穎姐妹
[00:01:24.080 --> 00:01:26.480]  在創世紀25章23節
[00:01:26.480 --> 00:01:31.280]  她未出生之前 在她媽媽的肚子裏面
[00:01:31.280 --> 00:01:35.080]  上帝應許她是下一個成的人
[00:01:35.080 --> 00:01:39.880]  那個祝福是會去她那裏的
[00:01:39.880 --> 00:01:42.080]  但是我覺得她是真的太害怕
[00:01:42.080 --> 00:01:45.080]  她不相信上帝的這個應許
