
[00:00:00.000 --> 00:00:06.000]  很高興我們又來到這個禮拜天
[00:00:06.000 --> 00:00:08.000]  我們可以一起聚集
[00:00:08.000 --> 00:00:15.000]  雖然我們沒有辦法實體的在這裡一起聚集
[00:00:15.000 --> 00:00:18.000]  但是我們相信主的靈還是跟我們同在
[00:00:18.000 --> 00:00:20.000]  因為無論在哪個地方
[00:00:20.000 --> 00:00:22.000]  兩三個人奉主的命聚集
[00:00:22.000 --> 00:00:26.000]  主說祂就與我們同在
[00:00:26.000 --> 00:00:27.000]  祂要在我們中間
[00:00:27.000 --> 00:00:29.000]  這是最寶貴的
[00:00:29.000 --> 00:00:33.000]  沒有任何的東西比神的同在更寶貴
[00:00:33.000 --> 00:00:35.000]  在這一個紛紛擾擾的世界
[00:00:35.000 --> 00:00:38.000]  我們何等需要主與我們同在
[00:00:38.000 --> 00:00:40.000]  今天我們跟大家繼續來分享到
[00:00:40.000 --> 00:00:42.000]  啟示錄的七個教會
[00:00:42.000 --> 00:00:44.000]  其中的一個教會
[00:00:44.000 --> 00:00:46.000]  啟示錄七個教會我們已經講到了
[00:00:46.000 --> 00:00:49.000]  第一個教會我們講到彝福所
[00:00:49.000 --> 00:00:51.000]  彝福所教會的問題是什麼
[00:00:51.000 --> 00:00:53.000]  彝福所教會的問題
[00:00:53.000 --> 00:00:56.000]  就是他們離棄了起初的愛心
[00:00:56.000 --> 00:00:58.000]  然後我們也講到什麼教會
[00:00:58.000 --> 00:01:00.000]  上禮拜講什麼教會
[00:01:00.000 --> 00:01:05.000]  上禮拜我們講推亞、推拉教會
[00:01:05.000 --> 00:01:09.000]  所以我們講到啟示錄這七個教會
[00:01:09.000 --> 00:01:15.000]  每一個教會主都對它有稱讚或者是責備
[00:01:15.000 --> 00:01:20.000]  但是在聖經這七個教會當中
[00:01:20.000 --> 00:01:23.000]  有兩個教會
[00:01:23.000 --> 00:01:24.000]  如果你看這七個教會
[00:01:24.000 --> 00:01:26.000]  我們整個講完就知道了
[00:01:26.000 --> 00:01:28.000]  有兩個教會
[00:01:28.000 --> 00:01:35.000]  他們是曾經受到主的責備
[00:01:35.000 --> 00:01:40.000]  而他們並沒有受到這個稱讚
[00:01:40.000 --> 00:01:42.000]  哪兩個教會呢
[00:01:42.000 --> 00:01:46.000]  一個就是今天我們要講的這個沙迪教會
[00:01:46.000 --> 00:01:50.000]  另外一個就是老底家教會
[00:01:50.000 --> 00:01:52.000]  那麼沙迪教會
[00:01:52.000 --> 00:02:00.000]  這個教會是一個什麼樣教會呢
[00:02:00.000 --> 00:02:01.000]  我們來看看
[00:02:01.000 --> 00:02:03.000]  沙迪教會
[00:02:03.000 --> 00:02:06.000]  它也是在這個
[00:02:06.000 --> 00:02:07.000]  你可以看見
[00:02:07.000 --> 00:02:09.000]  我們在新約之旅的時候
[00:02:09.000 --> 00:02:12.000]  我們去過這七個教會的地方
[00:02:12.000 --> 00:02:17.000]  當然現在你已經看不到所謂的教會的樣子
[00:02:17.000 --> 00:02:21.000]  你只看到的很多都是一些殘垣斷壁
[00:02:21.000 --> 00:02:25.000]  但是你看見這個沙迪教會
[00:02:25.000 --> 00:02:28.000]  他今天就在那個時候
[00:02:28.000 --> 00:02:33.000]  當使徒約翰他在寫這個書信的時候
[00:02:33.000 --> 00:02:34.000]  他看見的
[00:02:34.000 --> 00:02:36.000]  神要他看見的寫出來的
[00:02:36.000 --> 00:02:40.000]  就是主對歷史歷代的教會所說的話
[00:02:40.000 --> 00:02:45.000]  不是只是針對當時候的這個沙迪教會
[00:02:45.000 --> 00:02:48.000]  沙迪教會並不是像以夫所教會
[00:02:48.000 --> 00:02:50.000]  或者像其他我們所提到教會一樣
