
[00:00:00.000 --> 00:00:07.000]  我們一起禱告,我們在天上的父神,我們來到祢面前,讓我們存在一個謙卑,順服的心。
[00:00:07.000 --> 00:00:11.000]  主,我們今天來到祢面前,我們定義要聽祢自己的話。
[00:00:11.000 --> 00:00:13.000]  主,祢賜給我們一個受教的耳朵。
[00:00:13.000 --> 00:00:16.000]  主,我們也把講的仰望在祢的手中。
[00:00:16.000 --> 00:00:21.000]  主,祢自己真的是賜給他一個受教的心,還有一個受教的舌頭。
[00:00:21.000 --> 00:00:25.000]  主,讓我們真的是到祢面前,我們向祢舉手。
[00:00:25.000 --> 00:00:29.000]  主,因為祢必把祢的話語賜給我們,祢必把祢的恩典賜給我們。
[00:00:29.000 --> 00:00:36.000]  主,讓我們在這裡大開我們的心,真的是領受祢自己從上頭來豐豐富富的恩典。
[00:00:36.000 --> 00:00:39.000]  我們感謝祢,禱告奉耶穌基督的聖名。
[00:00:39.000 --> 00:00:46.000]  我仔細地讀菲律賓書第四章第二節到二十三節的時候,
[00:00:46.000 --> 00:00:51.000]  我可以看出來保羅他這個第一個原則是跟教會有關的,
[00:00:51.000 --> 00:00:56.000]  或者是說跟教會的和睦,或者是跟教會的同心合一有關的。
[00:00:56.000 --> 00:01:02.000]  那麼從這第四節開始,其他都是真的比較關注在個人的品格,
[00:01:02.000 --> 00:01:06.000]  或者是他的性德,或者是保羅對教會的感激。
[00:01:06.000 --> 00:01:14.000]  那麼這是我們看到的,保羅在這裡讓我們看見一件事情,
[00:01:14.000 --> 00:01:18.000]  當我們要堅定我們的信心,或者是說要靠主佔領的穩,
[00:01:18.000 --> 00:01:22.000]  第一件事情在保羅的心裡面所看到的,保羅心裡面所想的,
[00:01:22.000 --> 00:01:27.000]  或者是聖靈告訴他的,就是要有一個穩定的教會。
[00:01:27.000 --> 00:01:33.000]  那麼我們今天不在這裡花很多的時間講什麼叫做穩定的教會,
[00:01:33.000 --> 00:01:37.000]  不過我知道在保羅的信息裡面是很重要的,
[00:01:37.000 --> 00:01:41.000]  因為對保羅來講,我們如果看過已福所書,
[00:01:41.000 --> 00:01:43.000]  或者是你把已福所書曾經背下來,
[00:01:43.000 --> 00:01:47.000]  曾經有人告訴我他要背已福所書,那麼我還在等。
