
[00:00:00.000 --> 00:00:03.760]  我們今天看的題目就是「羅亞」
[00:00:03.760 --> 00:00:06.180]  一想到羅亞就想到甚麼呢?
[00:00:06.180 --> 00:00:08.880]  「羅亞方舟」
[00:00:08.880 --> 00:00:14.400]  其實羅亞見方舟是因為他與神同行
[00:00:14.400 --> 00:00:18.080]  聖經先提到他的特點
[00:00:18.080 --> 00:00:20.580]  就是他與神同行
[00:00:20.580 --> 00:00:23.000]  所以神吩咐他見方舟
[00:00:23.000 --> 00:00:25.200]  所以他就做神的功
[00:00:25.200 --> 00:00:29.360]  為甚麼與神同行那麼重要呢?
[00:00:29.360 --> 00:00:31.000]  我們首先來看一節金句
[00:00:31.000 --> 00:00:33.000]  在《媚家書》
[00:00:33.000 --> 00:00:37.720]  我們主要學新季開始有《朝鮮之珠》
[00:00:37.720 --> 00:00:41.280]  其中一本書是《媚家書》第六章第八節
[00:00:41.280 --> 00:00:42.280]  很出名的經節
[00:00:42.280 --> 00:00:44.080]  我們一起讀一讀,好嗎?請讀
[00:00:44.080 --> 00:00:48.800]  世人啊,要我話以指示你何為善
[00:00:48.800 --> 00:00:52.280]  他向你所要的是甚麼呢?
[00:00:52.280 --> 00:01:01.600]  只要你行公義,好憐憫,存謙卑之心,與你的上帝同行
[00:01:01.600 --> 00:01:05.640]  這個正是神要我們世人所做的
[00:01:05.640 --> 00:01:09.240]  因為神希望我們與祂同行
[00:01:09.240 --> 00:01:13.640]  在人類歷史當中有很多事發生
[00:01:13.640 --> 00:01:17.440]  在聖經的歷史當中也有很多事發生
[00:01:17.440 --> 00:01:24.520]  有些是很興旺的、很順利的、很輝煌的
[00:01:24.520 --> 00:01:27.920]  有些也是很痛苦的、很慘淡的
[00:01:27.920 --> 00:01:30.200]  是講到神的審判的
[00:01:30.200 --> 00:01:36.320]  在《創世紀》中也讓我們看到有很多值得很雀躍的
[00:01:36.320 --> 00:01:38.760]  神創造天地萬物的那種美善
[00:01:38.760 --> 00:01:46.200]  但也在《創世紀》中看到罪是描寫的其中一個很重要的課題
[00:01:46.200 --> 00:01:49.080]  就是罪入了世界之後影響人類
[00:01:49.080 --> 00:01:56.280]  結果人類在很多的悲慘、在神的審判和痛苦中甚至滅亡
[00:01:56.280 --> 00:02:00.640]  我們看到有一個很重要的事就是神一向都是這樣
[00:02:00.640 --> 00:02:04.840]  希望我們世人做甚麼呢?就是與祂同行
[00:02:04.840 --> 00:02:10.040]  這裡提到我們說我們只要行公義,好憐憫,存謙卑之心
[00:02:10.040 --> 00:02:13.040]  與我們的上帝同行
[00:02:13.040 --> 00:02:16.960]  只是在世界充滿憂患
[00:02:16.960 --> 00:02:20.320]  有時候是令我們很興奮的事很多
[00:02:20.320 --> 00:02:22.320]  但令我們悲傷的事很多
[00:02:22.320 --> 00:02:26.640]  令我們充滿著前途一片光明的事也有
[00:02:26.640 --> 00:02:29.120]  但是同樣的令我們忽然間很失望
[00:02:29.120 --> 00:02:34.040]  感到好像差不多沒有希望的時候
[00:02:34.040 --> 00:02:36.840]  也都是不斷地打擊很多人的心
