
[00:00:00.000 --> 00:00:01.640]  各位頂尖的朋友好 我是陳牧師
[00:00:01.640 --> 00:00:06.560]  今天很高興和你們繼續討論文素記
[00:00:06.560 --> 00:00:13.920]  今日的經文是文素記第十四章二十二節至三十三節
[00:00:13.920 --> 00:00:16.920]  今日我給予這個題目是
[00:00:16.920 --> 00:00:20.360]  信不過上帝的迷失
[00:00:20.360 --> 00:00:23.480]  就是因為這班以色列人
[00:00:23.480 --> 00:00:25.400]  他們信不過上帝
[00:00:25.400 --> 00:00:32.600]  所以他們的後果就是在曠野裡漂流四十年之久
[00:00:32.600 --> 00:00:35.760]  我們首先做個禱告
[00:00:35.760 --> 00:00:37.720]  主一求你幫助我們今天
[00:00:37.720 --> 00:00:41.600]  開我們的眼睛 開我們的心靈
[00:00:41.600 --> 00:00:44.320]  也開我們的耳朵
[00:00:44.320 --> 00:00:48.760]  讓你的話語進入我們的心靈裡
[00:00:48.760 --> 00:00:50.840]  改變我們
[00:00:50.840 --> 00:00:53.920]  主一求祢祝福今日的時間
[00:00:53.920 --> 00:00:57.720]  讓祢的聖靈親自掌管
[00:00:57.720 --> 00:01:00.800]  我們祈禱 奉教主耶穌基督的名字而求
[00:01:00.800 --> 00:01:02.280]  Amen
[00:01:02.280 --> 00:01:06.080]  文素記第十四章
[00:01:06.080 --> 00:01:15.720]  第二十二節至第三十三節
[00:01:15.720 --> 00:01:18.280]  我讀一次給大家聽
[00:01:18.280 --> 00:01:26.280]  這些人雖看見我的榮耀和我在埃及和曠野所行的神蹟
[00:01:26.280 --> 00:01:28.440]  仍然刺探我這十次
[00:01:28.440 --> 00:01:30.400]  不聽從我的話
[00:01:30.400 --> 00:01:39.360]  他們斷不得看見我向他們的祖宗所起誓的應許之地
[00:01:39.360 --> 00:01:42.640]  從二十歲以外向我發怨言的
[00:01:42.640 --> 00:01:47.840]  必不得盡我所誓應許叫你們住的那地
[00:01:47.840 --> 00:01:55.080]  唯有耶夫尼的兒子加勒和嫩的兒子約書雅才能進去
[00:01:55.080 --> 00:02:00.640]  至於你們的屍首必倒在曠野
[00:02:00.640 --> 00:02:04.960]  你們的兒女必在曠野漂流四十年
[00:02:04.960 --> 00:02:07.680]  擔當你們淫行的罪
[00:02:07.680 --> 00:02:14.640]  直到你們的屍首在曠野消滅
[00:02:14.640 --> 00:02:17.960]  如果我們沒有信心
[00:02:17.960 --> 00:02:22.480]  我們甚麼都不能運作
[00:02:22.480 --> 00:02:29.640]  譬如我不相信這張桌子能夠承受一些重量的時候
