
[00:00:00.000 --> 00:00:02.000]  能夠一同敬拜
[00:00:02.000 --> 00:00:06.720]  是何等的美好
[00:00:06.720 --> 00:00:08.920]  我想在
[00:00:08.920 --> 00:00:12.600]  分享第一個很甜蜜的經驗
[00:00:12.600 --> 00:00:17.120]  就在今年1月29日
[00:00:17.120 --> 00:00:20.440]  禮拜五的早上
[00:00:20.440 --> 00:00:23.760]  我們幾位主任牧師
[00:00:23.760 --> 00:00:27.640]  就一起登上獅子山
[00:00:27.640 --> 00:00:34.240]  本來想去山腰拍個短片
[00:00:34.240 --> 00:00:37.480]  講幾句說話就可以完
[00:00:37.480 --> 00:00:40.160]  但原來不是去到山腰
[00:00:40.160 --> 00:00:42.960]  而是要去到山頂
[00:00:42.960 --> 00:00:44.960]  所以我聽到之後
[00:00:44.960 --> 00:00:47.760]  戰戰兢兢 行不行
[00:00:47.760 --> 00:00:51.040]  咬緊牙根
[00:00:51.040 --> 00:00:54.960]  用心希望真的行得到
[00:00:54.960 --> 00:00:57.800]  如果行不到就真是不好意思
[00:00:57.800 --> 00:01:02.240]  要半途就要自己走
[00:01:02.240 --> 00:01:05.280]  但很奇妙的是一起行的時候
[00:01:05.280 --> 00:01:07.520]  大家互相打氣
[00:01:07.520 --> 00:01:09.200]  又行得開心
[00:01:09.200 --> 00:01:11.880]  走著走著 氣就順了
[00:01:11.880 --> 00:01:14.200]  越走越有力
[00:01:14.200 --> 00:01:17.400]  竟然可以去到
[00:01:17.400 --> 00:01:21.080]  預備登到獅子山頂
[00:01:21.080 --> 00:01:22.720]  去到獅子山頂之後
[00:01:22.720 --> 00:01:24.520]  我們就完成了拍攝
[00:01:24.520 --> 00:01:26.000]  可以走了
[00:01:26.000 --> 00:01:34.600]  但吳牧師和馬牧師
[00:01:34.600 --> 00:01:38.920]  他們說要去到獅子山頂
[00:01:38.920 --> 00:01:40.960]  我說這麼厲害?
[00:01:40.960 --> 00:01:46.160]  他們說40年後沒有機會再上去了
[00:01:46.160 --> 00:01:47.320]  也有道理的
[00:01:47.320 --> 00:01:49.640]  我說我也想上去
[00:01:49.640 --> 00:01:53.080]  但有些人說不要上去做牧師
[00:01:53.080 --> 00:01:56.440]  但我見到兩位牧師這麼開心
[00:01:56.440 --> 00:01:58.360]  所以我就跟他們上去
[00:01:58.360 --> 00:02:01.400]  我跟他們上去的時候
[00:02:01.400 --> 00:02:04.600]  梁牧師也跟我上去
[00:02:04.600 --> 00:02:05.880]  方牧師沒有跟上
[00:02:05.880 --> 00:02:08.280]  我記得方牧師沒有跟上
[00:02:08.280 --> 00:02:10.280]  我們就上去了
[00:02:10.280 --> 00:02:13.720]  很開心
[00:02:13.720 --> 00:02:18.200]  見到我們很開心
[00:02:18.200 --> 00:02:23.160]  我們一起在山上為城鎮家立志
[00:02:23.160 --> 00:02:24.720]  這個經驗是何等美好
[00:02:24.720 --> 00:02:25.720]  是很興奮的
[00:02:25.720 --> 00:02:28.840]  是一個很好的團契
[00:02:28.840 --> 00:02:30.640]  去完這個團契之後
[00:02:30.640 --> 00:02:33.280]  大家心滿意足
[00:02:33.280 --> 00:02:38.240]  我們會務小組已經合作了八個多月
[00:02:38.240 --> 00:02:40.320]  可以說合作無間
[00:02:40.320 --> 00:02:43.320]  互相的信任是很歡喜的
[00:02:43.320 --> 00:02:46.440]  沒有猜度能夠同心合意
[00:02:46.440 --> 00:02:50.360]  繼續和合摸索
[00:02:50.360 --> 00:02:55.520]  究竟城鎮家要怎樣走前面的路
[00:02:55.520 --> 00:03:00.560]  在今年的3月17日
[00:03:00.560 --> 00:03:08.160]  我跟主任開完會務小組的會議
[00:03:08.160 --> 00:03:09.360]  開了三個小時
[00:03:09.360 --> 00:03:12.760]  開完之後見到一位城鎮家弟兄
[00:03:12.760 --> 00:03:20.280]  他跟我說「牧師,我現在在做心靈教正」
[00:03:20.280 --> 00:03:26.040]  我說「這麼好?你聽到這麼用心?」
