
[00:00:00.000 --> 00:00:02.000]  大英姐妹,早晨
[00:00:02.000 --> 00:00:04.000]  好高興今天見到大家
[00:00:04.000 --> 00:00:06.000]  上個禮拜我無法提醒大家
[00:00:06.000 --> 00:00:09.000]  我去了一個山明水秀的地方
[00:00:09.000 --> 00:00:11.000]  就是San Diego
[00:00:11.000 --> 00:00:13.000]  在那裡主講一個退休會
[00:00:13.000 --> 00:00:16.000]  感謝主使用我們的侍功
[00:00:16.000 --> 00:00:18.000]  讓我們能夠鼓勵不同的教會
[00:00:18.000 --> 00:00:20.000]  讓我們回到這個主題
[00:00:20.000 --> 00:00:21.000]  叫做「跨越」
[00:00:21.000 --> 00:00:24.000]  我們一直在說是「使徒行轉」
[00:00:24.000 --> 00:00:26.000]  「使徒行轉」如果有聖經的話
[00:00:26.000 --> 00:00:27.000]  跟我一起打開好嗎
[00:00:27.000 --> 00:00:30.000]  我們不需要依賴Powerpoint
[00:00:30.000 --> 00:00:33.000]  但是我們這次繼續講這個主題
[00:00:33.000 --> 00:00:34.000]  講到第八章
[00:00:34.000 --> 00:00:36.000]  如果你有使徒行轉打開第八章
[00:00:36.000 --> 00:00:39.000]  我們先講上次講到第六章
[00:00:39.000 --> 00:00:40.000]  第六章有什麼事
[00:00:40.000 --> 00:00:42.000]  第六章就是一個供應的問題
[00:00:42.000 --> 00:00:44.000]  因為講到有兩組的人
[00:00:44.000 --> 00:00:48.000]  一組是講希伯來話
[00:00:48.000 --> 00:00:52.000]  另一個教會裏面的群組是講希臘話的
[00:00:52.000 --> 00:00:55.000]  他們的寡婦是否有供應的問題
[00:00:55.000 --> 00:00:58.000]  所以使徒選擇了一些執事
[00:00:58.000 --> 00:01:01.000]  去配搭和侍奉
[00:01:01.000 --> 00:01:03.000]  未講第八章之前
[00:01:03.000 --> 00:01:05.000]  當然要講第七章
[00:01:05.000 --> 00:01:09.000]  第七章就是講到史提反的講道
[00:01:09.000 --> 00:01:12.000]  這裏我想去第七第八章
[00:01:12.000 --> 00:01:16.000]  去選一些章節去認識一位
