
[00:00:00.000 --> 00:00:02.820]  我們這是一個操練,需要操練
[00:00:02.820 --> 00:00:07.500]  因為這個世界太多的東西讓我們會容易沉
[00:00:07.500 --> 00:00:09.500]  是讓我們能夠消沉
[00:00:09.500 --> 00:00:12.500]  所以今天你來的這個地方,你要定義
[00:00:12.500 --> 00:00:15.500]  你要決定
[00:00:15.500 --> 00:00:20.500]  我要喜樂,我要得勝
[00:00:20.500 --> 00:00:23.500]  不管你帶著什麼樣子的問題來到這個地方
[00:00:23.500 --> 00:00:26.500]  你相不相信這位主,祂能夠幫助你
[00:00:26.500 --> 00:00:29.500]  你相不相信祂是你問題一切的答案
[00:00:29.500 --> 00:00:32.500]  你相信今天主要在你身上向你說話
[00:00:32.500 --> 00:00:35.500]  祂要帶著你,帶領你突破一切的困難
[00:00:35.500 --> 00:00:37.500]  你要帶著這樣的心來期待
[00:00:37.500 --> 00:00:39.500]  每一次聚會的時候,神應許我們說
[00:00:39.500 --> 00:00:43.500]  兩三個人奉主的名聚集,祂就這樣
[00:00:43.500 --> 00:00:46.500]  祂在我們中間,親愛的兄姊妹
[00:00:46.500 --> 00:00:49.500]  祂在我們中間,你相信嗎
[00:00:49.500 --> 00:00:54.500]  親愛的兄姊妹,你信是得著,就必得著
[00:00:54.500 --> 00:00:56.500]  如果你不信
[00:00:56.500 --> 00:00:59.500]  神及時榮耀的同在在這個地方
[00:00:59.500 --> 00:01:01.500]  你依然就像我
[00:01:01.500 --> 00:01:03.500]  今天就多講一點
[00:01:03.500 --> 00:01:07.500]  我就記得有一次,以前我在帶年輕人的時候
[00:01:07.500 --> 00:01:09.500]  有一次在retreat裡面
[00:01:09.500 --> 00:01:13.500]  大家在那個地方和睦禱告,被聖靈充滿
[00:01:13.500 --> 00:01:15.500]  特別是前面幾排的
[00:01:15.500 --> 00:01:19.500]  真的是被聖靈充滿到一個地步
[00:01:19.500 --> 00:01:24.500]  每一個人在那個地方哭,喜樂的各自都有
[00:01:24.500 --> 00:01:26.500]  我就發現說,當我要到後面去
[00:01:26.500 --> 00:01:29.500]  就是一排一排要去為他們按手禱告的時候
[00:01:29.500 --> 00:01:31.500]  到了最後一排
[00:01:31.500 --> 00:01:33.500]  因為我眼睛是張開的
[00:01:33.500 --> 00:01:37.500]  那suppose他們眼睛也應該是閉著對不對
[00:01:37.500 --> 00:01:40.500]  可是呢,我就看到後面站在一排有幾個人
[00:01:40.500 --> 00:01:45.500]  眼睛就在那邊偷瞇,就在那邊偷看
[00:01:45.500 --> 00:01:48.500]  所以他們的心不在那個地方
[00:01:48.500 --> 00:01:51.500]  雖然那一次是一個榮耀的退休會
[00:01:51.500 --> 00:01:53.500]  但是他們沒有經歷到神的同在
[00:01:53.500 --> 00:01:57.500]  他們沒有經歷到聖靈的充滿,可惜
[00:01:57.500 --> 00:02:01.500]  就是我盼望你不要miss到每一次的機會
[00:02:01.500 --> 00:02:04.500]  每一次的機會
[00:02:04.500 --> 00:02:07.500]  我們在這一段時間一直講主再來對不對
[00:02:07.500 --> 00:02:11.500]  主什麼時候會來,不知道
[00:02:11.500 --> 00:02:14.500]  也許就在今天機會當中,Amen
[00:02:14.500 --> 00:02:16.500]  他來的時候你不要打瞌睡
[00:02:16.500 --> 00:02:21.500]  跟你旁邊說不要打瞌睡啊
[00:02:21.500 --> 00:02:28.500]  今天也是我們的聖餐的主日
[00:02:28.500 --> 00:02:30.500]  那弟兄姊妹
[00:02:30.500 --> 00:02:34.500]  聖餐有一個很重要的目的
[00:02:34.500 --> 00:02:36.500]  格林托前書那邊告訴我們說
[00:02:36.500 --> 00:02:38.500]  就是紀念主
[00:02:38.500 --> 00:02:41.500]  一直紀念到什麼時候呢
[00:02:41.500 --> 00:02:44.500]  在格林托主耶穌講了一句話
[00:02:44.500 --> 00:02:47.500]  只等到祂來
[00:02:47.500 --> 00:02:50.500]  祂是誰,祂就是主耶穌
[00:02:50.500 --> 00:02:54.500]  所以歷代的聖徒在那邊紀念主的時候
[00:02:54.500 --> 00:02:57.500]  他們說有一天,有一天
[00:02:57.500 --> 00:02:59.500]  當主再來的時候
[00:02:59.500 --> 00:03:01.500]  耶穌在詩上就告訴門徒說
[00:03:01.500 --> 00:03:05.500]  我就要跟你一同在神的國裡面怎麼樣
[00:03:05.500 --> 00:03:07.500]  喝新的
[00:03:07.500 --> 00:03:09.500]  弟兄姊妹那是我們今天
[00:03:09.500 --> 00:03:12.500]  每一次聖餐其中一個很重要的
[00:03:12.500 --> 00:03:14.500]  我們知道我們的主要再來,Amen
[00:03:14.500 --> 00:03:20.500]  跟你旁邊說主要再來,Amen
[00:03:20.500 --> 00:03:22.500]  但是聖經上裡面讓我們看見
[00:03:22.500 --> 00:03:25.500]  主耶穌再來
[00:03:25.500 --> 00:03:28.500]  主耶穌再來是有一些預兆的
[00:03:28.500 --> 00:03:29.500]  對不對
[00:03:29.500 --> 00:03:30.500]  哪些預兆呢
[00:03:30.500 --> 00:03:32.500]  我們一起來讀這段聖經好不好
[00:03:32.500 --> 00:03:33.500]  來,預備請
[00:03:33.500 --> 00:03:38.500]  你們也要聽見打仗和打仗的風聲
[00:03:38.500 --> 00:03:40.500]  總不要驚慌
[00:03:40.500 --> 00:03:43.500]  因這些事是必須有的
