
[00:00:00.000 --> 00:00:02.000]  因為我們來自不同的背景
[00:00:02.000 --> 00:00:03.060]  有不同的性格
[00:00:03.060 --> 00:00:04.720]  不同的處事方法
[00:00:04.720 --> 00:00:06.800]  但是在這中間我們一定會有衝突的
[00:00:06.800 --> 00:00:09.100]  在衝突的過程中學習感恩
[00:00:09.100 --> 00:00:12.200]  因為其實可能有時候都不是對方全錯的
[00:00:12.200 --> 00:00:18.600]  還有要學習原諒、包容、體諒
[00:00:18.600 --> 00:00:21.300]  還有合一最重要的是什麼呢?
[00:00:21.300 --> 00:00:27.600]  就是合一記不記得一點都不內在
[00:00:27.600 --> 00:00:28.300]  是不是?
[00:00:28.800 --> 00:00:30.400]  其實是外展的
[00:00:30.400 --> 00:00:32.700]  所以今天我就想講這件事情
[00:00:32.700 --> 00:00:35.600]  應該這麼說
[00:00:35.600 --> 00:00:38.100]  在這段時間我們講合一
[00:00:38.100 --> 00:00:40.500]  透過初期教會裡面所經歷的
[00:00:40.500 --> 00:00:42.400]  他們初期教會的生活
[00:00:42.400 --> 00:00:46.700]  去明白當一個教會或者一群基督徒群體聚集的時候
[00:00:46.700 --> 00:00:49.800]  活出合一的時候所帶來的改變
[00:00:49.800 --> 00:00:51.400]  但是有時候坦白說
[00:00:51.400 --> 00:00:52.900]  好像我們剛才說的
[00:00:52.900 --> 00:00:55.600]  其實合一一點都不內在的
[00:00:55.600 --> 00:00:57.500]  有時候可能我們誤解了合一的意思
[00:00:57.500 --> 00:00:59.100]  就是誤解了合一
[00:00:59.100 --> 00:01:01.500]  合一就是很內在
[00:01:01.500 --> 00:01:05.000]  一群人才會有很好的氣氛、關係
[00:01:05.000 --> 00:01:06.400]  其實這個也是對的
[00:01:06.400 --> 00:01:09.000]  但是其實你看回初期教會
[00:01:09.000 --> 00:01:11.200]  他們這樣的合一
[00:01:11.200 --> 00:01:13.700]  其實帶來其他人的生命改變
[00:01:13.700 --> 00:01:16.000]  然後進入這個群體裡面
[00:01:16.000 --> 00:01:17.400]  就是一點都不內在的
[00:01:17.400 --> 00:01:18.400]  所以就是
[00:01:18.400 --> 00:01:21.800]  但是當我們坦誠地看我們當代教會
[00:01:21.800 --> 00:01:24.000]  或者看我們自己的教會、小組
[00:01:24.000 --> 00:01:28.000]  發覺其實我們跟初期教會很不同
[00:01:28.000 --> 00:01:29.300]  我們怎樣不同呢?
[00:01:29.300 --> 00:01:31.700]  最大的分別就是初期教會
[00:01:31.700 --> 00:01:33.200]  你會看到在聖經裡面
[00:01:33.200 --> 00:01:34.500]  就是《仕途行傳》
[00:01:34.500 --> 00:01:39.100]  裡面其實初期教會是物質缺乏
[00:01:39.100 --> 00:01:40.800]  物資缺乏
[00:01:40.800 --> 00:01:42.500]  人才可能都缺乏
[00:01:42.500 --> 00:01:45.000]  什麼都缺乏的情況下
[00:01:45.000 --> 00:01:48.200]  但是他們居然可以彰顯到
[00:01:48.200 --> 00:01:49.700]  神的真實
[00:01:49.700 --> 00:01:52.300]  神國的真實和同在
[00:01:52.300 --> 00:01:55.700]  所以你會看到初期教會有一個例子
[00:01:55.700 --> 00:01:59.000]  就是說初期教會的使徒
[00:01:59.000 --> 00:02:00.700]  沒有錢給乞丐
[00:02:00.700 --> 00:02:04.600]  不過他們有一個資源就是
[00:02:04.600 --> 00:02:07.700]  給更好的乞丐
[00:02:07.700 --> 00:02:09.500]  讓乞丐可以起來行走
[00:02:09.500 --> 00:02:11.100]  所以有一句經文
[00:02:11.100 --> 00:02:12.300]  彼得這麼說
[00:02:12.300 --> 00:02:13.900]  金銀我都沒有
[00:02:13.900 --> 00:02:15.800]  只把我所有的給你
[00:02:15.800 --> 00:02:17.500]  我服拿撒勒人耶穌基督的名
[00:02:17.500 --> 00:02:18.500]  叫你起來行走
[00:02:18.500 --> 00:02:20.300]  有一首歌也是這樣
[00:02:20.300 --> 00:02:22.500]  金銀我都沒有
[00:02:22.500 --> 00:02:25.100]  只把我所有的給你
[00:02:25.100 --> 00:02:28.300]  我服拿撒勒人耶穌基督的名
