
[00:00:00.000 --> 00:00:06.300]  好,今天是我們教會DNA系列的第四講
[00:00:06.300 --> 00:00:07.600]  我們總共有五講
[00:00:07.600 --> 00:00:10.180]  今天是五講裡面的第四講
[00:00:10.180 --> 00:00:13.340]  我們今天的題目是「抹餅」
[00:00:13.340 --> 00:00:15.140]  如果你收到我WhatsApp
[00:00:15.140 --> 00:00:20.280]  你就知道今天除了有這一篇講到「抹餅」之外
[00:00:20.280 --> 00:00:21.860]  我們也會有聖餐
[00:00:21.860 --> 00:00:23.060]  聖餐之後呢
[00:00:23.060 --> 00:00:26.020]  崇拜之後還有飯局
[00:00:26.020 --> 00:00:28.760]  所以如果今天你說我有一個願望
[00:00:28.760 --> 00:00:30.000]  願意什麼呢?
[00:00:30.000 --> 00:00:37.000]  我就希望你們每一個人都帶著一個飢渴的身心力來教會
[00:00:37.000 --> 00:00:38.500]  可以吃
[00:00:38.500 --> 00:00:46.180]  但是最重要你是懷著一個飢餓慕道的心情
[00:00:46.180 --> 00:00:48.380]  去聽上帝的禱
[00:00:48.380 --> 00:00:51.480]  Come hungry but not sleepy
[00:00:51.480 --> 00:00:52.320]  要餓
[00:00:52.320 --> 00:00:54.020]  不過就不要睡覺
[00:00:54.020 --> 00:00:55.960]  我們一起做一個簡單的祈禱
[00:00:55.960 --> 00:00:59.500]  我們是天父幫助我們去思想你的話語
[00:00:59.500 --> 00:01:02.400]  我們要講的是「抹餅」
[00:01:02.400 --> 00:01:05.700]  一個何等奇妙的題目
[00:01:05.700 --> 00:01:09.300]  預備我們的心去聽你的禱
[00:01:09.300 --> 00:01:14.080]  以致我們知道如何帶著一個感恩的心
[00:01:14.080 --> 00:01:17.080]  來到聖餐的著前
[00:01:17.080 --> 00:01:21.080]  去領受你為我們所預備的「抹餅」
[00:01:21.080 --> 00:01:22.420]  祝福我們
[00:01:22.420 --> 00:01:26.120]  這樣的祈禱是奉GSO基督明求的
[00:01:26.120 --> 00:01:28.620]  三個禮拜之前
[00:01:28.620 --> 00:01:33.900]  我們一起開始思想《邵行轉》裡面的初期教會
[00:01:33.900 --> 00:01:38.700]  《邵行轉》第二章第四十二節教會的DNA
[00:01:38.700 --> 00:01:42.440]  他們都專注於仕途的教導
[00:01:42.440 --> 00:01:44.440]  彼此的全契
[00:01:44.440 --> 00:01:47.040]  「抹餅」和祈禱
[00:01:47.040 --> 00:01:51.280]  我們很希望我們的教會會有五個核心的價值
[00:01:51.280 --> 00:01:52.920]  第一是專注
[00:01:52.920 --> 00:01:54.280]  第二是教導
[00:01:54.280 --> 00:01:55.880]  第三是團契
[00:01:55.880 --> 00:01:57.820]  第四是「抹餅」
[00:01:57.820 --> 00:02:00.420]  最後是祈禱
[00:02:00.420 --> 00:02:05.060]  我們首先看到在初期的教會是一個專注的教會
[00:02:05.060 --> 00:02:12.600]  他們全心投入去背上帝的十字架
[00:02:12.600 --> 00:02:15.140]  去跟隨GSO基督
[00:02:15.140 --> 00:02:20.540]  他們專注追求上帝的國和上帝的義
[00:02:20.540 --> 00:02:24.140]  他們之所以這麼專注是因為仕途的教訓
[00:02:24.140 --> 00:02:26.120]  因為彼得廣那篇道
[00:02:26.120 --> 00:02:27.660]  「入心入肺」的道
[00:02:27.660 --> 00:02:30.320]  那篇暴露人性、審判罪惡
[00:02:30.320 --> 00:02:33.620]  彰顯GSO基督十嫁的道
[00:02:33.620 --> 00:02:36.520]  令人擇心的道
[00:02:36.520 --> 00:02:37.720]  令人悔改的道
[00:02:37.720 --> 00:02:39.560]  令人信靠
[00:02:39.560 --> 00:02:42.360]  令人跟從的道
[00:02:42.360 --> 00:02:43.260]  聽完之後
[00:02:43.260 --> 00:02:47.340]  他們其實更加渴慕要有更多的真道
[00:02:47.340 --> 00:02:54.840]  於是他們全心投入仕途的教導
[00:02:54.840 --> 00:02:56.040]  甚至到一個地步
[00:02:56.040 --> 00:03:01.880]  他們要開始建立一個彼此的團契
[00:03:01.880 --> 00:03:03.820]  這裡所說的團契
[00:03:03.820 --> 00:03:07.700]  不是一個Food Fund Fellowship
[00:03:07.700 --> 00:03:10.200]  「吃喝玩樂的老鴨團契」
[00:03:10.200 --> 00:03:11.420]  如果你上個星期在這裡
[00:03:11.420 --> 00:03:13.360]  你知道我在說什麼
[00:03:13.360 --> 00:03:16.260]  不是一個「吃喝玩樂的老鴨團契」
[00:03:16.260 --> 00:03:19.260]  相反是一個一心一意
[00:03:19.260 --> 00:03:22.100]  一生一世追求上帝的國
[00:03:22.100 --> 00:03:25.200]  和上帝的義的團契
[00:03:25.200 --> 00:03:28.540]  一個有翅膀的團契
[00:03:28.540 --> 00:03:31.320]  一個有X基因的團契
[00:03:31.320 --> 00:03:33.140]  一個變種人的團契
[00:03:33.140 --> 00:03:39.420]  一個展翅高飛的天鵝團契
[00:03:39.420 --> 00:03:43.500]  這個團契裡面的人思想天上的事情
[00:03:43.500 --> 00:03:45.160]  這個團契裡面的人
[00:03:45.160 --> 00:03:51.140]  他們拋棄在地上金錢名利的追逐
[00:03:51.140 --> 00:03:53.560]  他們願意為主耶穌基督受苦
[00:03:53.560 --> 00:03:59.640]  甚至願意為耶穌的緣故捨棄他們的生命
[00:03:59.640 --> 00:04:03.940]  這是一個真正的福音團契
[00:04:03.940 --> 00:04:09.060]  他們因著主耶穌基督的福音而生
[00:04:09.060 --> 00:04:15.520]  而現在他們為主耶穌基督的福音而活
[00:04:15.520 --> 00:04:17.560]  不過故事還沒有完結
[00:04:17.560 --> 00:04:19.220]  老鴨繼續說
[00:04:19.220 --> 00:04:22.760]  他們這個彼此的團契做了一樣事情
[00:04:22.760 --> 00:04:28.100]  就是他們彼此專注地去擦餅
[00:04:28.100 --> 00:04:31.480]  專注地擦餅
[00:04:31.480 --> 00:04:32.900]  或者你應該問
[00:04:32.900 --> 00:04:34.040]  擦什麼餅?
[00:04:34.040 --> 00:04:38.840]  為什麼擦餅對於初期教會裡面來說是這麼重要的?
[00:04:38.840 --> 00:04:40.320]  或者我可以打個比喻
[00:04:40.320 --> 00:04:42.860]  就是如果他們的福音團契
[00:04:42.860 --> 00:04:47.480]  是一個從天而降的天國的軍隊
[00:04:47.480 --> 00:04:52.560]  這個擦餅其實就是天國軍隊的天良
[00:04:52.560 --> 00:04:55.060]  你要打仗其實最重要的一件事
