
[00:00:00.000 --> 00:00:02.000]  大家好 弟兄姊妹平安
[00:00:02.000 --> 00:00:07.000]  首先在這裡祝大家聖誕蒙恩 佳節平安
[00:00:07.000 --> 00:00:12.000]  有沒有今天是第一次來我們的教會的 有沒有啊?
[00:00:12.000 --> 00:00:14.000]  有沒有在座 當初是第一次來的
[00:00:14.000 --> 00:00:17.000]  都是我們熟悉的弟兄姊妹 是不是啊?
[00:00:17.000 --> 00:00:22.000]  歡迎你 再次代表教會歡迎大家來到我們中間
[00:00:22.000 --> 00:00:26.000]  感謝神 我們又能夠可以在聖誕佳節裏面
[00:00:26.000 --> 00:00:29.000]  一起去聆聽上帝的話語
[00:00:29.000 --> 00:00:35.000]  教會傳統有很多時都會在聖誕佳節去看福音書的經文
[00:00:35.000 --> 00:00:38.000]  特別是主耶穌降生的經文
[00:00:38.000 --> 00:00:40.000]  今天也不例外
[00:00:40.000 --> 00:00:45.000]  我相信我們如果從小到大都會覺得這段經文熟悉到不得了
[00:00:45.000 --> 00:00:48.000]  不過無論神的話語多熟悉也好
[00:00:48.000 --> 00:00:52.000]  我相信我們再看 再看仍然是有領受
[00:00:52.000 --> 00:00:56.000]  再看 再看仍然覺得神的話語怎樣讀都是甘甜的
[00:00:56.000 --> 00:00:59.000]  不單止讀入我們的記憶裏面
[00:00:59.000 --> 00:01:02.000]  甚至有些話語可能我們會背了
[00:01:02.000 --> 00:01:05.000]  但我覺得今天更加求主幫助我們
[00:01:05.000 --> 00:01:08.000]  將祂的話語讀入我們的心裏面
[00:01:08.000 --> 00:01:12.000]  成為我們今天在這個動盪不安的世代
[00:01:12.000 --> 00:01:15.000]  我們說這個世代真的很不安 給人的感覺
[00:01:15.000 --> 00:01:18.000]  但怎樣能夠讓神的話語成為我們的平安
[00:01:18.000 --> 00:01:21.000]  成為我們生命中的力量呢?
[00:01:21.000 --> 00:01:24.000]  今天剛才讀的經文裏面
[00:01:24.000 --> 00:01:29.000]  有提及到當主耶穌降生的時候的情景
[00:01:29.000 --> 00:01:32.000]  在巴黎行的野地裏面有牧羊的人
[00:01:32.000 --> 00:01:35.000]  夜間按著奸刺看守羊群
[00:01:35.000 --> 00:01:39.000]  突然有主的使者來到他們的旁邊
[00:01:39.000 --> 00:01:42.000]  有四面的光照著他們
[00:01:42.000 --> 00:01:45.000]  牧羊人的反應是甚麼呢?
[00:01:45.000 --> 00:01:49.000]  是懼怕 他們很懼怕
[00:01:49.000 --> 00:01:52.000]  天使跟他們說的是甚麼呢?
[00:01:52.000 --> 00:01:56.000]  就跟他們說不要怕 不要懼怕
[00:01:56.000 --> 00:02:01.000]  然後就說出了耶穌基督降生的記號
[00:02:01.000 --> 00:02:05.000]  他是包著布臥在馬槽裏
[00:02:05.000 --> 00:02:07.000]  這個記號
[00:02:07.000 --> 00:02:09.000]  可能我們都會很耳熟能詳
[00:02:09.000 --> 00:02:14.000]  覺得能夠想像當一刻牧羊人為甚麼會害怕
[00:02:14.000 --> 00:02:18.000]  在馬槽降生 有一個嬰孩將要降生
[00:02:18.000 --> 00:02:21.000]  我們在野地看守羊群
[00:02:21.000 --> 00:02:26.000]  耶穌基督沒有選擇降生在皇宮裏
[00:02:26.000 --> 00:02:29.000]  或者至少我們都會覺得好像平常人一樣
[00:02:29.000 --> 00:02:32.000]  應該降生在一個屋裏
[00:02:32.000 --> 00:02:35.000]  或者至少在一間客房裏
[00:02:35.000 --> 00:02:40.000]  但是耶穌基督是降生在馬槽裏
[00:02:40.000 --> 00:02:44.000]  馬槽 其實很多時候我們看聖誕節
[00:02:44.000 --> 00:02:47.000]  聖誕卡都有個棚 很簡陋的
[00:02:47.000 --> 00:02:50.000]  有羊和牛在裏面
[00:02:50.000 --> 00:02:53.000]  其實馬槽在原來的文字
[00:02:53.000 --> 00:02:56.000]  它是形容一個容器
[00:02:56.000 --> 00:03:01.000]  它是一個水兜 一個飼料的兜
[00:03:01.000 --> 00:03:03.000]  可能是木製或石製的兜
[00:03:03.000 --> 00:03:08.000]  半圓形 中間有個空隙的容器
[00:03:08.000 --> 00:03:14.000]  這些容器是用來給生畜放飼料或飲水
[00:03:14.000 --> 00:03:19.000]  這個就是耶穌降生的地方
[00:03:19.000 --> 00:03:23.000]  所以降生在馬槽裏的意思就是
[00:03:23.000 --> 00:03:29.000]  耶穌在一個生畜所住的地方降生
[00:03:29.000 --> 00:03:34.000]  當我們再一次思想主耶穌基督的降生的時候
[00:03:34.000 --> 00:03:37.000]  我們可能今天會再想
[00:03:37.000 --> 00:03:42.000]  其實為什麼耶穌不可以降生在一個華麗一點的地方呢?
[00:03:42.000 --> 00:03:47.000]  就算不是皇宮 也至少是一間客房
[00:03:47.000 --> 00:03:51.000]  一張正常的床
[00:03:51.000 --> 00:03:56.000]  如果祂不降生在馬槽 祂能否成就救恩呢?
[00:03:56.000 --> 00:03:58.000]  祂降生在一間正常的客房
[00:03:58.000 --> 00:04:01.000]  祂一路成長 最後也能釘十字架
[00:04:01.000 --> 00:04:05.000]  祂一樣可以成就救恩
[00:04:05.000 --> 00:04:10.000]  但為什麼祂要這樣選擇?
[00:04:10.000 --> 00:04:14.000]  為什麼要選擇在一個這麼卑微
[00:04:14.000 --> 00:04:16.000]  這麼簡陋的地方
[00:04:16.000 --> 00:04:23.000]  一個連普通人都不如的地方去出生呢?
[00:04:23.000 --> 00:04:30.000]  為什麼祂要這樣 連比普通人都不如?
[00:04:30.000 --> 00:04:35.000]  在《二賽亞書》預言耶穌基督降生的時候有說過
