
[00:00:00.000 --> 00:00:07.800]  踏入三月 上個星期已經開始了新的創世記系列
[00:00:07.800 --> 00:00:10.200]  我們稱之為「創世情」
[00:00:10.200 --> 00:00:16.700]  我覺得中國人 外國人經常說「Love」「愛」
[00:00:16.700 --> 00:00:19.300]  但中國人還有一樣東西叫「情」
[00:00:19.300 --> 00:00:23.900]  今天我們來看看 大家很熟悉的一段經文
[00:00:23.900 --> 00:00:28.900]  「誰是我的弟兄」 創世記第四章一至七節
[00:00:28.900 --> 00:00:30.300]  請聽我讀出
[00:00:58.900 --> 00:01:01.300]  歌人和他的公物
[00:01:01.300 --> 00:01:04.100]  歌人非常生氣 沉下念來
[00:01:04.100 --> 00:01:05.500]  耶和華對歌人說
[00:01:05.500 --> 00:01:07.000]  你為什麼生氣呢?
[00:01:07.000 --> 00:01:08.700]  你為什麼沉下念來呢?
[00:01:08.700 --> 00:01:11.900]  你若做得對 豈不仰起頭來嗎?
[00:01:11.900 --> 00:01:14.400]  你若做得不對 罪就伏在門前
[00:01:14.400 --> 00:01:18.000]  他要控制你 你卻要制伏他
[00:01:18.000 --> 00:01:19.700]  歌人和他弟弟阿伯說話
[00:01:19.700 --> 00:01:21.000]  二人正在田間的時候
[00:01:21.000 --> 00:01:24.500]  歌人就起來攻擊他弟弟阿伯 把他殺了
[00:01:24.500 --> 00:01:25.900]  耶和華對歌人說
[00:01:25.900 --> 00:01:27.300]  你弟弟阿伯在哪裡?
[00:01:27.300 --> 00:01:31.200]  他說 我不知道 豈是看守我的弟弟嗎?
[00:01:31.200 --> 00:01:33.300]  耶和華說 你做了什麼事?
[00:01:33.300 --> 00:01:39.200]  你弟弟的聲音從地裡向我哀求
[00:01:39.200 --> 00:01:43.200]  我想這段經文 大家都很熟悉
[00:01:43.200 --> 00:01:46.000]  當夏娃犯罪之後
[00:01:46.000 --> 00:01:51.200]  發展到人的罪 開始出現到一個地步
[00:01:51.200 --> 00:01:55.400]  就是發生人類第一宗的謀殺案
[00:01:55.400 --> 00:02:02.000]  我想大家聽過很多牧者講過這篇信息
[00:02:02.000 --> 00:02:06.300]  怎樣歌人和阿伯兩人發生的事
[00:02:06.300 --> 00:02:09.400]  都是歌人起先
[00:02:09.400 --> 00:02:15.000]  和我們很多人的罪的進程都很相似
[00:02:15.000 --> 00:02:17.600]  首先就是比較
[00:02:17.600 --> 00:02:20.600]  全世界只有你一個人不能比較
[00:02:20.600 --> 00:02:22.500]  但是有另外一個人跟你比較
[00:02:22.500 --> 00:02:24.100]  你比不上的話
[00:02:24.100 --> 00:02:26.100]  你開始產生罪疚
[00:02:26.100 --> 00:02:28.400]  從罪疚發展到嫉妒
[00:02:28.400 --> 00:02:30.400]  從嫉妒發展到憎恨
[00:02:30.400 --> 00:02:33.300]  從憎恨發展到殺人
