
[00:00:00.000 --> 00:00:04.720]  我大約幾年前去日本旅行
[00:00:04.720 --> 00:00:06.880]  好多人都喜歡去日本旅行
[00:00:06.880 --> 00:00:09.080]  近幾日就無人去了
[00:00:09.080 --> 00:00:10.880]  因為打風下雨
[00:00:10.880 --> 00:00:14.000]  我去到一個大阪的地方
[00:00:14.000 --> 00:00:19.360]  發現有好幾座好像教堂的建築物
[00:00:19.360 --> 00:00:21.360]  我很開心
[00:00:21.360 --> 00:00:23.120]  我知道日本的基督徒很少
[00:00:23.120 --> 00:00:25.280]  我就拍照
[00:00:25.280 --> 00:00:27.360]  入去裡面想找個牧師傾談
[00:00:27.360 --> 00:00:30.760]  發現裡面無牧師又無聖經又無信徒
[00:00:30.760 --> 00:00:32.280]  是個空殼
[00:00:32.280 --> 00:00:34.480]  你知不知道這些是甚麼
[00:00:34.480 --> 00:00:37.920]  這些就是日本人結婚時喜歡用的禮堂
[00:00:37.920 --> 00:00:40.400]  其實不是教堂
[00:00:40.400 --> 00:00:43.160]  我發現我們基督徒很多時都是這樣
[00:00:43.160 --> 00:00:45.480]  外面看起來就好像基督徒
[00:00:45.480 --> 00:00:47.080]  有十字架有聖
[00:00:47.080 --> 00:00:50.240]  但裡面的內涵就不在
[00:00:50.240 --> 00:00:53.520]  我覺得基督徒有分三種
[00:00:53.520 --> 00:00:55.760]  看你屬於哪一種
[00:00:55.760 --> 00:00:59.080]  三種都是信耶穌
[00:00:59.080 --> 00:01:02.600]  但因為他所接受的教道不同
[00:01:02.600 --> 00:01:06.000]  我們七個瓣是其中一個教道
[00:01:06.000 --> 00:01:09.000]  但有些基督徒接受的教道不同
[00:01:09.000 --> 00:01:13.760]  就會成長不同的發展
[00:01:13.760 --> 00:01:16.000]  不同的素質
[00:01:16.000 --> 00:01:18.000]  你看你屬於哪一種
[00:01:18.000 --> 00:01:22.000]  第一種就叫混淆的基督徒
[00:01:22.000 --> 00:01:26.480]  這種基督徒是信耶穌又返教會
[00:01:26.480 --> 00:01:30.000]  不過他混混惡惡
[00:01:30.000 --> 00:01:31.360]  迷迷糊糊
[00:01:31.360 --> 00:01:33.600]  即是朦朦朧朧
[00:01:33.600 --> 00:01:36.360]  人們見到他都不想信耶穌
[00:01:36.360 --> 00:01:39.920]  羅牧師肯定會罵我
[00:01:39.920 --> 00:01:41.720]  但你不要對號入座
[00:01:41.720 --> 00:01:42.840]  你聽第二種
[00:01:42.840 --> 00:01:45.600]  第二種比第一種更差
[00:01:45.600 --> 00:01:48.720]  第二種就叫世俗的基督徒
[00:01:48.720 --> 00:01:50.920]  這種其實很醒目
[00:01:50.920 --> 00:01:54.600]  但他的價值觀跟未信的人差不多
[00:01:54.600 --> 00:01:56.000]  甚至更差
[00:01:56.000 --> 00:01:58.400]  人家說髒話他又說髒話
[00:01:58.400 --> 00:02:00.200]  人家在網上看些不好的東西
[00:02:00.200 --> 00:02:02.200]  他又在網上看些不好的東西
[00:02:02.200 --> 00:02:07.080]  他對信仰很抽離
[00:02:07.080 --> 00:02:10.440]  信仰只不過是生活的裝飾
[00:02:10.440 --> 00:02:12.760]  有困難就找上帝
[00:02:12.760 --> 00:02:14.920]  沒困難就自己走開
[00:02:14.920 --> 00:02:17.920]  這種基督徒叫世俗的基督徒
[00:02:17.920 --> 00:02:21.920]  第三種就是正常的基督徒
[00:02:21.920 --> 00:02:23.920]  阿牧師這就是我了
[00:02:23.920 --> 00:02:24.920]  因為我從小到大
[00:02:24.920 --> 00:02:27.920]  媽媽都說我是正常的
[00:02:27.920 --> 00:02:29.920]  這個正常的基督徒
[00:02:29.920 --> 00:02:31.920]  不是你媽媽眼中的正常
[00:02:31.920 --> 00:02:33.920]  而是上帝眼中的正常
[00:02:33.920 --> 00:02:36.400]  那上帝眼中的正常是怎樣的呢?
[00:02:36.400 --> 00:02:37.920]  我介紹大家一本書
[00:02:37.920 --> 00:02:41.920]  這本書叫《正常的基督徒生活》
[00:02:41.920 --> 00:02:43.400]  作者叫倪拓升
[00:02:43.400 --> 00:02:45.920]  有人聽過倪拓升這個名字嗎?
[00:02:45.920 --> 00:02:47.920]  時先生聽過
[00:02:47.920 --> 00:02:48.920]  Alistair
[00:02:48.920 --> 00:02:50.920]  這些都是德工望重的人
[00:02:50.920 --> 00:02:51.920]  其他都是的
[00:02:51.920 --> 00:02:52.920]  不過你沒有舉手
[00:02:52.920 --> 00:02:56.920]  倪拓升先生在1938年
[00:02:56.920 --> 00:03:00.920]  在歐洲英國港島用英文講的
[00:03:00.920 --> 00:03:02.920]  那些人很喜歡
[00:03:02.920 --> 00:03:05.920]  就將他的港島編輯成一本書
[00:03:05.920 --> 00:03:07.920]  叫《正常的基督徒生活》
[00:03:07.920 --> 00:03:10.920]  所以原來這本書剛開始出版的時候
[00:03:10.920 --> 00:03:11.920]  是英文
[00:03:11.920 --> 00:03:16.920]  由他回來中國之後就寫成中文版
[00:03:16.920 --> 00:03:17.920]  如果別人問你
