
[00:00:00.000 --> 00:00:02.720]  今天討論的題目
[00:00:02.720 --> 00:00:04.400]  其實是
[00:00:04.400 --> 00:00:08.720]  Patrick Jim 給了我一些靈感
[00:00:08.720 --> 00:00:10.800]  因爲爲了配合他的出遊
[00:00:10.800 --> 00:00:12.160]  他不在的時候
[00:00:12.160 --> 00:00:15.200]  我要延續他之前討論的題目
[00:00:15.200 --> 00:00:16.720]  所以就要討論
[00:00:16.720 --> 00:00:18.080]  安息
[00:00:18.080 --> 00:00:19.200]  爲什麼要討論安息呢
[00:00:19.200 --> 00:00:20.480]  其實我原本心裏面
[00:00:20.480 --> 00:00:23.120]  也有一個很想討論的東西想和大家討論
[00:00:23.120 --> 00:00:24.480]  今天就帶了一本書來
[00:00:24.480 --> 00:00:28.720]  其實靈感是沿着這本書
[00:00:28.720 --> 00:00:31.920]  稍後我會介紹作者裏面所說的東西
[00:00:31.920 --> 00:00:36.160]  剛纔Pasa 南也有說
[00:00:36.160 --> 00:00:37.200]  過完新年
[00:00:37.200 --> 00:00:39.440]  不知道大家的感覺是怎樣
[00:00:39.440 --> 00:00:41.520]  有沒有重新充電
[00:00:41.520 --> 00:00:44.880]  還是電池反而全放出去了
[00:00:44.880 --> 00:00:47.280]  新年對我來說
[00:00:47.280 --> 00:00:48.720]  我都挺喜歡的
[00:00:48.720 --> 00:00:49.760]  爲什麼呢
[00:00:49.760 --> 00:00:52.720]  我也想問大家一個問題
[00:00:52.720 --> 00:00:55.040]  你最喜歡的節日
[00:00:55.040 --> 00:00:56.880]  有什麼條件呢
[00:00:56.880 --> 00:00:58.720]  爲什麼你喜歡它呢
[00:00:58.720 --> 00:01:01.360]  或者最恨的節日
[00:01:01.360 --> 00:01:03.040]  爲什麼這麼恨呢
[00:01:03.040 --> 00:01:04.880]  我說一下爲什麼我喜歡新年
[00:01:04.880 --> 00:01:06.480]  尤其是農曆新年
[00:01:06.480 --> 00:01:08.560]  因爲我家裏親戚不多
[00:01:08.560 --> 00:01:11.760]  所以反而新年只是一個拜年之後
[00:01:11.760 --> 00:01:14.240]  我就可以全年安息
[00:01:14.240 --> 00:01:19.760]  新年通常教會比較少大型的活動
[00:01:19.760 --> 00:01:21.760]  因爲新年之前已經搞完了年宵
[00:01:21.760 --> 00:01:24.160]  新年的時候就可以休息
[00:01:24.160 --> 00:01:25.440]  所以新年對我來說
[00:01:25.440 --> 00:01:28.160]  真的是可以全年安息的時間
[00:01:28.160 --> 00:01:29.680]  所以我這幾年
[00:01:29.680 --> 00:01:31.360]  新年都不會去旅行
[00:01:31.360 --> 00:01:32.800]  一會兒會解釋一下爲什麼
