
[00:00:00.000 --> 00:00:02.400]  我相信沒有人會反對
[00:00:02.400 --> 00:00:05.000]  人間有愛
[00:00:05.000 --> 00:00:06.780]  有沒有人反對?
[00:00:06.780 --> 00:00:07.780]  沒有吧?
[00:00:07.780 --> 00:00:10.680]  我相信大家不會反對人間有愛
[00:00:10.680 --> 00:00:13.580]  也不會反對我們心中有情
[00:00:13.580 --> 00:00:15.180]  人間有愛,心中有情
[00:00:15.180 --> 00:00:17.680]  我相信你問過,每個人都會說是有的
[00:00:17.680 --> 00:00:20.680]  愛與情在這個世界沒有了它
[00:00:20.680 --> 00:00:22.180]  世界會變得很黑暗
[00:00:22.180 --> 00:00:23.180]  是不是?
[00:00:23.180 --> 00:00:25.080]  問題就是說
[00:00:25.080 --> 00:00:28.880]  當我們說人間有愛,心中有情的時候
[00:00:28.880 --> 00:00:32.880]  到底我們所說的愛與情是什麼呢?
[00:00:32.880 --> 00:00:34.780]  你怎樣去解讀呢?
[00:00:34.780 --> 00:00:36.380]  對你來說是什麼意思呢?
[00:00:36.380 --> 00:00:38.680]  我看過一個故事
[00:00:38.680 --> 00:00:39.480]  有一個女人
[00:00:39.480 --> 00:00:42.580]  她很希望一生當中能夠跟四個男人結婚
[00:00:42.580 --> 00:00:43.680]  OK?
[00:00:43.680 --> 00:00:45.080]  這樣很誇張
[00:00:45.080 --> 00:00:47.480]  一個男人想跟四個女人結婚
[00:00:47.480 --> 00:00:48.280]  我聽過很多
[00:00:48.280 --> 00:00:51.380]  一個女人想跟四個男人結婚
[00:00:51.380 --> 00:00:54.280]  她說首先想跟銀行家結婚
[00:00:54.280 --> 00:00:56.680]  接著她想嫁給一個明星
[00:00:56.880 --> 00:00:59.880]  然後再跟一個牧師結婚
[00:00:59.880 --> 00:01:03.480]  最後她希望嫁給一個 funeral director
[00:01:03.480 --> 00:01:08.280]  她說為什麼她會有這樣的期望呢?
[00:01:08.280 --> 00:01:09.880]  有些人問她為什麼
[00:01:09.880 --> 00:01:11.080]  第一個很簡單
[00:01:11.080 --> 00:01:12.080]  第一個為了錢
[00:01:12.080 --> 00:01:13.880]  銀行家嘛,有錢
[00:01:13.880 --> 00:01:15.680]  第二個為了開心
[00:01:15.680 --> 00:01:18.680]  movie star 又帥又 funny
[00:01:18.680 --> 00:01:20.480]  第三個為什麼要嫁給牧師呢?
[00:01:20.480 --> 00:01:22.280]  為將來做好準備
[00:01:22.280 --> 00:01:23.680]  第四個回到天家了
[00:01:23.680 --> 00:01:25.080]  所以要一個 funeral director
[00:01:26.780 --> 00:01:29.480]  我們這些是美國式的幽默
[00:01:29.480 --> 00:01:32.980]  博之一笑
[00:01:32.980 --> 00:01:34.580]  問題是什麼呢?
[00:01:34.580 --> 00:01:36.680]  其實這個也反映今天我們社會當中
[00:01:36.680 --> 00:01:38.280]  我們周圍認識的人裡面
[00:01:38.280 --> 00:01:40.280]  有意無意地有很多人
[00:01:40.280 --> 00:01:42.680]  有類似這樣的情況出現
[00:01:42.680 --> 00:01:46.080]  如果我要簡單歸納是什麼呢?
[00:01:46.080 --> 00:01:47.380]  自私
[00:01:47.380 --> 00:01:48.580]  還有
[00:01:48.580 --> 00:01:50.880]  我們發覺今天很多人
[00:01:50.880 --> 00:01:52.780]  不得專一
[00:01:52.780 --> 00:01:55.880]  對愛情、對婚姻
[00:01:56.080 --> 00:01:59.380]  不單單是抱著一個自私的心態
[00:01:59.380 --> 00:02:02.180]  而且很多時候不能夠專一
[00:02:02.180 --> 00:02:04.880]  這個反映得出其實這些人
[00:02:04.880 --> 00:02:07.280]  很多時候是不明白什麼叫做愛
[00:02:07.280 --> 00:02:09.180]  到底什麼是愛呢?
[00:02:09.180 --> 00:02:13.580]  大家有很多很含糊的一些定義
[00:02:13.580 --> 00:02:17.580]  如果他是這樣看愛與情的話
[00:02:17.580 --> 00:02:21.680]  難怪他們所有的關係
[00:02:21.680 --> 00:02:23.480]  不可以是天長地久
[00:02:24.480 --> 00:02:27.780]  如果只是這樣去明白愛與情的話
[00:02:27.780 --> 00:02:29.580]  這是很正常的事
[00:02:29.580 --> 00:02:32.080]  曾經擁有安慰一下自己
[00:02:32.080 --> 00:02:33.880]  但是不能夠天長地久
[00:02:33.880 --> 00:02:36.280]  一直以來這幾個星期
[00:02:36.280 --> 00:02:38.480]  我們看路德記
[00:02:38.480 --> 00:02:42.080]  我早就跟大家說路德記是一個愛情故事
[00:02:42.080 --> 00:02:45.080]  在前幾個星期我們看到
[00:02:45.080 --> 00:02:48.780]  其實原來路德記裡面所表達的愛
[00:02:48.780 --> 00:02:51.080]  是要先從神開始的
[00:02:51.580 --> 00:02:52.980]  因為神是愛的源頭
[00:02:52.980 --> 00:02:54.580]  神就是愛
[00:02:54.580 --> 00:02:57.180]  如果我們想人與人之間的關係
[00:02:57.180 --> 00:02:58.580]  能夠真是天長地久
[00:02:58.580 --> 00:03:00.480]  而且是一個幸福的關係
[00:03:00.480 --> 00:03:02.780]  我上次不知道是不是這裡說還是別處說
[00:03:02.780 --> 00:03:04.680]  如果你關係不愉快的話
[00:03:04.680 --> 00:03:06.080]  你不想天長地久的
[00:03:06.080 --> 00:03:07.280]  曾經擁有的你也不想
[00:03:07.280 --> 00:03:10.280]  我們是 looking for 一個幸福快樂的關係
[00:03:10.280 --> 00:03:11.980]  能夠天長地久
[00:03:11.980 --> 00:03:14.480]  海枯石爛都不會結束
[00:03:14.480 --> 00:03:15.780]  因為你開心嘛
[00:03:15.780 --> 00:03:16.480]  是不是?
[00:03:16.480 --> 00:03:20.480]  如果我們想要擁有這樣的關係的話
[00:03:20.780 --> 00:03:23.280]  我們必須學習明白自己在婚姻
[00:03:23.280 --> 00:03:26.380]  在家庭當中所扮演的什麼角色
[00:03:26.380 --> 00:03:28.980]  而且大家要用恩慈相待
[00:03:28.980 --> 00:03:29.980]  互相尊重
[00:03:29.980 --> 00:03:31.980]  這是以前幾個星期說的
[00:03:31.980 --> 00:03:33.380]  希望你還記得
[00:03:33.380 --> 00:03:36.280]  今天跟大家說的是什麼呢?
[00:03:36.280 --> 00:03:39.180]  就是天長地久的真諦
[00:03:39.180 --> 00:03:41.980]  其實就是想跟大家探討一下
[00:03:41.980 --> 00:03:44.180]  聖經裡面所啟示的愛
[00:03:44.180 --> 00:03:46.580]  到底是一種怎樣的愛
[00:03:46.580 --> 00:03:48.080]  聖經所啟示的愛
[00:03:48.080 --> 00:03:50.680]  包含了什麼要素在其中
