
[00:00:00.000 --> 00:00:02.960]  神師讓我們在聆聽主的說話之前
[00:00:02.960 --> 00:00:05.360]  讓我們一起再次同心低頭禱告
[00:00:05.360 --> 00:00:06.680]  仰望主愛的神
[00:00:06.680 --> 00:00:10.920]  親愛的父神多謝祢
[00:00:10.920 --> 00:00:14.160]  讓我們再次回到祢的啟示當中
[00:00:14.160 --> 00:00:16.960]  去認識主祢的心思意念
[00:00:16.960 --> 00:00:20.600]  祢怎樣在這個世界上掌管一切
[00:00:20.600 --> 00:00:23.200]  讓我們作為祢的神的子民
[00:00:23.200 --> 00:00:25.760]  讓我們去能夠掌握到的
[00:00:25.760 --> 00:00:28.160]  就是怎樣去和祢同在
[00:00:28.160 --> 00:00:31.680]  也要怎樣去依靠著主祢的引導
[00:00:31.680 --> 00:00:33.800]  來走祢面前的路
[00:00:33.800 --> 00:00:36.040]  免得我們所行所想的
[00:00:36.040 --> 00:00:38.240]  甚至我們以為自己已經
[00:00:38.240 --> 00:00:40.720]  走在上帝祢的路上的時候
[00:00:40.720 --> 00:00:43.440]  原來我們卻悄悄然地
[00:00:43.440 --> 00:00:46.760]  走在自己所盼望的路上
[00:00:46.760 --> 00:00:47.840]  求祢的帶領
[00:00:47.840 --> 00:00:49.560]  求聖靈的光照
[00:00:49.560 --> 00:00:52.080]  好想我們能夠準確地去
[00:00:52.080 --> 00:00:54.360]  牽緊上主祢的手
[00:00:54.360 --> 00:00:55.960]  隨著祢的引導
[00:00:55.960 --> 00:00:59.440]  祈禱奉靠主耶穌基督得勝的明智而求
[00:00:59.440 --> 00:01:00.440]  阿們
[00:01:00.440 --> 00:01:03.360]  很多年前
[00:01:03.360 --> 00:01:07.720]  當我第一次接觸基督教的時候
[00:01:07.720 --> 00:01:10.480]  其實就不是一些名門正派
[00:01:10.480 --> 00:01:15.160]  是一個叫做摩門教的異端
[00:01:15.160 --> 00:01:16.440]  他們很雀躍的
[00:01:16.440 --> 00:01:18.320]  我記得當時的環境
[00:01:18.320 --> 00:01:21.080]  我家裡還住在一些舊唐樓
[00:01:21.080 --> 00:01:24.880]  我們家裡舊唐樓有一扇閘
[00:01:24.880 --> 00:01:26.880]  閘住了 他不能進來
[00:01:26.880 --> 00:01:28.680]  他就在閘裡拍門
[00:01:28.680 --> 00:01:30.160]  他就走進來跟我們說
[00:01:30.160 --> 00:01:33.200]  他說我們是想來報道的
[00:01:33.200 --> 00:01:34.840]  跟我們說了很久
[00:01:34.840 --> 00:01:36.320]  我媽媽說了很久之後
[00:01:36.320 --> 00:01:39.680]  她說阿權你看看他究竟在搞什麼
[00:01:39.680 --> 00:01:41.400]  我走去跟她這樣說
[00:01:41.400 --> 00:01:42.920]  他就不斷地
[00:01:42.920 --> 00:01:44.640]  重重複複地說這件事
[00:01:44.640 --> 00:01:47.320]  你們要信我們的上帝
[00:01:47.320 --> 00:01:50.920]  信了之後你們就可以進天堂
[00:01:50.920 --> 00:01:54.440]  他就給我一本小冊子
[00:01:54.440 --> 00:01:57.760]  那本小冊子其實現在到處都可以拿的
[00:01:57.760 --> 00:02:01.520]  如果大家有機會去到一些商場
[00:02:01.520 --> 00:02:04.520]  他就站在商場門口
[00:02:04.520 --> 00:02:09.360]  他就說介紹我們怎樣建立一個和諧的家庭
[00:02:09.360 --> 00:02:13.440]  能夠在這個世界你有一個平安的生命生活
[00:02:13.440 --> 00:02:15.120]  只要你相信上帝
[00:02:15.120 --> 00:02:18.280]  上帝就會帶你去到天堂裡面
[00:02:18.280 --> 00:02:21.760]  讓你活在天堂一樣的那種快樂
[00:02:21.760 --> 00:02:24.600]  當時我都聽了他講了一大輪
[00:02:24.600 --> 00:02:27.880]  但是後來因為知道他是一個異端
[00:02:27.880 --> 00:02:32.800]  所以就沒有再去給他們去跟我們有些交談
