
[00:00:00.000 --> 00:00:03.340]  看見會平安 我們先一齊祈禱
[00:00:03.340 --> 00:00:06.540]  多謝天父 我們感謝祢的恩典
[00:00:06.540 --> 00:00:09.480]  祢一路看顧我們 帶領我們
[00:00:09.480 --> 00:00:11.600]  雖然我們年紀漸老
[00:00:11.600 --> 00:00:14.320]  但祢的恩典仍然與我們同在
[00:00:14.320 --> 00:00:16.120]  求祢幫助我們
[00:00:16.120 --> 00:00:18.420]  從祢自己話語的智慧當中
[00:00:18.420 --> 00:00:23.340]  學習怎樣去面對老年的問題
[00:00:23.340 --> 00:00:25.920]  奉耶穌基督的名祈禱 阿們
[00:00:27.440 --> 00:00:31.440]  我記得很多年前在教會曾經有一次活動
[00:00:31.440 --> 00:00:33.440]  玩問答遊戲
[00:00:33.440 --> 00:00:36.440]  其中一條問題是
[00:00:36.440 --> 00:00:40.940]  「有什麼事是全世界的人一起做的?」
[00:00:40.940 --> 00:00:44.940]  大家不妨想想
[00:00:44.940 --> 00:00:48.440]  有什麼事是全世界的人都一起做的?
[00:00:48.440 --> 00:00:53.440]  全世界都一起做 不是一兩個人一起做
[00:00:53.440 --> 00:00:56.940]  答案是「一起變老」
[00:00:56.940 --> 00:01:03.940]  人是生活在時間裡面的
[00:01:03.940 --> 00:01:06.940]  無論一個人怎樣懂得保養自己
[00:01:06.940 --> 00:01:12.440]  令自己仍然保持外觀年輕貌美
[00:01:12.440 --> 00:01:14.940]  但我們身體裡面的細胞
[00:01:14.940 --> 00:01:17.940]  是一定會漸漸變老的
[00:01:17.940 --> 00:01:22.940]  我們應該怎樣去面對這個事實呢?
[00:01:22.940 --> 00:01:26.440]  在《僧賢》十六章三十一節說
[00:01:26.440 --> 00:01:28.940]  「白髮是榮耀的冠冕
[00:01:28.940 --> 00:01:32.940]  行在公義道上的必能得著」
[00:01:32.940 --> 00:01:36.940]  換句話說 我們要接納這個現實
[00:01:36.940 --> 00:01:40.940]  要以自己能夠活到滿頭白髮
[00:01:40.940 --> 00:01:44.940]  將它視為上帝所賜的福氣
[00:01:44.940 --> 00:01:46.940]  在《僧警》裡面
[00:01:46.940 --> 00:01:51.940]  長壽是被認定為上帝所賜的福氣
[00:01:51.940 --> 00:01:56.940]  所以我們不需要為頭髮變白而煩惱
[00:01:56.940 --> 00:02:02.940]  很多主妹都要染髮
[00:02:02.940 --> 00:02:05.940]  不喜歡自己白頭髮
[00:02:05.940 --> 00:02:08.940]  這節經文下面還說
[00:02:08.940 --> 00:02:11.940]  「行在公義道上的必能得著」
[00:02:11.940 --> 00:02:15.940]  表明人可以活到滿頭白髮
[00:02:15.940 --> 00:02:17.940]  是上帝所賜的長相
[00:02:17.940 --> 00:02:21.940]  因為我們行在上帝的教訓
[00:02:21.940 --> 00:02:23.940]  走在公義的道上
[00:02:23.940 --> 00:02:27.940]  另外一次的《僧賢》十七章六節說
[00:02:27.940 --> 00:02:30.940]  「子孫為老人的冠冕
[00:02:30.940 --> 00:02:33.940]  父母是兒女的榮耀」
[00:02:33.940 --> 00:02:37.940]  從前華人社會都很喜歡恭喜人
[00:02:37.940 --> 00:02:39.940]  「兒孫滿堂」
[00:02:39.940 --> 00:02:41.940]  在舊約聖經當中
[00:02:41.940 --> 00:02:48.940]  其實「兒孫滿堂」都被視為上帝的祝福
[00:02:48.940 --> 00:02:51.940]  在詩篇一百二十七篇第三字說
[00:02:51.940 --> 00:02:55.940]  「可那兒女是耶和華所賜的產業
[00:02:55.940 --> 00:02:59.940]  所懷的胎是他所給的賞錢」
[00:02:59.940 --> 00:03:05.940]  故此老人家除了有白髮作為冠冕之外
[00:03:05.940 --> 00:03:09.940]  有兒孫都是上帝的祝福
[00:03:09.940 --> 00:03:14.940]  有兒孫是上帝賜給我們可以享受天倫之樂
[00:03:14.940 --> 00:03:16.940]  在我認識的朋友當中
[00:03:16.940 --> 00:03:18.940]  有兩對夫婦朋友
[00:03:18.940 --> 00:03:21.940]  他們都是無兒無女
[00:03:21.940 --> 00:03:23.940]  後來我領悟到
[00:03:23.940 --> 00:03:26.940]  沒有兒女的人其實就不可能有孫
[00:03:26.940 --> 00:03:28.940]  沒有第三代
[00:03:28.940 --> 00:03:30.940]  第二代都沒有
[00:03:30.940 --> 00:03:37.940]  所以他們不能夠經歷得到兒孫同堂的樂趣
[00:03:37.940 --> 00:03:41.940]  也可以算得上是人生一點點的遺憾
[00:03:41.940 --> 00:03:43.940]  我們簡單說了
[00:03:43.940 --> 00:03:49.940]  聖經對老年人是有非常正面的看法
[00:03:49.940 --> 00:03:53.940]  但是在我們這個時代
[00:03:53.940 --> 00:03:58.940]  我們又怎樣迎接老年的到來呢?
[00:03:58.940 --> 00:04:05.940]  雖然聖經對老年人是有正面的看法
[00:04:05.940 --> 00:04:08.940]  但是在傳道書中
[00:04:08.940 --> 00:04:12.940]  它也是非常面對現實
[00:04:12.940 --> 00:04:15.940]  說到老年人的問題
[00:04:15.940 --> 00:04:18.940]  有非常生動的描述
[00:04:18.940 --> 00:04:23.940]  我們看看傳道者怎樣去說老年人的問題
[00:04:23.940 --> 00:04:27.940]  「你趁著年老衰老的日子尚未來到
[00:04:27.940 --> 00:04:32.940]  就是你所說我毫無喜悅的那些歲月來臨之前
[00:04:32.940 --> 00:04:35.940]  當紀念做你的主
[00:04:35.940 --> 00:04:39.940]  不要等到太陽光明月亮星秀變為黑暗
[00:04:39.940 --> 00:04:44.940]  與後雲又返回看守房屋的發展強壯的鬱身
[00:04:44.940 --> 00:04:47.940]  推磨的婦女因人少而停工
[00:04:47.940 --> 00:04:51.940]  從窗戶往外看的眼光變為新冷
[00:04:51.940 --> 00:04:54.940]  街門關閉推磨的聲音微小
[00:04:54.940 --> 00:04:56.940]  鳥一叫就驚醒
[00:04:56.940 --> 00:04:59.940]  唱歌的女子的聲音也都微弱
[00:04:59.940 --> 00:05:01.940]  人怕高處路上有驚慌
[00:05:01.940 --> 00:05:04.940]  含樹開花乍晚成為重擔
[00:05:04.940 --> 00:05:06.940]  照望不再挑起
[00:05:06.940 --> 00:05:08.940]  因為人歸他永遠的家
[00:05:08.940 --> 00:05:10.940]  吊桑的在街上往來
[00:05:10.940 --> 00:05:13.940]  不要等到銀鏈截斷金冠破裂
[00:05:13.940 --> 00:05:15.940]  靈子在旋往損壞
[00:05:15.940 --> 00:05:17.940]  水輪在井口斷裂」
[00:05:17.940 --> 00:05:22.940]  他用了很多的比喻來說老年人的問題
[00:05:22.940 --> 00:05:24.940]  或者不容易明白
[00:05:24.940 --> 00:05:26.940]  很快的簡單的說一說
[00:05:26.940 --> 00:05:30.940]  第二節六節都是其實很生動
[00:05:30.940 --> 00:05:34.940]  而且老年人一般都會遇到的情況
[00:05:34.940 --> 00:05:38.940]  太陽光明月亮星宿變為黑暗
[00:05:38.940 --> 00:05:42.940]  不是說外面的環境真的改變了
[00:05:42.940 --> 00:05:45.940]  太陽月亮不會變暗
[00:05:45.940 --> 00:05:48.940]  但是對一位老人家來說
[00:05:48.940 --> 00:05:51.940]  白日和黑夜差不多
[00:05:51.940 --> 00:05:53.940]  因為即使是白日
[00:05:53.940 --> 00:05:56.940]  老人都是可能沒有活力出去玩
