
[00:00:00.000 --> 00:00:03.140]  今天我們再講一個祈禱的教會
[00:00:03.140 --> 00:00:05.400]  究竟我們祈禱是怎樣呢?
[00:00:05.400 --> 00:00:09.220]  很多人用不同的方法去衡量教會
[00:00:09.220 --> 00:00:12.900]  最多衡量的就是教會人多不多
[00:00:12.900 --> 00:00:14.000]  是不是很熱鬧
[00:00:14.000 --> 00:00:15.840]  教會的建築漂亮不漂亮
[00:00:15.840 --> 00:00:20.240]  我們感謝主會怎樣教會都算不錯了
[00:00:20.240 --> 00:00:22.300]  我們建築都算挺漂亮的了
[00:00:22.300 --> 00:00:24.360]  很感謝主
[00:00:24.360 --> 00:00:26.760]  但是怎樣衡量教會呢?
[00:00:26.960 --> 00:00:30.120]  究竟我們跟神的關係是怎樣的
[00:00:30.120 --> 00:00:32.520]  我們做了基督徒這麼久
[00:00:32.520 --> 00:00:34.640]  有時候我覺得我自己
[00:00:34.640 --> 00:00:35.680]  我不知道大家怎樣
[00:00:35.680 --> 00:00:38.940]  我自己覺得最虧欠的就是祈禱
[00:00:38.940 --> 00:00:42.240]  我相信很多的弟兄姊妹都有這樣的同感
[00:00:42.240 --> 00:00:44.000]  教會很多的牧師
[00:00:44.000 --> 00:00:45.080]  都有這樣的同感
[00:00:45.080 --> 00:00:47.980]  就是覺得教會的祈禱會
[00:00:47.980 --> 00:00:52.180]  是最難做的
[00:00:52.180 --> 00:00:54.960]  好像很多東西都能吸引
[00:00:54.960 --> 00:00:57.160]  如果教會開大食會很多人會來的
[00:00:57.160 --> 00:00:59.660]  那次我們教會在健身房
[00:00:59.660 --> 00:01:00.760]  五十圍坐滿
[00:01:00.760 --> 00:01:01.720]  很開心的
[00:01:01.720 --> 00:01:03.880]  如果我們五十圍坐滿
[00:01:03.880 --> 00:01:06.000]  祈禱會就很厲害了
[00:01:06.000 --> 00:01:09.120]  但是祈禱其實是一個很興奮的事情
[00:01:09.120 --> 00:01:11.220]  可以跟神溝通
[00:01:11.220 --> 00:01:13.540]  創造天地萬物的主宰
[00:01:13.540 --> 00:01:16.420]  是在等待著我們跟祂溝通的
[00:01:16.420 --> 00:01:21.440]  有人說人的快樂是能夠溝通的
[00:01:21.440 --> 00:01:23.900]  所以你有朋友可以跟祂聊天
[00:01:23.900 --> 00:01:25.080]  是很快樂的
[00:01:25.080 --> 00:01:26.160]  是不是
[00:01:26.160 --> 00:01:28.580]  所以我們廣東話叫「吹水」
[00:01:28.580 --> 00:01:29.720]  「吹水」很快樂
[00:01:29.720 --> 00:01:30.760]  大家聊聊天
[00:01:30.760 --> 00:01:32.640]  其實我們祈禱會好像是這樣
[00:01:32.640 --> 00:01:34.640]  我們可以跟神說話
[00:01:34.640 --> 00:01:35.860]  跟神聊天
[00:01:35.860 --> 00:01:38.660]  所以我剛才說我們祈禱會都是分小組
[00:01:38.660 --> 00:01:40.780]  小組一個conversational(溝通)的
[00:01:40.780 --> 00:01:42.340]  一個這樣的祈禱
[00:01:42.340 --> 00:01:43.880]  好像我們一邊聊天
[00:01:43.880 --> 00:01:46.840]  一邊神在我們當中跟我們一起聊天
[00:01:46.840 --> 00:01:48.640]  所以這個祈禱
[00:01:48.640 --> 00:01:52.080]  是一個很有力量的一件事
