
[00:00:00.000 --> 00:00:03.640]  好 今日同大家睇第五章第七節
[00:00:03.640 --> 00:00:10.640]  「這羔羊前來 從座在寶座上那位的右手中拿了書卷」
[00:00:10.640 --> 00:00:17.840]  這隻羔羊在第一至第六節已經很清楚形容羔羊
[00:00:17.840 --> 00:00:22.080]  這隻羔羊非一般羔羊 我就用第五節來睇
[00:00:22.080 --> 00:00:26.680]  這隻羔羊是甚麼來的 它就是猶大支派中的獅子
[00:00:26.680 --> 00:00:31.760]  我不詳細講了 講過了 不過拿回這裏來建立這個羔羊
[00:00:31.760 --> 00:00:37.840]  這個就是很明顯在聖經裏面是講尼塞亞
[00:00:37.840 --> 00:00:42.120]  跟著大衛的根是比較困難去解釋的
[00:00:42.120 --> 00:00:46.640]  所有的學者我所認識的差不多是九成的學者
[00:00:46.640 --> 00:00:52.280]  他都是比較選擇這個大衛的根是指大衛的後裔
[00:00:52.280 --> 00:01:00.040]  不是大衛的祖先 根通常我們說有根才有根著的東西
[00:01:00.040 --> 00:01:03.320]  尋根最明顯 如果我說我回鄉尋根
[00:01:03.320 --> 00:01:08.280]  那當然是我的爸爸媽媽 爸爸或者是阿爺
[00:01:08.280 --> 00:01:11.800]  老祖宗住的地方才叫根 根源
[00:01:11.800 --> 00:01:14.400]  但是這個世界有一句說話叫甚麼
[00:01:14.400 --> 00:01:16.880]  上一次我講完之後有個姐妹都提醒我
[00:01:16.880 --> 00:01:21.400]  其實我都講過一次了 命根甚麼叫命根
[00:01:21.400 --> 00:01:24.120]  哪些是命根啊 Ken 誰是你的命根啊
[00:01:24.120 --> 00:01:28.520]  Irene啊 是不是啊 她是你的女兒嘛 是不是
[00:01:28.520 --> 00:01:32.760]  那不是爸爸 是子女才叫命根的嘛 是不是
[00:01:32.760 --> 00:01:36.480]  所以是後裔來的 所以根這個字不要想了
[00:01:36.480 --> 00:01:39.560]  根就是根就是尋根那個當然是
[00:01:39.560 --> 00:01:44.480]  但是根是有可以引用來做甚麼 是引用做後裔的
[00:01:44.480 --> 00:01:48.160]  所以在這個大衛的根又是講到後裔
[00:01:48.160 --> 00:01:50.200]  而這個後裔是很厲害的
[00:01:50.200 --> 00:01:54.240]  因為引用這個詩篇第1節 應該如果沒有記錯
[00:01:54.240 --> 00:02:00.560]  就是甚麼 夜話對我主說 大衛說主對我主說
[00:02:00.560 --> 00:02:03.600]  在舊約就是講夜話對我主說
[00:02:03.600 --> 00:02:08.320]  這個就是那個我主就是講大衛的後裔
[00:02:08.320 --> 00:02:11.080]  而他稱他做主 那這個是誰啊
[00:02:11.080 --> 00:02:15.720]  你的後裔你稱他做你的主 不簡單的 是不是
[00:02:15.720 --> 00:02:20.840]  所以這個同樣是根據這個研究 這個都是講彌賽亞的
[00:02:20.840 --> 00:02:22.680]  好了 我們看回第6節
