
[00:00:00.000 --> 00:00:03.440]  讓我們在一會兒吃午飯以先
[00:00:03.440 --> 00:00:08.500]  我們都有些屬靈的進食
[00:00:08.500 --> 00:00:15.540]  舊神的話語進入我們的生命裡面
[00:00:15.540 --> 00:00:21.080]  馬丁迪貝紐斯在半世紀以前
[00:00:21.080 --> 00:00:28.580]  他是一個很重要研究亞國書的一位學者
[00:00:28.580 --> 00:00:34.640]  他就說亞國書是一本流行的口號的書
[00:00:34.640 --> 00:00:37.380]  沒有一個統一的主題
[00:00:37.380 --> 00:00:39.600]  但是接著這幾十年
[00:00:39.600 --> 00:00:41.980]  有些讀聖經的人
[00:00:41.980 --> 00:00:49.300]  有一些學者挑戰上面的這位馬丁先生的看法
[00:00:49.300 --> 00:00:53.680]  就說看到 看到統一的主題
[00:00:53.680 --> 00:00:55.700]  我現在想講出就是
[00:00:55.700 --> 00:01:02.040]  亞國是對智慧有一個很清晰明確的理解
[00:01:02.040 --> 00:01:05.140]  他對智慧理解是對當時
[00:01:05.140 --> 00:01:07.540]  對今天 對將來
[00:01:07.540 --> 00:01:10.700]  仍然是很有說服力的
[00:01:10.700 --> 00:01:12.940]  一會兒當我們看亞國書的時候
[00:01:12.940 --> 00:01:14.440]  你會發覺
[00:01:14.440 --> 00:01:18.040]  哇 可以 是很震撼的
[00:01:18.040 --> 00:01:23.440]  亞國就將人性 將生命擺在眾人的面前
[00:01:23.440 --> 00:01:29.580]  亞國關心人的靈性和社會的關係
[00:01:29.580 --> 00:01:32.440]  我們同心禱告
[00:01:32.440 --> 00:01:36.340]  陳愛主 多謝你給我們眾弟兄姊妹們
[00:01:36.340 --> 00:01:40.200]  我們在今天我們分別為聲
[00:01:40.200 --> 00:01:45.740]  我們一同在你當中去休息
[00:01:45.740 --> 00:01:49.680]  去條件你彼此的相交
[00:01:49.680 --> 00:01:53.480]  如今我們眾弟兄姊妹們要聽你的話語
[00:01:53.480 --> 00:01:57.840]  求你將你的話語栽種在我們的心靈裡面
[00:01:57.840 --> 00:02:00.280]  給我們骨頭強壯
[00:02:00.280 --> 00:02:03.440]  生命好像嬌貫的原子
[00:02:03.440 --> 00:02:05.140]  因為這樣的緣故
[00:02:05.140 --> 00:02:08.040]  我們會唱歌讚美你
[00:02:08.040 --> 00:02:11.580]  我們感謝你給我們生命的恩惠
[00:02:11.580 --> 00:02:13.980]  前面有很多的挑戰
[00:02:13.980 --> 00:02:16.980]  但我們仍然是歡喜快樂
[00:02:16.980 --> 00:02:19.240]  因為你是真的神
[00:02:19.240 --> 00:02:21.440]  是我們所經歷的神
[00:02:21.440 --> 00:02:23.980]  是我們所愛的神
[00:02:23.980 --> 00:02:27.240]  我們的祈禱是奉主耶穌基督名字求
[00:02:27.240 --> 00:02:28.940]  阿們
[00:02:28.940 --> 00:02:35.140]  傳統說亞國是耶穌基督的兄弟
[00:02:35.140 --> 00:02:41.080]  後來就成為耶路撒冷教會的領袖
[00:02:41.080 --> 00:02:51.740]  他寫的信是散居在地中海世界的猶太信徒
[00:02:51.740 --> 00:02:57.040]  亞國宣以實踐智慧而出名
[00:02:57.040 --> 00:03:00.040]  實踐智慧的意思是
[00:03:00.040 --> 00:03:02.640]  智慧是實踐的
[00:03:02.640 --> 00:03:05.540]  不是理論性的
[00:03:05.540 --> 00:03:09.240]  智慧不是指智商高
[00:03:09.240 --> 00:03:12.240]  而是指正確的行為
[00:03:12.240 --> 00:03:15.440]  智慧就是說正確的生活行為
[00:03:15.440 --> 00:03:20.840]  所需要的思想和心靈的力量
[00:03:20.840 --> 00:03:26.540]  這種能力不是天生就有的
[00:03:26.540 --> 00:03:28.640]  是神給的禮物
[00:03:28.640 --> 00:03:32.340]  人可以向神祈求神給的智慧
[00:03:32.340 --> 00:03:35.840]  神又會慷慨地給我們眾人有智慧
[00:03:35.840 --> 00:03:38.240]  一個智慧人的樣貌是怎樣的呢
[00:03:38.240 --> 00:03:40.640]  他是透明的一心一意
[00:03:40.640 --> 00:03:43.440]  不是徹私利的
[00:03:43.440 --> 00:03:46.240]  他是關係和平
[00:03:46.240 --> 00:03:48.140]  又是受教
[00:03:48.140 --> 00:03:50.940]  又是對人仁慈
[00:03:50.940 --> 00:03:52.440]  不行惡
[00:03:52.440 --> 00:03:54.140]  不搞分裂
[00:03:54.140 --> 00:03:55.740]  不偏袒
[00:03:55.740 --> 00:03:58.740]  不虛偽和造作
[00:03:58.740 --> 00:04:03.640]  人怎樣可以成為這樣的智慧的人呢
[00:04:03.640 --> 00:04:07.640]  從亞國宣我們看到智慧人有四方面的
[00:04:07.640 --> 00:04:14.040]  在聽、在說話、在行動、在祈禱方面
[00:04:14.040 --> 00:04:18.040]  第一就是智慧的人是能夠聽的
[00:04:18.040 --> 00:04:20.940]  亞國書一章就這樣說
[00:04:20.940 --> 00:04:22.040]  他就說
[00:04:22.040 --> 00:04:26.140]  我親愛的弟兄們不要被欺騙了
[00:04:26.140 --> 00:04:29.840]  各樣美善的恩澤和各樣完美的賞賜
[00:04:29.840 --> 00:04:31.940]  都是從上頭來的
[00:04:31.940 --> 00:04:35.540]  從縱光之父那裡降下來的
[00:04:35.540 --> 00:04:37.240]  在他並沒有改變
[00:04:37.240 --> 00:04:40.040]  也沒有轉動的影兒
[00:04:40.040 --> 00:04:42.140]  他按自己的旨意
[00:04:42.140 --> 00:04:43.940]  用真理的道
[00:04:43.940 --> 00:04:45.940]  生了我們
[00:04:45.940 --> 00:04:49.140]  使我們在他所造的萬物中
[00:04:49.140 --> 00:04:52.240]  成為初熟的果子
[00:04:52.240 --> 00:04:53.740]  我親愛的弟兄們
[00:04:53.740 --> 00:04:55.440]  你們要明白
[00:04:55.440 --> 00:04:58.540]  你們每一個人要快快地聽
[00:04:58.540 --> 00:05:00.240]  慢慢地說
[00:05:00.240 --> 00:05:02.140]  慢慢地動腦
[00:05:02.140 --> 00:05:05.240]  因為人的怒氣不能實現神的意
[00:05:05.240 --> 00:05:09.440]  所以你們要除去一切的污穢和累積的惡毒
[00:05:09.440 --> 00:05:12.640]  要傳溫柔的心靈受所
[00:05:12.640 --> 00:05:14.640]  栽種的道
[00:05:14.640 --> 00:05:18.140]  就是能救你們靈魂的道
[00:05:18.140 --> 00:05:19.440]  在十六節
[00:05:19.440 --> 00:05:25.840]  我們看到亞國是勸告讀者不要被欺騙
[00:05:25.840 --> 00:05:29.740]  亞國就說到這個試探起源的問題
[00:05:29.740 --> 00:05:34.540]  其實他是提出一個叫做神義論
[00:05:34.540 --> 00:05:36.440]  意思就是神是義的
[00:05:36.440 --> 00:05:39.640]  神不會參與罪惡
[00:05:39.640 --> 00:05:41.940]  神是良善的
[00:05:41.940 --> 00:05:43.640]  神義論的第一點
[00:05:43.640 --> 00:05:44.940]  亞國就說
[00:05:44.940 --> 00:05:48.540]  一切美好的事物都是來自神的
[00:05:48.540 --> 00:05:51.240]  是神所給的禮物
[00:05:51.240 --> 00:05:53.940]  第二就是神永遠不會改變的
[00:05:53.940 --> 00:05:56.040]  神是信實的
