
[00:00:00.000 --> 00:00:04.200]  今日的題目是「你為甚麼問我呢?」
[00:00:04.200 --> 00:00:07.400]  如果你有機會看到這段聖經
[00:00:07.400 --> 00:00:12.240]  我鼓勵大家可以打開《約翰福音》第18章15到27節
[00:00:12.240 --> 00:00:15.000]  今天是我選主要的講道經文
[00:00:15.000 --> 00:00:19.000]  這句問號是出自耶穌基督
[00:00:19.000 --> 00:00:23.000]  在他在阿拿的地方
[00:00:23.000 --> 00:00:26.800]  當時都可以稱之為大祭司的阿拿的府邸裏
[00:00:26.800 --> 00:00:30.200]  去被判問或被審問的時候
[00:00:30.200 --> 00:00:35.200]  耶穌反問審問他的人的一個問題
[00:00:35.200 --> 00:00:37.600]  今日在進入《約翰福音》之前
[00:00:37.600 --> 00:00:42.600]  我想和大家分享兩段很簡單的詩篇經文
[00:00:42.600 --> 00:00:44.400]  其實這兩段詩篇的經文
[00:00:44.400 --> 00:00:49.600]  我的靈感或來源的源頭是源自一本書
[00:00:49.600 --> 00:00:53.200]  我曾經記得有一次講道時也有引用過
[00:00:53.200 --> 00:00:58.000]  我很喜歡的一位北美神學家、教育家和作家
[00:00:58.000 --> 00:01:01.800]  他中譯我們譯為唐萬華博士
[00:01:01.800 --> 00:01:03.600]  Marva Dong
[00:01:03.600 --> 00:01:07.400]  Marva有一本書叫做《I'm Lonely, Lord, How Long?》
[00:01:07.400 --> 00:01:10.200]  中譯是學生方團契翻譯的
[00:01:10.200 --> 00:01:13.200]  叫做《我在孤單等待》
[00:01:13.200 --> 00:01:15.200]  這本書其實是一本
[00:01:15.200 --> 00:01:19.000]  他透過詩篇和我們進入心靈的世界
[00:01:19.000 --> 00:01:23.000]  你可以看成是一本神學家靈修的書
[00:01:23.000 --> 00:01:26.600]  內容有很多安慰和提醒
[00:01:26.600 --> 00:01:30.400]  其中有兩段我都很有深刻的印象
[00:01:30.400 --> 00:01:32.600]  而當我準備這個講章的時候
[00:01:32.600 --> 00:01:39.000]  就浮起了書的內容和Marva所選擇的兩段詩篇
[00:01:39.000 --> 00:01:43.400]  我覺得和我今天準備的講章很有共鳴
[00:01:43.400 --> 00:01:47.200]  我先分享了Marva Dong的兩段詩篇
[00:01:47.200 --> 00:01:51.400]  第一篇是引用了詩篇的第25篇15到18節
[00:01:51.400 --> 00:01:52.800]  我讀給大家聽
[00:01:52.800 --> 00:01:55.200]  我的眼目時常仰望主
[00:01:55.200 --> 00:01:59.800]  因為祂必將我的腳從網裡拉出來
[00:01:59.800 --> 00:02:02.800]  求祢轉向我 連率我
[00:02:02.800 --> 00:02:05.200]  因為我是孤獨困苦
[00:02:05.200 --> 00:02:07.800]  我心裡的愁苦甚多
[00:02:07.800 --> 00:02:10.400]  求祢救我脫離我的禍患
[00:02:10.400 --> 00:02:14.200]  求祢看顧我的困苦 我的艱難
[00:02:14.200 --> 00:02:17.200]  赦免我一切的罪
[00:02:17.200 --> 00:02:22.800]  唐孟華在書裡去剖析或分享詩篇的經節的時候
[00:02:22.800 --> 00:02:24.800]  他問了一個問題
[00:02:24.800 --> 00:02:29.200]  到底我們的雙腳陷在什麼網羅裡
