
[00:00:00.000 --> 00:00:01.360]  在我們開始之前
[00:00:01.360 --> 00:00:02.920]  我們先有一個祈禱
[00:00:02.920 --> 00:00:04.960]  撐愛主
[00:00:04.960 --> 00:00:06.320]  我們感謝 讚美祢
[00:00:06.320 --> 00:00:07.040]  多謝祢
[00:00:07.040 --> 00:00:08.560]  我們在今天
[00:00:08.560 --> 00:00:09.840]  在祢的面前
[00:00:09.840 --> 00:00:11.720]  我們一同去敬拜祢
[00:00:11.720 --> 00:00:13.800]  並且領受主祢的話語
[00:00:13.800 --> 00:00:15.200]  求主祢的恩典
[00:00:15.200 --> 00:00:16.640]  祢的聖靈同在
[00:00:16.640 --> 00:00:17.920]  打開我們的心
[00:00:17.920 --> 00:00:19.040]  叫祢的話語
[00:00:19.040 --> 00:00:20.760]  能夠建立我們的生命
[00:00:20.760 --> 00:00:21.520]  主啊
[00:00:21.520 --> 00:00:22.920]  願祢幫助我們
[00:00:22.920 --> 00:00:24.960]  無論聽的和說的
[00:00:24.960 --> 00:00:26.640]  都在祢的話語裏面
[00:00:26.640 --> 00:00:28.120]  我們有所學習
[00:00:28.120 --> 00:00:30.040]  得益以致我們的生命
[00:00:30.040 --> 00:00:31.320]  能夠蒙祢喜悅
[00:00:31.320 --> 00:00:33.040]  我們禱告祢奉靠主耶穌基督
[00:00:33.040 --> 00:00:34.320]  得聖靈自祈求
[00:00:34.320 --> 00:00:34.960]  阿們
[00:00:34.960 --> 00:00:37.240]  中國人有一句話
[00:00:37.240 --> 00:00:39.280]  就叫家和萬事興
[00:00:39.280 --> 00:00:41.040]  和諧的家庭
[00:00:41.040 --> 00:00:42.200]  無論對個人
[00:00:42.200 --> 00:00:43.840]  和整個社會來講
[00:00:43.840 --> 00:00:46.080]  都是有非常正面的影響的
[00:00:46.080 --> 00:00:47.720]  不過弟兄姊妹間
[00:00:47.720 --> 00:00:49.240]  能夠相親相愛
[00:00:49.240 --> 00:00:51.080]  並不是一件容易的事
[00:00:51.080 --> 00:00:52.880]  就好像很多電視劇
[00:00:52.880 --> 00:00:55.520]  好像院的有唐心風暴
[00:00:55.520 --> 00:00:56.800]  因為增產
[00:00:56.800 --> 00:00:58.640]  而搞到四分五裂
