
[00:00:00.000 --> 00:00:02.900]  在多倫多這幾個星期
[00:00:02.900 --> 00:00:05.220]  很多事情發生了
[00:00:05.220 --> 00:00:07.720]  在加拿大很多事情發生了
[00:00:07.720 --> 00:00:09.180]  三個星期之前
[00:00:09.180 --> 00:00:12.100]  很多人很熱切地等待一個
[00:00:12.100 --> 00:00:15.580]  很盛大的音樂會
[00:00:15.580 --> 00:00:17.820]  就是剛才那張
[00:00:17.820 --> 00:00:19.440]  這個音樂會是誰的呢?
[00:00:19.440 --> 00:00:21.560]  Taylor Smith
[00:00:21.560 --> 00:00:22.860]  哇!
[00:00:22.860 --> 00:00:25.020]  很多人在等待
[00:00:25.020 --> 00:00:26.720]  其實我沒有去等待她
[00:00:26.720 --> 00:00:27.720]  我沒有撲飛
[00:00:27.720 --> 00:00:28.580]  我什麼都沒有
[00:00:28.580 --> 00:00:29.580]  但是
[00:00:30.080 --> 00:00:31.680]  打開電視機的話
[00:00:31.680 --> 00:00:32.680]  每次
[00:00:32.680 --> 00:00:34.960]  每天都有報告她的新聞
[00:00:34.960 --> 00:00:36.980]  不僅是報告她的新聞
[00:00:36.980 --> 00:00:39.300]  還報告粉絲怎樣去等待
[00:00:39.300 --> 00:00:42.140]  連華人電台
[00:00:42.140 --> 00:00:45.160]  都有訪問去過這個音樂會的人
[00:00:45.160 --> 00:00:46.480]  一些的
[00:00:46.480 --> 00:00:49.940]  就是那些粉絲的對話
[00:00:49.940 --> 00:00:52.260]  哇! 真的是很熱鬧
[00:00:52.260 --> 00:00:55.600]  所以令到在Toronto downtown那裡
[00:00:55.600 --> 00:00:57.440]  很塞車
[00:00:57.440 --> 00:00:59.020]  有六天的時間
[00:00:59.480 --> 00:01:01.120]  她還沒開始之前
[00:01:01.120 --> 00:01:04.400]  省長、市長都說
[00:01:04.400 --> 00:01:10.340]  她會帶來2億8千2百萬的收益
[00:01:10.340 --> 00:01:12.160]  對於這個城市裡面
[00:01:12.160 --> 00:01:13.460]  多不多?
[00:01:13.460 --> 00:01:15.120]  六天而已
[00:01:15.120 --> 00:01:19.540]  每一天帶來4千7百萬的收益
[00:01:19.540 --> 00:01:20.880]  除六而已
[00:01:20.880 --> 00:01:22.320]  我簡單地說
[00:01:22.320 --> 00:01:23.880]  那時候
[00:01:23.880 --> 00:01:26.780]  哇! 這是不是很好的喜訊?
[00:01:28.540 --> 00:01:31.380]  不知道你們有沒有子女
