
[00:00:00.000 --> 00:00:03.480]  今天我們第三講
[00:00:03.480 --> 00:00:09.880]  第一講 我信上帝全能的父 創造天地的主
[00:00:09.880 --> 00:00:16.400]  上星期我們講了 我信我主耶穌基督 上帝的獨生子
[00:00:16.400 --> 00:00:19.680]  今天我們會講到聖靈
[00:00:19.680 --> 00:00:22.000]  在未講聖靈之前
[00:00:22.000 --> 00:00:25.440]  我想先用一段聖經來複習
[00:00:25.440 --> 00:00:29.480]  上星期我們所講的有關三位一體的神
[00:00:29.480 --> 00:00:32.920]  第二個位格 有關主耶穌基督
[00:00:32.920 --> 00:00:37.160]  不單是複雜 也用那段經文
[00:00:37.160 --> 00:00:40.360]  成為一個開場白 帶入我們今天的經文
[00:00:40.360 --> 00:00:41.640]  講到聖靈
[00:00:41.640 --> 00:00:44.200]  上星期我們講到約翰福音
[00:00:44.200 --> 00:00:45.840]  我想和你看幾節的聖經
[00:00:45.840 --> 00:00:50.760]  約翰福音第一章第一節到第三節
[00:00:50.760 --> 00:00:51.800]  是這麼說的
[00:00:51.800 --> 00:00:59.440]  「太初有道 道與上帝同在 道就是上帝」
[00:00:59.440 --> 00:01:05.320]  「道太初與上帝同在 萬物是藉著他做的」
[00:01:05.320 --> 00:01:13.240]  「凡被做的 沒有一樣不是藉著他做的」
[00:01:13.240 --> 00:01:15.600]  關於主耶穌基督的記載
[00:01:15.600 --> 00:01:22.000]  很重要的地方是約翰福音的經文
[00:01:22.000 --> 00:01:26.000]  約翰福音第一章第一節到第十八節
[00:01:26.000 --> 00:01:27.800]  其實是一個完整的段落
[00:01:27.800 --> 00:01:31.480]  這個完整的段落是一個交叉的結構記載
[00:01:31.480 --> 00:01:33.160]  是一個很複雜的交叉結構
[00:01:33.160 --> 00:01:37.160]  我喜歡把它簡化成APA
[00:01:37.160 --> 00:01:40.600]  大家知道華人有對聯
[00:01:40.600 --> 00:01:43.480]  上聯 下聯 橫批
[00:01:43.480 --> 00:01:48.200]  上聯是說約翰開始把主耶穌
[00:01:48.200 --> 00:01:52.000]  是創造主的身份帶了出來
[00:01:52.000 --> 00:01:56.000]  下聯是說他是一個拯救者
[00:01:56.000 --> 00:01:57.880]  一個救贖主的身份
[00:01:57.880 --> 00:02:00.360]  所以兩個身份加起來
[00:02:00.360 --> 00:02:01.960]  當然今天不是說那段經文
[00:02:01.960 --> 00:02:03.920]  所以就不介紹橫批了
[00:02:03.920 --> 00:02:07.000]  但我們在上聯這段經文一到三節
[00:02:07.000 --> 00:02:09.680]  是說主耶穌是創造主
[00:02:09.680 --> 00:02:11.200]  第一節特別重要
[00:02:11.200 --> 00:02:14.280]  因為第一節在短短一節經文裏面
[00:02:14.280 --> 00:02:18.520]  約翰已經為主耶穌這個位格
[00:02:18.520 --> 00:02:21.680]  設立了一個三角形的框架
[00:02:21.680 --> 00:02:24.680]  這個框架是幫助我們去了解
[00:02:24.680 --> 00:02:28.480]  三位一體的神第二個位格主耶穌是怎樣的
[00:02:28.480 --> 00:02:31.920]  三位一體的神我相信沒有人能夠完全明白
[00:02:31.920 --> 00:02:34.280]  在初期的教會
[00:02:34.280 --> 00:02:37.880]  也有不少的神學家用過不同的比喻
[00:02:37.880 --> 00:02:40.080]  來形容三位一體
[00:02:40.080 --> 00:02:41.440]  但也沒有任何一個比喻
[00:02:41.440 --> 00:02:44.920]  能夠完全將三位一體形容得很貼切
[00:02:44.920 --> 00:02:47.440]  無論是用水 H2O
[00:02:47.440 --> 00:02:49.880]  水可以分三種不同的形式存在
[00:02:49.880 --> 00:02:52.640]  有水 有水蒸氣 可以結冰
[00:02:52.640 --> 00:02:54.840]  有些人用火 有些人用雞蛋
[00:02:54.840 --> 00:02:56.160]  各種的比喻
[00:02:56.160 --> 00:02:59.080]  但沒有一個比喻可以完全彰顯到
[00:02:59.080 --> 00:03:00.560]  約翰很厲害
[00:03:00.560 --> 00:03:02.480]  短短一句話
[00:03:02.480 --> 00:03:05.720]  就為三位一體設立了一個三角形的框架
[00:03:05.720 --> 00:03:07.560]  它有三條邊
[00:03:07.560 --> 00:03:10.560]  第一條邊就是第一句
[00:03:10.560 --> 00:03:12.480]  太初有道
[00:03:12.480 --> 00:03:14.440]  這裡說到他將主耶穌
[00:03:14.440 --> 00:03:16.480]  用道來形容主耶穌
[00:03:16.480 --> 00:03:18.000]  道就是神的話
[00:03:18.000 --> 00:03:19.400]  說到太初
[00:03:19.400 --> 00:03:21.840]  意思就是未有時間之先
[00:03:21.840 --> 00:03:23.720]  就好像我們唸《創世紀》
[00:03:23.720 --> 00:03:27.240]  起初上帝創造天地
[00:03:27.240 --> 00:03:28.600]  第四日
[00:03:28.600 --> 00:03:31.160]  神才開始做兩個大光
[00:03:31.160 --> 00:03:33.240]  太陽 月亮開始運行
[00:03:33.240 --> 00:03:36.120]  才有我們今天所謂的physical time
[00:03:36.120 --> 00:03:37.720]  二十四小時一日
[00:03:37.720 --> 00:03:40.280]  這個觀念是第四日創造才有的
[00:03:40.280 --> 00:03:42.920]  起初神創造天地
[00:03:42.920 --> 00:03:44.680]  連時間都未有
[00:03:44.680 --> 00:03:46.200]  空間時間
[00:03:46.200 --> 00:03:48.960]  創造的一切都未有之先
[00:03:48.960 --> 00:03:51.480]  太初已經有道
[00:03:51.480 --> 00:03:53.440]  未有時間已經有
[00:03:53.440 --> 00:03:56.440]  所以這是第一條框架 第一條線
[00:03:56.440 --> 00:04:01.160]  所以無論你怎樣解釋主耶穌的位格
