
[00:00:00.000 --> 00:00:04.600]  今天我們分享的題目是「年終回顧感恩」
[00:00:04.600 --> 00:00:08.040]  最近我們很喜歡問AI
[00:00:08.040 --> 00:00:12.080]  我最近八月去旅行訂什麼酒店我都問AI
[00:00:12.080 --> 00:00:15.280]  最後AI的提議真的挺好的
[00:00:15.280 --> 00:00:16.920]  我們一樣都很喜歡問AI
[00:00:16.920 --> 00:00:18.240]  於是我也問AI
[00:00:18.240 --> 00:00:20.000]  2025年了
[00:00:20.000 --> 00:00:23.000]  過去一年究竟世界和香港
[00:00:23.000 --> 00:00:27.280]  如果有十件的大事回顧會是些什麼呢?
[00:00:27.280 --> 00:00:30.520]  我們一起看看AI給我們什麼答案
[00:00:30.520 --> 00:00:35.120]  首先是世界十大事件回顧
[00:00:35.120 --> 00:00:40.440]  排第十的是宗教領袖的更替和教宗的繼承
[00:00:40.440 --> 00:00:45.400]  他說天主教在2025年出現了一位新的教宗
[00:00:45.400 --> 00:00:47.720]  就是梁十四世
[00:00:47.720 --> 00:00:53.400]  也是被很多不同的媒體列為年度十大事件
[00:00:53.400 --> 00:00:58.280]  象徵著這是世界上其中一個最大宗教群體的走向
[00:00:58.280 --> 00:01:00.280]  是受到關注的
[00:01:00.280 --> 00:01:02.560]  排第九是什麼呢?
[00:01:02.560 --> 00:01:05.920]  排第九原來是區域的衝突
[00:01:05.920 --> 00:01:09.160]  以及人道災難的惡化
[00:01:09.160 --> 00:01:12.080]  他說印度和巴基斯坦
[00:01:12.080 --> 00:01:14.640]  在他們的邊界
[00:01:14.640 --> 00:01:18.120]  爆發了空戰和無人機的攻擊
[00:01:18.120 --> 00:01:24.480]  令印巴核武對峙再次成為國際安全的焦點
[00:01:24.480 --> 00:01:28.320]  特別提到蘇丹內戰的惡化
[00:01:28.320 --> 00:01:32.200]  令超過一千萬人流離失所
[00:01:32.200 --> 00:01:36.600]  近三千萬人需要人道援助
[00:01:36.600 --> 00:01:42.600]  被形容為過去一年最嚴重的人道和饑荒的危機
[00:01:42.600 --> 00:01:45.440]  排第八是什麼呢?
[00:01:45.440 --> 00:01:50.880]  排第八是破紀錄的極端天氣危機
[00:01:50.880 --> 00:01:54.640]  他說2025年其實記錄了很多極端的天氣
[00:01:54.640 --> 00:01:57.720]  在越南、斯里蘭卡和印尼
[00:01:57.720 --> 00:01:59.880]  都出現了致命的洪災
[00:01:59.880 --> 00:02:05.800]  在加勒比海的颱風重創了牙買加、海地和古巴
[00:02:05.800 --> 00:02:08.560]  而歐洲的高溫
[00:02:08.560 --> 00:02:09.920]  持續的高溫
[00:02:09.920 --> 00:02:17.640]  令科學家認為氣候變遷和極端天氣已經帶來極大的破壞力
[00:02:17.640 --> 00:02:24.880]  亦鼓吹我們要加快進行減碳和有適當的對策
[00:02:24.880 --> 00:02:26.840]  排第七是什麼呢?
[00:02:26.840 --> 00:02:33.120]  是Z世代的起義和全球抗議的浪潮
[00:02:33.120 --> 00:02:35.520]  Z世代就是30歲以下
[00:02:35.520 --> 00:02:37.000]  中間有沒有Z世代呢?
[00:02:37.000 --> 00:02:39.560]  不是沒有吧?
