
[00:00:00.000 --> 00:00:02.500]  這幾個星期我們有個系列
[00:00:02.500 --> 00:00:04.500]  就是四首聖誕歌
[00:00:04.500 --> 00:00:08.000]  我們用幾首聖誕歌來做主題
[00:00:08.000 --> 00:00:11.500]  我們講過聖線夜
[00:00:11.500 --> 00:00:15.500]  上個星期我們講過All Come All Ye Faithful
[00:00:15.500 --> 00:00:20.000]  這個星期我們用一首歌叫Away in a Manger
[00:00:20.000 --> 00:00:25.500]  馬曹盛英的一首歌來做主題
[00:00:25.500 --> 00:00:28.500]  這首歌Away in a Manger
[00:00:28.500 --> 00:00:35.000]  原來是在講英文的地方來說
[00:00:35.000 --> 00:00:38.500]  是非常受歡迎的一首聖誕歌
[00:00:38.500 --> 00:00:42.000]  它是Ranking No.2
[00:00:42.000 --> 00:00:44.000]  All Time No.2
[00:00:44.000 --> 00:00:49.500]  相傳這首歌是馬丁路德所作的
[00:00:49.500 --> 00:00:54.500]  他叫做Luther's Cradle Song
[00:00:54.500 --> 00:01:00.500]  意思是小朋友睡覺的時候唱這首歌
[00:01:00.500 --> 00:01:04.500]  這首歌Away in a Manger
[00:01:04.500 --> 00:01:06.500]  我們有個錯覺
[00:01:06.500 --> 00:01:08.500]  特別是聖誕節
[00:01:08.500 --> 00:01:13.500]  很溫馨、很可愛、很溫暖、很平靜
[00:01:13.500 --> 00:01:18.500]  其實馬曹的情況是相反的
[00:01:18.500 --> 00:01:24.500]  很冷、很髒、很臭
[00:01:24.500 --> 00:01:28.500]  所以今天我們就思想一下
[00:01:28.500 --> 00:01:34.500]  爲什麼這位神會選擇在馬曹出生
[00:01:34.500 --> 00:01:41.500]  爲什麼不在一個比較正式的環境出生
[00:01:41.500 --> 00:01:44.500]  其實每一個家長
[00:01:44.500 --> 00:01:46.500]  你們有小朋友的時候
[00:01:46.500 --> 00:01:48.500]  小朋友不會說
[00:01:48.500 --> 00:01:51.500]  等他出生我們才準備
[00:01:51.500 --> 00:01:52.500]  不會的
