
[00:00:00.000 --> 00:00:02.000]  頂著背,早晨
[00:00:02.000 --> 00:00:07.920]  都是相當長的時間沒在祖堂
[00:00:07.920 --> 00:00:12.440]  今天很感恩,讓我有機會再次在祖堂
[00:00:12.440 --> 00:00:15.560]  大家看到我現在要拿一個手提電腦
[00:00:15.560 --> 00:00:16.760]  原因是什麼呢?
[00:00:16.760 --> 00:00:20.160]  就是看兩邊的螢幕
[00:00:20.160 --> 00:00:22.240]  眼睛變差了
[00:00:22.240 --> 00:00:23.920]  比以前不同
[00:00:23.920 --> 00:00:26.520]  所以變成我讀聖經,看不到就靠猜測
[00:00:26.520 --> 00:00:29.040]  背得多少就背
[00:00:29.040 --> 00:00:30.720]  我說這樣不是太好
[00:00:30.720 --> 00:00:33.360]  說完都不知道去了哪裡
[00:00:33.360 --> 00:00:36.080]  所以我看這個就更好一點
[00:00:36.080 --> 00:00:39.480]  因為看印出來的那些,其實都有困難的
[00:00:39.480 --> 00:00:42.480]  低著頭,低得久又不是太好
[00:00:42.480 --> 00:00:44.920]  所以我很想見你們
[00:00:44.920 --> 00:00:48.160]  用這樣的方式,是不是好一點?
[00:00:48.160 --> 00:00:53.920]  唉,感謝神
[00:00:53.920 --> 00:00:57.400]  今天要和大家繼續來說
[00:00:57.400 --> 00:01:01.400]  有關創世紀的訊息
[00:01:01.400 --> 00:01:08.520]  聖經說,舊約的律法,是新約的影兒
[00:01:08.520 --> 00:01:13.000]  換句話說,當你看到舊約發生的事情的時候
[00:01:13.000 --> 00:01:15.160]  我希望大家能夠記得
[00:01:15.160 --> 00:01:19.080]  其實那些事情,不只是以前是這樣
[00:01:19.080 --> 00:01:23.040]  是歷世歷代都是這樣的
[00:01:23.040 --> 00:01:25.880]  然後又讓我們看看舊約的人物
[00:01:25.880 --> 00:01:31.640]  在他未被神改變之前,他的樣子是怎樣的
[00:01:31.640 --> 00:01:36.440]  但神永遠,特別是他揀選的人
[00:01:36.440 --> 00:01:41.240]  他不會只是說,他未被神改變之前的事情
[00:01:41.240 --> 00:01:43.200]  他會繼續說
[00:01:43.200 --> 00:01:47.680]  說回神怎樣來改變他,沒有做他
[00:01:47.680 --> 00:01:52.040]  是因為這樣,今天當大家聽完這堂課的時候
[00:01:52.040 --> 00:01:56.000]  謹謹記得,還沒完的
[00:01:56.000 --> 00:01:59.240]  他還需要被神來改變
[00:01:59.240 --> 00:02:01.640]  今天要和大家來說的
[00:02:01.640 --> 00:02:08.040]  就是得、變失、贏、變輸的愛國
[00:02:08.040 --> 00:02:14.240]  有人說,這個世界是一個怎樣的世界呢?
[00:02:14.240 --> 00:02:17.880]  是一個什麼都要贏的世界
[00:02:17.880 --> 00:02:21.680]  我不知道大家有多少人同意的,可不可以舉手
[00:02:21.680 --> 00:02:23.880]  什麼都要贏
[00:02:23.880 --> 00:02:26.760]  人與人要比賽
[00:02:26.760 --> 00:02:29.160]  考試要贏
[00:02:29.160 --> 00:02:31.320]  找工作
[00:02:31.320 --> 00:02:34.960]  坐在上面的位置要贏
[00:02:34.960 --> 00:02:37.960]  所有的運動、比賽要贏
[00:02:37.960 --> 00:02:39.920]  人與人要贏
[00:02:39.920 --> 00:02:41.960]  學校與學校要贏
[00:02:41.960 --> 00:02:44.320]  公司與公司要贏
[00:02:44.320 --> 00:02:47.160]  酒樓與酒樓要贏嗎?
[00:02:47.160 --> 00:02:48.280]  要
[00:02:48.280 --> 00:02:50.800]  做生意,看到你賺得這麼好
[00:02:50.800 --> 00:02:54.520]  很快隔離又開多一檔,完全賣同樣的東西
[00:02:54.520 --> 00:02:56.800]  但是便宜過你的
[00:02:56.800 --> 00:02:59.280]  目的是什麼?搶客
[00:02:59.280 --> 00:03:01.280]  然後看著你餐館
[00:03:01.280 --> 00:03:03.520]  你出的是什麼,我又開
[00:03:03.520 --> 00:03:06.560]  出的那些是比你便宜一些
[00:03:06.560 --> 00:03:09.920]  然後將那些客人帶去他那裡,贏
[00:03:09.920 --> 00:03:14.320]  但是聖經告訴我們,日光之下是沒有新事的
[00:03:14.320 --> 00:03:18.960]  有多少人同意?可不可以舉手
[00:03:18.960 --> 00:03:26.040]  OK,感恩,英雄所見略同
[00:03:26.040 --> 00:03:27.680]  另一方面
[00:03:27.680 --> 00:03:33.400]  聖經亦都講了一句非常重要的說話
[00:03:33.400 --> 00:03:37.760]  人若賺得全世界賠上了自己的生命
