
[00:00:00.000 --> 00:00:10.000]  在座各位 有没有人试过分派任务给你的同事
[00:00:10.000 --> 00:00:13.640]  试过 当你分派任务给你的同事的时候
[00:00:13.640 --> 00:00:19.200]  你会说什么呢 或者同事通常是怎么反应的呢
[00:00:19.200 --> 00:00:25.600]  另外一个问题 有没有人试过被分派任务
[00:00:25.600 --> 00:00:32.720]  就是派工作给你 那个时候你是怎么反应的呢
[00:00:32.720 --> 00:00:39.000]  今天旧约经货好像有一个是分派任务的个案
[00:00:39.000 --> 00:00:44.000]  不过分派任务的不是上司 是上帝
[00:00:44.000 --> 00:00:50.480]  接受任务的被分派的是摩西 不是小土豆
[00:00:50.480 --> 00:00:56.600]  我们一起看看旧约经货
[00:00:56.600 --> 00:01:03.360]  旧约经货第三章第一节
[00:01:03.360 --> 00:01:10.480]  有一天 有一个名叫摩西的牧羊人带领羊群去到河猎山
[00:01:10.480 --> 00:01:13.840]  在那里他遇到耶和华上帝
[00:01:13.840 --> 00:01:17.480]  耶和华上帝不是一开口就叫他做事
[00:01:17.480 --> 00:01:21.480]  而是首先告诉他他是谁
[00:01:21.480 --> 00:01:27.920]  他怎么告诉他是谁呢 第二节 第三节 第四节 第五节
[00:01:27.920 --> 00:01:33.200]  这里他说 他不是说他是谁
[00:01:33.200 --> 00:01:35.240]  他直接给摩西看东西
[00:01:35.240 --> 00:01:45.400]  然后就显示现在准备吩咐他任务的不是一个普通的人
[00:01:45.400 --> 00:01:48.400]  他看见那些景象
[00:01:48.400 --> 00:01:51.720]  有荊棘被烧 但是没有坟位
[00:01:51.720 --> 00:01:53.520]  然后有声音从这里出来
[00:01:53.520 --> 00:01:58.760]  还要告诉他 脱下你的鞋 这里是圣地
[00:01:58.760 --> 00:02:01.000]  在说什么呢
[00:02:01.000 --> 00:02:05.760]  就是告诉那个将要接受任务的人知道
[00:02:05.760 --> 00:02:10.640]  我不是普通人
[00:02:10.640 --> 00:02:15.120]  我是不同的
[00:02:15.120 --> 00:02:18.960]  第二 继续跟他说
[00:02:18.960 --> 00:02:23.320]  不单止说他是神圣
[00:02:23.320 --> 00:02:28.640]  而是告诉他其实我又不是距离你很远
[00:02:28.640 --> 00:02:31.760]  其实我距离你很近 我们有关系
[00:02:31.760 --> 00:02:36.120]  第六节 告诉他我是你父亲的上帝
[00:02:36.120 --> 00:02:42.320]  阿伯拉罕的上帝 以撒的上帝 雅各的上帝
[00:02:42.320 --> 00:02:47.000]  是这样先介绍了自己 告诉他我是谁
