
[00:00:00.000 --> 00:00:02.000]  今日你睇到呢一個訊息
[00:00:02.000 --> 00:00:04.360]  覆陰突破一切限制
[00:00:04.360 --> 00:00:08.520]  其實真係一個好特別嘅情況之下同大家分享
[00:00:08.520 --> 00:00:14.200]  大家都知道呢個禮拜我哋係由孫教士同我哋去分享訊息
[00:00:14.200 --> 00:00:17.080]  而孫教士往往都要好小心
[00:00:17.080 --> 00:00:20.600]  因為佢唔想將佢嘅侍功
[00:00:20.600 --> 00:00:24.200]  甚至佢個樣都係喺個網上公開
[00:00:24.200 --> 00:00:26.800]  咁所以教會經過考慮之後
[00:00:26.800 --> 00:00:32.600]  就邀請我呢就係講一個嘅都係同孫教相關嘅訊息
[00:00:32.600 --> 00:00:38.600]  其實呢我哋收集呢係以敬拜禱告孫教建立神榮耀角度
[00:00:38.600 --> 00:00:41.360]  呢個係我哋一個使命嘅宣言
[00:00:41.360 --> 00:00:44.160]  當然我哋每個星期返嚟崇拜嘅時候
[00:00:44.160 --> 00:00:47.200]  我哋都投入喺敬拜嘅當中
[00:00:47.200 --> 00:00:50.800]  我哋亦都願意喺我哋嘅禱告嘅生活上面
[00:00:50.800 --> 00:00:54.280]  我哋更加喺個人同埋喺我哋嘅小組
[00:00:54.280 --> 00:00:58.000]  喺我哋嘅教會當中係更重視禱告
[00:00:58.000 --> 00:01:01.000]  但係孫教可以話過去兩三年
[00:01:01.000 --> 00:01:02.600]  因為疫情嘅緣故
[00:01:02.600 --> 00:01:07.200]  我哋好多個短孫都唔能夠照正常咁樣去進行
[00:01:07.200 --> 00:01:12.400]  我哋點樣去繼續嘅喺呢個孫教延伸嘅當中
[00:01:12.400 --> 00:01:16.800]  我哋讓弟兄姊妹繼續嘅去明白神嘅心意
[00:01:16.800 --> 00:01:20.400]  今日嘗試透過喺使道行轉裏面
[00:01:20.400 --> 00:01:24.440]  一個外邦多里樓嘅呢一位嘅白夫長
[00:01:24.440 --> 00:01:27.640]  佢全家係點樣信主嘅經過
[00:01:27.640 --> 00:01:29.960]  我哋睇神點樣指示我哋
[00:01:29.960 --> 00:01:35.440]  當如何去突破全福音一啲固有嘅觀念
[00:01:35.440 --> 00:01:38.560]  讓我哋一齊同心禱告
[00:01:38.560 --> 00:01:41.440]  慈愛天父我哋感謝讚美你
[00:01:41.440 --> 00:01:44.680]  神你真係嗰位孫教嘅主
[00:01:44.680 --> 00:01:47.720]  因為你不願意一人沉淪
[00:01:47.720 --> 00:01:51.000]  你乃願萬人都能夠悔改
[00:01:51.000 --> 00:01:53.080]  所以主你去幫助我哋
[00:01:53.080 --> 00:01:54.840]  我哋有你嘅心腸
[00:01:54.840 --> 00:01:58.560]  以至我哋喺香港喺世界各地
[00:01:58.560 --> 00:02:01.200]  我哋都唔忘記福音嘅使命
[00:02:01.200 --> 00:02:04.400]  神你差派我哋可能喺本地嘅見證
[00:02:04.400 --> 00:02:06.360]  喺本地嘅跨文化
[00:02:06.360 --> 00:02:09.440]  又或者我哋跨文化喺外地嘅見證
[00:02:09.440 --> 00:02:11.880]  同樣都係神你所看重
[00:02:11.880 --> 00:02:13.600]  願主幫助我哋
[00:02:13.600 --> 00:02:15.920]  教清楚我哋嘅焦點
[00:02:15.920 --> 00:02:19.280]  無論我哋作乜嘢都係總要得赦人
[00:02:19.280 --> 00:02:20.960]  願天父去帶領我哋
[00:02:20.960 --> 00:02:24.200]  藉住今日嘅信息再一次嘅激勵我哋
[00:02:24.200 --> 00:02:26.480]  突破一切嘅限制
[00:02:26.480 --> 00:02:29.080]  為著福音能夠被廣傳
[00:02:29.080 --> 00:02:31.520]  我哋咁樣喺你面前祈禱感謝
[00:02:31.520 --> 00:02:34.040]  奉基督得聖名字祈求
[00:02:34.040 --> 00:02:36.320]  阿們
[00:02:36.320 --> 00:02:38.920]  如果我哋仔細睇史道行轉
