
[00:00:00.000 --> 00:00:04.960]  今年2020年見到天災人禍接二連三的發生
[00:00:04.960 --> 00:00:06.400]  可能你和我一樣
[00:00:06.400 --> 00:00:10.160]  都會想起聖經出埃及記十災故事
[00:00:10.160 --> 00:00:13.040]  十災是以屬能詳的聖經故事
[00:00:13.040 --> 00:00:15.520]  講到埃及帝國的法老
[00:00:15.520 --> 00:00:18.480]  不容許以色列人離開埃及
[00:00:18.480 --> 00:00:21.440]  於是上帝就降十個災禍
[00:00:21.440 --> 00:00:24.000]  懲罰審判埃及
[00:00:24.000 --> 00:00:25.200]  十災這個故事
[00:00:25.200 --> 00:00:28.560]  是記載在出埃及記七至十二章
[00:00:28.560 --> 00:00:31.520]  這裡講到水變血的災禍
[00:00:31.520 --> 00:00:35.280]  話災、實災、刑災、蓄疫之災
[00:00:35.280 --> 00:00:39.280]  滄災、薄災、黃災、黑暗之災
[00:00:39.280 --> 00:00:42.000]  最後第十災是殺長子
[00:00:42.000 --> 00:00:45.040]  最近有人在網上留言
[00:00:45.040 --> 00:00:47.600]  他說見到十災的情景
[00:00:47.600 --> 00:00:51.680]  就好像2020年我們所遭遇的一樣
[00:00:51.680 --> 00:00:54.400]  但我們如果退一步想一想
[00:00:54.400 --> 00:00:58.320]  出埃及記十災故事的歷史背景的話
[00:00:58.320 --> 00:01:04.240]  會不會十災只不過是當時亂世冰山的一個
[00:01:04.240 --> 00:01:06.240]  可能我們這樣想的時候
[00:01:06.240 --> 00:01:11.120]  我們會對十災的記載有另一個體會
[00:01:11.120 --> 00:01:13.360]  出埃及記的年代
[00:01:13.360 --> 00:01:16.800]  你怎樣估算聖經的日期、年日等等
[00:01:16.800 --> 00:01:21.520]  都是在公元前1500至1200年之間
[00:01:21.520 --> 00:01:26.480]  這個時期就是近東歷史最關鍵的時候
[00:01:26.480 --> 00:01:28.720]  我們叫它做Lebron's Age
[00:01:28.720 --> 00:01:30.720]  青銅時代後期
[00:01:30.720 --> 00:01:35.840]  當時的近東世界進入一個最興盛的時候
[00:01:35.840 --> 00:01:38.960]  大約在公元前1340年
[00:01:38.960 --> 00:01:43.120]  有一艘商船在東地中海的海域航行
[00:01:43.120 --> 00:01:47.680]  這艘船載滿著很多名貴的貨物
[00:01:47.680 --> 00:01:49.680]  不知道什麼原因
[00:01:49.680 --> 00:01:51.680]  可能是遇到風浪
[00:01:51.680 --> 00:01:54.400]  可能是船長大意
[00:01:54.400 --> 00:01:57.440]  又或者他們在逃避海盜
[00:01:57.440 --> 00:02:03.600]  這艘船經過土耳其南邊一個小鎮叫做烏魯布倫
[00:02:03.600 --> 00:02:07.520]  在這個海域的船突然間擱淺
[00:02:07.520 --> 00:02:12.080]  整艘船連同貨物沉在海底
[00:02:12.080 --> 00:02:14.080]  直到1982年
[00:02:14.080 --> 00:02:18.880]  有一位潛水員意外發現這艘沉船
[00:02:18.880 --> 00:02:24.640]  經過十年超過二萬多次的潛水考古的工作
[00:02:24.640 --> 00:02:29.760]  才把這艘商船裏面的貨品一一打撈上來
[00:02:29.760 --> 00:02:32.720]  船上的貨物是價值連城的
[00:02:32.720 --> 00:02:38.880]  至少有149個嘉南風格的長身陶瓷大缸
[00:02:38.880 --> 00:02:41.920]  這些大缸裏面載滿著各種的食物
[00:02:41.920 --> 00:02:45.520]  有杏仁 無花果 橄欖 葡萄
[00:02:45.520 --> 00:02:49.040]  另外在船上亦找到上等的木材
[00:02:49.040 --> 00:02:51.040]  是埃及而來的
[00:02:51.040 --> 00:02:54.480]  找到象牙 河馬牙十多條
[00:02:54.480 --> 00:03:00.880]  亦有象牙製的化妝用具 首飾 金銀寶石 馬路
[00:03:00.880 --> 00:03:03.440]  在船上亦找到不同的武器
[00:03:03.440 --> 00:03:08.080]  有箭頭 矛頭 匕首 軍用利劍
[00:03:08.080 --> 00:03:12.800]  最特別的是在船上找到未經提煉的銅和石
[00:03:12.800 --> 00:03:15.280]  銅的重量是十噸
[00:03:15.280 --> 00:03:17.840]  石的重量是一噸
[00:03:17.840 --> 00:03:24.640]  銅是來自當時希臘半島 塞浦路斯 克里特島等
[00:03:24.640 --> 00:03:26.480]  石是天
[00:03:26.480 --> 00:03:30.800]  主要的來源是來自今日的阿富汗
[00:03:30.800 --> 00:03:35.440]  青銅是當時最堅硬的材料
[00:03:35.440 --> 00:03:37.200]  是怎樣提煉出來的呢
[00:03:37.200 --> 00:03:42.000]  就是將銅和石以九比一的比例化合而成
[00:03:42.000 --> 00:03:49.040]  可以見到在船上的銅和石足以生產十一噸的青銅
[00:03:49.040 --> 00:03:53.040]  是當時最先進武器的原料
[00:03:53.040 --> 00:04:00.960]  這艘沉船的貨物來自七、八甚至更多的主要國家地區
[00:04:00.960 --> 00:04:06.480]  表示在青銅時期是一個盛世的時期
[00:04:06.480 --> 00:04:13.760]  由東邊開始有以蘭國、巴比倫、亞述、赫人帝國、埃及
[00:04:13.760 --> 00:04:18.640]  塞浦路斯島國、米萊島國、希臘的邁西尼國
[00:04:18.640 --> 00:04:21.520]  是當時的G7、G8
[00:04:21.520 --> 00:04:24.320]  我們從一些文件、泥板等等
[00:04:24.320 --> 00:04:27.760]  也知道當時這些國家彼此通商
[00:04:27.760 --> 00:04:30.000]  彼此有外交的關係
[00:04:30.000 --> 00:04:33.200]  在軍事上也有很多競爭
[00:04:33.200 --> 00:04:36.160]  是一個國際盛世的時候
[00:04:36.160 --> 00:04:38.880]  但很奇怪在青銅時代終末時期
[00:04:38.880 --> 00:04:40.640]  短短五十年
[00:04:40.640 --> 00:04:45.120]  我們估算大概是一二二五至一一七五年之間
[00:04:45.120 --> 00:04:50.000]  這些國家文明好像骨牌一樣突然逐個瓦解
[00:04:50.000 --> 00:04:52.880]  到底有什麼勢力使這些歷史悠久
[00:04:52.880 --> 00:04:57.040]  強大的文明政權好像一夜之間覆亡
[00:04:57.040 --> 00:05:05.360]  會不會是地震、旱災、戰爭、經濟崩潰、科技轉型
[00:05:05.360 --> 00:05:07.600]  政變、人口遷徙?
[00:05:07.600 --> 00:05:09.600]  還是疫症大流行?
[00:05:09.600 --> 00:05:26.000]  這套是土耳其的赫人帝國希泰帝王的京城
[00:05:26.000 --> 00:05:27.360]  赫圖沙
[00:05:27.360 --> 00:05:33.280]  赫圖沙本身是一個堅固防守的大古城
[00:05:33.280 --> 00:05:35.360]  歷史非常悠久
[00:05:35.360 --> 00:05:38.640]  但突然到了公元前一千二百年
[00:05:38.640 --> 00:05:42.320]  就被入侵、被大火所燒毀
[00:05:42.320 --> 00:05:44.160]  不單止赫圖沙是這樣
[00:05:44.160 --> 00:05:48.160]  其他在土耳其、敘利亞、以色列、巴哈斯坦等地的
[00:05:48.160 --> 00:05:51.200]  大城邦、海港、貿易中心
[00:05:51.200 --> 00:05:55.440]  都遭受同樣好像一夜之間的崩潰
[00:05:55.440 --> 00:05:58.320]  在埃及帝國有不同的紀錄
[00:05:58.320 --> 00:06:02.640]  提到有一浪又接一浪的入侵外敵
[00:06:02.640 --> 00:06:06.240]  這些外敵叫做 Sea Peoples 海人
[00:06:06.240 --> 00:06:10.560]  有很多是藉著陸路入侵中東不同城市
[00:06:10.560 --> 00:06:17.120]  也有很多是藉著海路入侵海港和埃及帝國
[00:06:17.120 --> 00:06:20.560]  他們是由不同的種族所造成
[00:06:20.560 --> 00:06:22.880]  埃及提到這些名字的時候
[00:06:22.880 --> 00:06:25.840]  有很多我們今天仍然很陌生
[00:06:25.840 --> 00:06:30.080]  我們不是太清楚這些族群的來頭
[00:06:30.080 --> 00:06:32.960]  不過其中一個叫做 Palazet
[00:06:32.960 --> 00:06:35.200]  這個所有的歷史學家都認定
[00:06:35.200 --> 00:06:38.720]  就是聖經裡面提到的非尼西人 Philistines
[00:06:38.720 --> 00:06:42.080]  埃及的法老蘭瑟三世 Wenceslas III
[00:06:42.080 --> 00:06:44.880]  曾經和這些海人 Sea Peoples
[00:06:44.880 --> 00:06:48.640]  在尼羅河的三角洲大戰過好幾場
[00:06:48.640 --> 00:06:50.160]  他將他們擊退
[00:06:50.160 --> 00:06:56.000]  然後這些非尼西人入主了迦南地的南面
[00:06:56.000 --> 00:06:57.440]  大家熟悉聖經的話
[00:06:57.440 --> 00:07:02.400]  就知道他們以後成為古以色列人的心腹大患
[00:07:02.400 --> 00:07:07.040]  曾經我們以為這些神秘的海人 Sea Peoples
[00:07:07.040 --> 00:07:12.800]  就是使青銅文明突然崩潰的唯一原因
[00:07:12.800 --> 00:07:15.360]  但如果你看一下這些壁畫
[00:07:15.360 --> 00:07:17.760]  你會看到這些 Sea Peoples
[00:07:17.760 --> 00:07:21.760]  他們是帶著小朋友、帶著女人
[00:07:21.760 --> 00:07:28.400]  似乎他們都是被迫逃避一些浩劫、一些天災人禍
[00:07:28.400 --> 00:07:31.600]  被迫遷徙到不同的地方
[00:07:31.600 --> 00:07:32.800]  在同一個時期
[00:07:32.800 --> 00:07:34.800]  在赫人帝國末期
[00:07:34.800 --> 00:07:38.160]  一個赫人的皇帝叫做穆西尼斯二世
[00:07:38.160 --> 00:07:42.240]  Moses II 他留下了一個這樣的祈禱
[00:07:42.240 --> 00:07:45.920]  他當時向赫人的神靈來討求
[00:07:45.920 --> 00:07:50.240]  他說赫人的雨神、我的主、赫人的忠臣
[00:07:50.240 --> 00:07:52.320]  到底你們做了什麼?
[00:07:52.320 --> 00:07:56.080]  在赫人之地你們釋放了瘟疫
[00:07:56.080 --> 00:07:59.040]  在我父、我兄弟和我的當前
[00:07:59.040 --> 00:08:01.600]  我不斷見到有死亡
[00:08:01.600 --> 00:08:04.800]  赫人已經有二十年之久
[00:08:04.800 --> 00:08:09.920]  根據這些不同的文件、歷史的資料、線索等等
[00:08:09.920 --> 00:08:14.720]  現在我們認為青銅文明突然崩潰
[00:08:14.720 --> 00:08:17.520]  原來是一場完美的風暴
[00:08:17.520 --> 00:08:19.520]  是一場 Perfect Storm
[00:08:19.520 --> 00:08:22.240]  有氣候的變化 Climate Change
[00:08:22.240 --> 00:08:25.440]  在希臘的半島有一連串的地震
[00:08:25.440 --> 00:08:27.920]  有世紀的寒災
[00:08:27.920 --> 00:08:30.480]  國與國之間有爭戰
[00:08:30.480 --> 00:08:33.440]  經濟崩潰、科技轉型
[00:08:33.440 --> 00:08:35.840]  也有疫病大流行
[00:08:35.840 --> 00:08:38.960]  人口遷徙甚至政變
[00:08:38.960 --> 00:08:41.920]  以致當時的超級大國
[00:08:41.920 --> 00:08:45.680]  包括埃及帝國也一落千丈
[00:08:45.680 --> 00:08:47.920]  你看看當時的情況
[00:08:47.920 --> 00:08:52.080]  你問一問 到底與今天有多少相似的地方
[00:08:52.080 --> 00:08:55.040]  所以歷史學家稱這一段的時候
[00:08:55.040 --> 00:08:57.840]  叫做地中海的末日浩劫
[00:08:57.840 --> 00:08:59.840]  Mediterranean Apocalypse
[00:08:59.840 --> 00:09:14.880]  剛才我們用了一個大歷史的圖畫
[00:09:14.880 --> 00:09:16.080]  我們看了之後
[00:09:16.080 --> 00:09:17.280]  我們再看實在
[00:09:17.280 --> 00:09:20.320]  似乎那個意義會有少許不同
[00:09:20.320 --> 00:09:24.880]  似乎實在不只是上帝審判埃及
[00:09:24.880 --> 00:09:30.400]  也表明神在人類的大歷史舞台背後工作
[00:09:30.400 --> 00:09:32.960]  實在只不過是一個縮影
[00:09:32.960 --> 00:09:35.040]  上帝要廢亡立王
[00:09:35.040 --> 00:09:36.880]  要改朝換代
[00:09:36.880 --> 00:09:39.280]  他要告訴埃及帝國
[00:09:39.280 --> 00:09:41.920]  要告訴整個世界的人類
[00:09:41.920 --> 00:09:45.600]  到底哪一個才是歷史的主宰
[00:09:45.600 --> 00:09:47.680]  如果你細心看
[00:09:47.680 --> 00:09:51.120]  聖經裡面記載十災
[00:09:51.120 --> 00:09:52.640]  是用不同的字句
[00:09:52.640 --> 00:09:54.320]  很多時候是重複的
[00:09:54.320 --> 00:09:58.640]  在結構裡面表達這個神號
[00:09:58.640 --> 00:10:00.160]  在十災的結構裡面
[00:10:00.160 --> 00:10:03.120]  你可以將十個災禍分成三組
[00:10:03.120 --> 00:10:06.560]  即是三三三一這樣分組
[00:10:06.560 --> 00:10:10.720]  每三個災禍成為一個組合
[00:10:10.720 --> 00:10:12.720]  每一組的頭一災
[00:10:12.720 --> 00:10:16.480]  都是由同樣的字句開始
[00:10:16.480 --> 00:10:17.600]  首先我們看第一組
[00:10:17.600 --> 00:10:20.000]  即是第一災水變血
[00:10:20.000 --> 00:10:21.920]  在七章第十四節
[00:10:21.920 --> 00:10:26.560]  明天早晨法老出來水邊的時候
[00:10:26.560 --> 00:10:31.040]  你摩西要在河邊迎接他
[00:10:31.040 --> 00:10:32.160]  到第二組了
[00:10:32.160 --> 00:10:33.680]  即是第四災
[00:10:33.680 --> 00:10:35.440]  八章二十節
[00:10:35.440 --> 00:10:37.280]  耶和華對摩西說
[00:10:37.280 --> 00:10:39.200]  你清早起來
[00:10:39.200 --> 00:10:41.120]  法老來到水邊
[00:10:41.120 --> 00:10:43.520]  你就站在他面前
[00:10:43.520 --> 00:10:45.280]  到第三組了
[00:10:45.280 --> 00:10:48.160]  開頭是第七災
[00:10:48.160 --> 00:10:49.360]  九章十三節
[00:10:49.360 --> 00:10:50.480]  耶和華對摩西說
[00:10:50.480 --> 00:10:55.760]  你清早起來站在法老的面前
[00:10:55.760 --> 00:10:58.880]  然後我們看每一組的第二災
[00:10:58.880 --> 00:11:00.160]  先看第一組
[00:11:00.160 --> 00:11:03.520]  即是第二災八章第一節
[00:11:03.520 --> 00:11:06.720]  你進去見法老對他說
[00:11:06.720 --> 00:11:08.640]  到第二組了
[00:11:08.640 --> 00:11:10.000]  即是第五災
[00:11:10.000 --> 00:11:11.200]  又是同樣的字句
[00:11:11.200 --> 00:11:14.240]  你進去見法老對他說
[00:11:14.240 --> 00:11:16.640]  到第三組了
[00:11:16.640 --> 00:11:18.160]  看第八災
