
[00:00:00.000 --> 00:00:08.000]  多謝大家再次歡迎,亦都係向大家請早安
[00:00:08.000 --> 00:00:22.000]  都請大家睇我哋剛才所讀嘅呢個生命記第八章
[00:00:22.000 --> 00:00:24.000]  我哋今朝早都係講呢一章
[00:00:30.000 --> 00:00:38.000]  我哋點樣從嗰段經文裏面睇見佢嘅重點呢?
[00:00:38.000 --> 00:00:43.000]  有陣時一開始就講㗎
[00:00:43.000 --> 00:00:47.000]  有時係講到尾先講
[00:00:47.000 --> 00:00:51.000]  不過有時係中間講㗎
[00:00:51.000 --> 00:00:55.000]  咁喺呢一個第八章就係咁
[00:01:01.000 --> 00:01:05.000]  我哋睇下個頭影睇睇呢一個經文嘅結構
[00:01:05.000 --> 00:01:10.000]  我哋等一等睇有定無先
[00:01:10.000 --> 00:01:13.000]  即係複雜嗰頭
[00:01:27.000 --> 00:01:31.000]  如果你睇呢一章經文就係開始嘅時候就講到話
[00:01:31.000 --> 00:01:33.000]  神畀佢哋嗰一個地方
[00:01:33.000 --> 00:01:44.000]  但係中間第十第十一節就係講話
[00:01:44.000 --> 00:01:48.000]  你哋喺呢一個神所畀嘅地上就千祈唔好忘記佢
[00:01:58.000 --> 00:02:01.000]  喺呢節聖經之前就會講到
[00:02:01.000 --> 00:02:05.000]  喺呢個曠野裏面所經受嘅一種種嘅試煉
[00:02:05.000 --> 00:02:15.000]  同時都係會講到
[00:02:15.000 --> 00:02:18.000]  喺呢一個所得嘅地上嗰一切要享嘅福
[00:02:24.000 --> 00:02:28.000]  咁而家我哋呢個頭影都會講到呢一個經文排列嘅次序
[00:02:28.000 --> 00:02:31.000]  不過嗰個模式都唔係好清楚顯示出嚟
[00:02:31.000 --> 00:02:42.000]  無論如何摩西喺呢一度就係先講
[00:02:42.000 --> 00:02:44.000]  一二三四五點
[00:02:44.000 --> 00:02:51.000]  然後十一節就係第五點
[00:02:51.000 --> 00:02:55.000]  喺呢一個地上唔好忘記耶和華你嘅神
[00:02:55.000 --> 00:03:02.000]  嚟到第五之後
[00:03:02.000 --> 00:03:06.000]  跟住又四三二一去返原先所講嘅
[00:03:06.000 --> 00:03:11.000]  所以就好似一個大圈咁樣
[00:03:11.000 --> 00:03:17.000]  去返一個完整嘅圈去返起點
[00:03:22.000 --> 00:03:25.000]  將呢兩半夾埋嘅時候
