
[00:00:00.000 --> 00:00:02.960]  大家好,又讀聖經了
[00:00:02.960 --> 00:00:07.360]  《生命書》和大家一起看聖經人和聖經的事
[00:00:07.360 --> 00:00:11.440]  這次是以色列人吃馬拿四十年
[00:00:11.440 --> 00:00:13.520]  這件事也不簡單
[00:00:13.520 --> 00:00:16.720]  其實你詳細想下去,想深一層
[00:00:16.720 --> 00:00:18.000]  真的不簡單
[00:00:18.000 --> 00:00:20.080]  因為四十年
[00:00:20.080 --> 00:00:23.440]  一年三百六十五天,一日三餐
[00:00:23.440 --> 00:00:26.880]  四十年上帝供應馬拿給他們
[00:00:26.880 --> 00:00:30.480]  直到他們進入了應許之地
[00:00:30.480 --> 00:00:32.640]  馬拿才停止
[00:00:32.640 --> 00:00:35.600]  這也是每一日的神蹟
[00:00:35.600 --> 00:00:39.200]  以色列人吃馬拿四十年
[00:00:39.200 --> 00:00:42.400]  開始時是有一段故事
[00:00:42.400 --> 00:00:46.720]  今天跟大家講一下這個故事開始
[00:00:46.720 --> 00:00:49.520]  仍然是摩西亞倫
[00:00:49.520 --> 00:00:52.720]  帶著以色列人出埃及
[00:00:52.720 --> 00:00:57.040]  當然真正帶著的是神
[00:00:57.040 --> 00:00:59.120]  耶和華神在做的
[00:00:59.120 --> 00:01:02.080]  《出埃及記》第十六章
[00:01:02.080 --> 00:01:03.760]  這次我先讀完聖經
[00:01:03.760 --> 00:01:08.160]  一邊讀一邊講,然後再講重要的要點
[00:01:08.160 --> 00:01:14.880]  第十節,亞倫正對以色列傳會眾說話的時候
[00:01:14.880 --> 00:01:19.440]  你會看到,摩西沒有說是亞倫代表摩西說
[00:01:19.440 --> 00:01:23.200]  有兩個領袖,摩西和亞倫
[00:01:23.200 --> 00:01:27.760]  摩西說:我不認識,我口才不好
[00:01:27.760 --> 00:01:31.760]  神說:我叫你哥哥一起吧,亞倫口才很好
[00:01:31.760 --> 00:01:36.560]  如果我個人認為,如果摩西當日沒有推
[00:01:36.560 --> 00:01:39.120]  摩西就做了一個獨一的領袖
[00:01:39.120 --> 00:01:42.480]  不過現在,他覺得口才不好
[00:01:42.480 --> 00:01:44.400]  神說:我叫亞倫一起
[00:01:44.400 --> 00:01:47.840]  於是就有摩西和亞倫一起
[00:01:47.840 --> 00:01:51.200]  分了工作給他的哥哥
[00:01:51.200 --> 00:01:55.520]  也分了領導的力量給他的哥哥
[00:01:55.520 --> 00:01:59.360]  亞倫正對以色列傳會眾說話的時候
[00:01:59.360 --> 00:02:02.560]  他們向曠野觀下看
[00:02:02.560 --> 00:02:06.400]  他們是指以色列傳會眾
[00:02:06.400 --> 00:02:08.720]  說的時候不料
[00:02:08.720 --> 00:02:12.480]  耶和華的榮光在雲中顯現
[00:02:12.480 --> 00:02:19.520]  嘩!一看就覺得是一種感覺榮耀
[00:02:19.520 --> 00:02:22.320]  有時候我們也會發生
