
[00:00:00.000 --> 00:00:03.000]  有些人說傳道書不是給年輕人看的
[00:00:03.000 --> 00:00:07.000]  因為傳道書太過灰暗
[00:00:07.000 --> 00:00:10.000]  一個老人家在前塵往事
[00:00:10.000 --> 00:00:17.000]  說很多他所經歷過的甜酸苦辣
[00:00:17.000 --> 00:00:23.000]  跟小朋友、年輕人、青年人
[00:00:23.000 --> 00:00:26.000]  充滿活力的那種生命
[00:00:26.000 --> 00:00:30.000]  好像是不對的
[00:00:30.000 --> 00:00:34.000]  你就看不明白傳道書了
[00:00:34.000 --> 00:00:39.000]  傳道書其實寫出來是給年輕人看的
[00:00:39.000 --> 00:00:42.000]  寫給年輕一代看的
[00:00:42.000 --> 00:00:45.000]  因為已經好像傳道者
[00:00:45.000 --> 00:00:48.000]  他自己經歷的時候
[00:00:48.000 --> 00:00:50.000]  他自己都知道的了
[00:00:50.000 --> 00:00:52.000]  不需要再看了
[00:00:52.000 --> 00:00:54.000]  誰需要看呢
[00:00:54.000 --> 00:00:58.000]  就是我們這一班年輕有力的
[00:00:58.000 --> 00:01:02.000]  今天講種種世間不平事
[00:01:02.000 --> 00:01:04.000]  甚麼是不平事呢?
[00:01:04.000 --> 00:01:05.000]  即是不公道的事
[00:01:05.000 --> 00:01:09.000]  即是不是半斤就得到八兩的事
[00:01:09.000 --> 00:01:12.000]  很多有你說不清的事情
[00:01:12.000 --> 00:01:14.000]  很多人生的道理
[00:01:14.000 --> 00:01:17.000]  我們怎樣去評估呢?
[00:01:17.000 --> 00:01:19.000]  一直講下去的
[00:01:19.000 --> 00:01:23.000]  上星期我們講到這個世界沒有新事
[00:01:23.000 --> 00:01:25.000]  每一件事都有它的時辰
[00:01:25.000 --> 00:01:27.000]  有它的季節
[00:01:27.000 --> 00:01:29.000]  再上星期講到工作
[00:01:29.000 --> 00:01:32.000]  工作勞碌是為了甚麼呢?
[00:01:32.000 --> 00:01:35.000]  今天傳道織繼續講下去
[00:01:35.000 --> 00:01:39.000]  每一個段落都是彼此關連的
[00:01:39.000 --> 00:01:40.000]  種種的不平事
[00:01:40.000 --> 00:01:42.000]  第一件事它講的就是
[00:01:42.000 --> 00:01:49.000]  大家看看第三章的第十六節
[00:01:49.000 --> 00:01:53.000]  講到第十七節
[00:01:53.000 --> 00:01:55.000]  我用這個譯本來讀出來的
[00:01:55.000 --> 00:01:59.000]  它說我又看到世太陽底下
[00:01:59.000 --> 00:02:02.000]  審判庭裡有邪惡
[00:02:02.000 --> 00:02:05.000]  使得連審判庭都腐敗了
[00:02:05.000 --> 00:02:07.000]  我們對自己說
[00:02:07.000 --> 00:02:10.000]  時候一到上帝必定審判所有的人
[00:02:10.000 --> 00:02:12.000]  無論好人還是壞人
[00:02:12.000 --> 00:02:16.000]  要按各人所做的一切受審判
[00:02:16.000 --> 00:02:19.000]  你對著自己手頭的版本
[00:02:19.000 --> 00:02:22.000]  誰容易明白一點?
[00:02:22.000 --> 00:02:24.000]  誰容易明白一點?
[00:02:24.000 --> 00:02:26.000]  這個很容易明白吧?
[00:02:26.000 --> 00:02:28.000]  打出來的版本容易明白很多
[00:02:28.000 --> 00:02:30.000]  所以我為甚麼要有人派本
[00:02:30.000 --> 00:02:32.000]  分給自己看看
[00:02:32.000 --> 00:02:34.000]  其實不用我解釋
[00:02:34.000 --> 00:02:37.000]  這個講章是傳道織的講章
[00:02:37.000 --> 00:02:39.000]  它已經講了
[00:02:39.000 --> 00:02:40.000]  不用解釋
[00:02:40.000 --> 00:02:41.000]  因為它已經解釋給你聽
[00:02:41.000 --> 00:02:45.000]  這個譯本已經將意思解釋給你聽
[00:02:45.000 --> 00:02:46.000]  為甚麼呢?
[00:02:46.000 --> 00:02:48.000]  它說世間的不平是
[00:02:48.000 --> 00:02:51.000]  就是其實你以為可以去法庭
[00:02:51.000 --> 00:02:55.000]  去審判庭那裡去拿到公道
[00:02:55.000 --> 00:02:57.000]  但是傳道者就說
[00:02:57.000 --> 00:03:01.000]  在法庭裡面不一定是沒有邪惡的
[00:03:01.000 --> 00:03:03.000]  這個法庭的場景裡面
[00:03:03.000 --> 00:03:07.000]  那個審判者或者他所根據的那些法律
[00:03:07.000 --> 00:03:11.000]  都不一定是沒有邪惡的
[00:03:11.000 --> 00:03:15.000]  世界上太陽底下一切的事情
[00:03:15.000 --> 00:03:18.000]  包括了法庭都有邪惡的
[00:03:18.000 --> 00:03:20.000]  如果你有問題的時候
[00:03:20.000 --> 00:03:22.000]  你可以跟誰上訴?
[00:03:22.000 --> 00:03:23.000]  向誰上訴?
[00:03:23.000 --> 00:03:28.000]  誰能夠為正邪來訂婚戒?
[00:03:28.000 --> 00:03:30.000]  沒有的
[00:03:30.000 --> 00:03:32.000]  甚麼叫正甚麼叫邪呢?
[00:03:32.000 --> 00:03:33.000]  有時法庭判
[00:03:33.000 --> 00:03:38.000]  法庭你覺得它完全不知道甚麼叫正甚麼叫邪
[00:03:38.000 --> 00:03:42.000]  有時將黑變成白,白變成黑都可以的
[00:03:42.000 --> 00:03:43.000]  是不是這樣呢?
[00:03:43.000 --> 00:03:46.000]  是的,很多事情都是這樣
[00:03:46.000 --> 00:03:48.000]  所以這個傳道者就問
[00:03:48.000 --> 00:03:49.000]  誰來審判呢?
[00:03:49.000 --> 00:03:51.000]  誰是審判官呢?
[00:03:51.000 --> 00:03:53.000]  我們可以跟誰上訴呢?
[00:03:53.000 --> 00:03:54.000]  傳社說是有的
[00:03:54.000 --> 00:03:56.000]  在太陽之下就沒有
[00:03:56.000 --> 00:03:59.000]  在太陽之上就有一個最終的終審庭
[00:03:59.000 --> 00:04:00.000]  那個就是上帝
[00:04:00.000 --> 00:04:02.000]  你在高度上的終審庭
[00:04:02.000 --> 00:04:04.000]  就是太陽之上有上帝
[00:04:04.000 --> 00:04:05.000]  有祂在
[00:04:05.000 --> 00:04:07.000]  那麼祂何時可以審呢?
[00:04:07.000 --> 00:04:10.000]  祂說一定有時候的
[00:04:10.000 --> 00:04:12.000]  時候一到就會開審了
[00:04:12.000 --> 00:04:14.000]  那麼這個有些回應上文講到
[00:04:14.000 --> 00:04:16.000]  甚麼事都有定時的
[00:04:16.000 --> 00:04:17.000]  有個定時
[00:04:17.000 --> 00:04:21.000]  時候來到就會開審了
[00:04:21.000 --> 00:04:23.000]  那麼怎樣審法呢?
[00:04:23.000 --> 00:04:25.000]  祂說祂很公道的
[00:04:25.000 --> 00:04:28.000]  好人壞人都一樣審的
[00:04:28.000 --> 00:04:30.000]  哪個好人壞人一樣要審呢?
[00:04:30.000 --> 00:04:33.000]  這個庭不是只審壞人的
[00:04:33.000 --> 00:04:34.000]  因為首先呢
[00:04:34.000 --> 00:04:36.000]  大家都以為自己是好人
[00:04:36.000 --> 00:04:38.000]  或者說有些壞人
[00:04:38.000 --> 00:04:40.000]  認為自己都是好人
[00:04:40.000 --> 00:04:42.000]  或者這個好人認為自己是好人
[00:04:42.000 --> 00:04:44.000]  因為他比壞人好一點
[00:04:44.000 --> 00:04:45.000]  沒有壞人那麼壞
[00:04:45.000 --> 00:04:47.000]  所以祂說好人壞人
[00:04:47.000 --> 00:04:49.000]  都要在這個審判庭上
[00:04:49.000 --> 00:04:50.000]  來受審
[00:04:50.000 --> 00:04:51.000]  是根據甚麼來受審呢?
[00:04:51.000 --> 00:04:53.000]  根據他的行為
[00:04:53.000 --> 00:04:57.000]  他的所作所為來審判
[00:04:57.000 --> 00:04:59.000]  這個世間上
[00:04:59.000 --> 00:05:01.000]  是有很多不平事的
[00:05:01.000 --> 00:05:02.000]  我們不知道甚麼叫正
[00:05:02.000 --> 00:05:03.000]  甚麼叫邪
[00:05:03.000 --> 00:05:04.000]  在地上
[00:05:04.000 --> 00:05:06.000]  當你找不出道理的時候
[00:05:06.000 --> 00:05:09.000]  你有一個日光之上
[00:05:09.000 --> 00:05:11.000]  就是終審庭
[00:05:11.000 --> 00:05:12.000]  在上帝那裡
[00:05:12.000 --> 00:05:14.000]  這個傳道者告訴我們
[00:05:14.000 --> 00:05:17.000]  告訴我們
[00:05:17.000 --> 00:05:19.000]  有的
[00:05:19.000 --> 00:05:22.000]  有正和邪的
[00:05:22.000 --> 00:05:24.000]  有賞善有罰惡的
[00:05:24.000 --> 00:05:25.000]  在上帝那裡
[00:05:25.000 --> 00:05:28.000]  在日光之上
[00:05:28.000 --> 00:05:31.000]  所以當我們見到這個世界上
[00:05:31.000 --> 00:05:32.000]  有些不平事
[00:05:32.000 --> 00:05:35.000]  你不用遠看
[00:05:35.000 --> 00:05:36.000]  你知道
[00:05:36.000 --> 00:05:38.000]  在神的眼裡
[00:05:38.000 --> 00:05:41.000]  祂會定分界
[00:05:41.000 --> 00:05:42.000]  祂要審判
[00:05:42.000 --> 00:05:45.000]  祂有祂的時候
[00:05:45.000 --> 00:05:46.000]  你說甚麼時候?
[00:05:46.000 --> 00:05:48.000]  是否等到主宰的時候?
[00:05:48.000 --> 00:05:49.000]  等到世界末日的時候?
[00:05:49.000 --> 00:05:50.000]  你不要這樣說
[00:05:50.000 --> 00:05:51.000]  祂不是這樣說
[00:05:51.000 --> 00:05:52.000]  祂一定有時候的
[00:05:52.000 --> 00:05:56.000]  一定有時候的
[00:05:56.000 --> 00:05:58.000]  放長色眼睛來看吧
[00:05:58.000 --> 00:06:00.000]  第二段
[00:06:00.000 --> 00:06:02.000]  第二段就是
[00:06:02.000 --> 00:06:06.000]  第三章第十八節
