
[00:00:00.000 --> 00:00:02.000]  好,我們再一次一起祈禱
[00:00:02.000 --> 00:00:06.500]  多謝我們的主在各樣的事上面
[00:00:06.500 --> 00:00:09.500]  有你的看顧,有你的帶領
[00:00:09.500 --> 00:00:11.500]  你保守我們,讓我們知道
[00:00:11.500 --> 00:00:14.000]  我們所做的一切
[00:00:14.000 --> 00:00:18.000]  是都來自你的恩典
[00:00:18.000 --> 00:00:21.000]  亦都來自你的智慧
[00:00:21.000 --> 00:00:24.500]  楊主今天在我們這個經拜的時候
[00:00:24.500 --> 00:00:26.000]  侍奉你的時候
[00:00:26.000 --> 00:00:31.000]  都會繼續的經歷你各樣的豐盛的恩典
[00:00:31.000 --> 00:00:34.000]  感恩奉耶穌的名,阿們
[00:00:34.000 --> 00:00:36.000]  大家都聽到我的聲音比較
[00:00:36.000 --> 00:00:39.000]  今日慈盛了一點
[00:00:39.000 --> 00:00:43.000]  昨晚又跟一位姿態,講電話
[00:00:43.000 --> 00:00:46.000]  他說很多聖經的問題,團契的問題
[00:00:46.000 --> 00:00:48.000]  要問一下我,講著講著
[00:00:48.000 --> 00:00:50.000]  講了一個多小時
[00:00:50.000 --> 00:00:55.000]  他都發覺,你的聲音好像不是很痛
[00:00:55.000 --> 00:00:57.000]  請大家紀念一下
[00:00:57.000 --> 00:01:00.000]  今日還要講三堂道
[00:01:00.000 --> 00:01:07.000]  今日我們這段經文講到
[00:01:07.000 --> 00:01:11.000]  主耶穌這個餵飽五仙人
[00:01:11.000 --> 00:01:15.000]  這個五餅二魚的神蹟
[00:01:15.000 --> 00:01:20.000]  有很多連未信的朋友都會聽過
[00:01:20.000 --> 00:01:23.000]  初信的可能不是聽很多
[00:01:23.000 --> 00:01:26.000]  但都很認識一下
[00:01:26.000 --> 00:01:30.000]  信得幾十年的弟兄姊妹在座都不少
[00:01:30.000 --> 00:01:35.000]  所以這個神蹟五餅二魚
[00:01:35.000 --> 00:01:38.000]  我們經常都會講的
[00:01:38.000 --> 00:01:41.000]  這個神蹟有些特別的地方
[00:01:41.000 --> 00:01:45.000]  第一樣就是在呼音書裡面
[00:01:45.000 --> 00:01:50.000]  有兩個神蹟是四卷的呼音書
[00:01:50.000 --> 00:01:52.000]  都會有記載的
[00:01:52.000 --> 00:01:55.000]  第一個最重要的當然就是
[00:01:55.000 --> 00:01:58.000]  耶穌的復活這個神蹟
[00:01:58.000 --> 00:02:03.000]  四卷呼音書都很詳細的去記錄
[00:02:03.000 --> 00:02:07.000]  另外一個就是這個五餅二魚這個神蹟
[00:02:07.000 --> 00:02:09.000]  是四卷呼音書都有的
[00:02:09.000 --> 00:02:13.000]  所以可以說從這樣
[00:02:13.000 --> 00:02:17.000]  基本上都已經看到
[00:02:17.000 --> 00:02:22.000]  聖經對於記載這個神蹟是
[00:02:22.000 --> 00:02:24.000]  有這麼特別的地位
[00:02:24.000 --> 00:02:27.000]  也都給我們知道
[00:02:27.000 --> 00:02:31.000]  我們應該要更深入一些去思想
[00:02:31.000 --> 00:02:37.000]  究竟神是要跟我們講些什麼呢
[00:02:37.000 --> 00:02:39.000]  很多人都很想見到神蹟
[00:02:39.000 --> 00:02:43.000]  現在這個時代一樣很多人想見到神蹟
[00:02:43.000 --> 00:02:45.000]  而當時這裡記載的就是
[00:02:45.000 --> 00:02:48.000]  有很多人是跟隨耶穌
[00:02:48.000 --> 00:02:52.000]  因為他們見過耶穌行的神蹟
[00:02:52.000 --> 00:02:54.000]  就會覺得如果我們見到神蹟
[00:02:54.000 --> 00:02:57.000]  我們就知道耶穌是神
[00:02:57.000 --> 00:03:00.000]  但是其實人是很矛盾的
[00:03:00.000 --> 00:03:02.000]  你真的見到耶穌行神蹟
[00:03:02.000 --> 00:03:06.000]  你又未必真的信耶穌
[00:03:06.000 --> 00:03:09.000]  你說就說如果我見到我就會信
[00:03:09.000 --> 00:03:11.000]  但是到你見到之後
[00:03:11.000 --> 00:03:14.000]  你都可以是一樣不信
[00:03:14.000 --> 00:03:17.000]  人就是這麼脆弱的
[00:03:17.000 --> 00:03:20.000]  而在約翰福音裡面
[00:03:20.000 --> 00:03:23.000]  記載的所有的神蹟
[00:03:23.000 --> 00:03:25.000]  幾乎都可以說
[00:03:25.000 --> 00:03:27.000]  那個主要的目的
[00:03:27.000 --> 00:03:32.000]  是要顯示耶穌祂的大能
[00:03:32.000 --> 00:03:34.000]  和祂的榮耀
[00:03:34.000 --> 00:03:37.000]  以至人是知道
[00:03:37.000 --> 00:03:39.000]  耶穌就是神的兒子
[00:03:39.000 --> 00:03:42.000]  耶穌就是神
[00:03:42.000 --> 00:03:45.000]  是不是很矛盾呢
[00:03:45.000 --> 00:03:47.000]  你見到你以為你會信
[00:03:47.000 --> 00:03:49.000]  你未見到你說我信
[00:03:49.000 --> 00:03:51.000]  我見到我就會信
[00:03:51.000 --> 00:03:55.000]  但是到你見到你又可以不信
[00:03:55.000 --> 00:03:57.000]  人就是這麼奇怪
[00:03:57.000 --> 00:04:00.000]  連這個五餅二魚的神蹟
[00:04:00.000 --> 00:04:02.000]  其實都是一樣
[00:04:02.000 --> 00:04:04.000]  為什麼約翰會在這裡
[00:04:04.000 --> 00:04:06.000]  記載五餅二魚的神蹟
[00:04:06.000 --> 00:04:07.000]  甚至你可以說
[00:04:07.000 --> 00:04:14.000]  為什麼耶穌會行五餅二魚的神蹟呢
[00:04:14.000 --> 00:04:17.000]  當然耶穌也真的關顧人
[00:04:17.000 --> 00:04:18.000]  是關心人的
[00:04:18.000 --> 00:04:21.000]  祂真的見到這些跟從祂
[00:04:21.000 --> 00:04:23.000]  要聽祂講道的人
[00:04:23.000 --> 00:04:25.000]  已經是開始夜了
[00:04:25.000 --> 00:04:27.000]  沒有飯吃了
