
[00:00:00.000 --> 00:00:05.520]  頂節目早晨,好開心今日係當中同大家分享神嘅話語
[00:00:05.520 --> 00:00:10.680]  我都唔好習慣見到呢張相,可能下一張
[00:00:10.680 --> 00:00:16.760]  我嚟咗Melbourne18年㗎啦
[00:00:16.760 --> 00:00:21.480]  咁我介紹我自己嘅屋企先啦
[00:00:21.480 --> 00:00:26.920]  其實我講到習慣大家可以畀少少反應我㗎
[00:00:26.920 --> 00:00:28.920]  咁我今朝都幾早起身㗎
[00:00:28.920 --> 00:00:30.920]  咁如果你呢可以畀少少反應呢
[00:00:30.920 --> 00:00:32.920]  我就會做啲醒㗎,得唔得?
[00:00:32.920 --> 00:00:36.120]  你同佳麗都講啦,唔該幫幫手咁樣
[00:00:36.120 --> 00:00:38.120]  你同佳麗都講,好唔好?
[00:00:38.120 --> 00:00:42.680]  好,預備,我嚟咗18年,我嘅家庭
[00:00:42.680 --> 00:00:46.600]  咁我太太而家繼續喺Cosway教會侍奉
[00:00:46.600 --> 00:00:51.320]  我而家要去計一計我個眼嘅
[00:00:51.320 --> 00:00:53.960]  因為我有時我行得前呢,我好似望唔到你哋
[00:00:53.960 --> 00:00:55.960]  我而家要望一望你哋先
[00:00:55.960 --> 00:00:58.320]  我太太繼續喺Cosway教會侍奉㗎
[00:00:58.320 --> 00:01:01.120]  我而家都喺Cosway教會侍奉㗎
[00:01:01.120 --> 00:01:07.360]  咁就我大學畢業呢,我讀社工嘅
[00:01:07.360 --> 00:01:12.040]  我大學畢業呢就去咗一間福音界度侍奉
[00:01:12.040 --> 00:01:14.640]  咗五年,咁你睇我嘅裝束
[00:01:14.640 --> 00:01:18.400]  你又知道我留住一啲比較基層呀
[00:01:18.400 --> 00:01:19.840]  服侍社區呀咁樣
[00:01:19.840 --> 00:01:23.320]  所以我喺教會一般呢就
[00:01:23.320 --> 00:01:25.320]  弟兄姊妹都叫我Alex嘅
[00:01:25.320 --> 00:01:29.880]  我14年按咗木嘅,但我教會嘅文化都係叫我Alex
[00:01:29.880 --> 00:01:31.880]  咁因為喺大家心目中呢
[00:01:31.880 --> 00:01:35.600]  抗牧師嘅形象呢,你起起身呀,幫幫手,唔該
[00:01:35.600 --> 00:01:37.600]  你幫幫手呀
[00:01:37.600 --> 00:01:40.920]  好有個性,我知道佢嘅
[00:01:40.920 --> 00:01:45.480]  咁佢就似啲牧師嘅樣㗎嘛,係咪呀
[00:01:45.480 --> 00:01:48.120]  係啦,咁我係咁嘅樣㗎嘛
[00:01:48.120 --> 00:01:50.120]  我係咁嘅樣㗎嘛
[00:01:50.120 --> 00:01:52.120]  唔好意思呀,因為我第一次喺度講到
[00:01:52.120 --> 00:01:54.920]  我唔係好慣,我通常會快少少㗎
[00:01:54.920 --> 00:01:56.920]  okok,呢個教會嘅
[00:01:56.920 --> 00:01:58.920]  cosplay教會先,ok
[00:01:58.920 --> 00:02:00.920]  係啦,咁我
[00:02:00.920 --> 00:02:02.920]  我喺呼音誡讀裏面
[00:02:02.920 --> 00:02:04.920]  似乎嗰五年啦,有冇人
[00:02:04.920 --> 00:02:06.920]  聽過呼音誡讀㗎
[00:02:06.920 --> 00:02:08.920]  通常聽過神稀會啦
[00:02:08.920 --> 00:02:10.920]  我太太呢第一個工作就係
[00:02:10.920 --> 00:02:12.920]  喺神稀會教書嘅
[00:02:12.920 --> 00:02:14.920]  嗰陣時都攀拖,所以神好大嘅
[00:02:14.920 --> 00:02:16.920]  恩典畀我哋有機會
[00:02:16.920 --> 00:02:18.920]  好細個開始呢其實
[00:02:18.920 --> 00:02:20.920]  已經去接觸社區
[00:02:20.920 --> 00:02:22.920]  有需要嘅人啦,福音係神嘅
[00:02:22.920 --> 00:02:24.920]  大能啦,要救一切相信嘅人啦
[00:02:24.920 --> 00:02:26.920]  如果我講嘅時候
[00:02:26.920 --> 00:02:28.920]  你認識你嘅
[00:02:28.920 --> 00:02:30.920]  朋友係曾經被
[00:02:30.920 --> 00:02:32.920]  毒海捆綁
[00:02:32.920 --> 00:02:34.920]  經歷耶穌嘅改變,根深改變
[00:02:34.920 --> 00:02:36.920]  突破呢,我頭先
[00:02:36.920 --> 00:02:38.920]  講嗰句,福音係神嘅大能
[00:02:38.920 --> 00:02:40.920]  要救一切相信嘅人呢
[00:02:40.920 --> 00:02:42.920]  就唔係口腔腔啦,唔係好似
[00:02:42.920 --> 00:02:44.920]  我哋講完嗰啲經文
[00:02:44.920 --> 00:02:46.920]  其實未入心就講咗出嚟
[00:02:46.920 --> 00:02:48.920]  福音係神嘅大能
[00:02:48.920 --> 00:02:50.920]  要救一切相信嘅人
[00:02:50.920 --> 00:02:52.920]  如果你喺座當中你仍然
[00:02:52.920 --> 00:02:54.920]  有一啲嘅朋友
[00:02:54.920 --> 00:02:56.920]  甚至乎係你嘅家人
[00:02:56.920 --> 00:02:58.920]  係經歷
[00:02:58.920 --> 00:03:00.920]  喺生命裏面嘅捆綁
[00:03:00.920 --> 00:03:02.920]  難關,痛苦
[00:03:02.920 --> 00:03:04.920]  福音係神嘅大能
[00:03:04.920 --> 00:03:06.920]  要救一切相信嘅人
[00:03:06.920 --> 00:03:08.920]  願意你同我都係一個信心嘅宣告
[00:03:08.920 --> 00:03:10.920]  雖然我哋未睇見
[00:03:10.920 --> 00:03:12.920]  但我哋相信我哋嘅神係信實
[00:03:12.920 --> 00:03:14.920]  係慈愛,係憐憫,係有能力
[00:03:14.920 --> 00:03:16.920]  福音係神嘅大能
[00:03:16.920 --> 00:03:18.920]  要救一切相信嘅人
[00:03:18.920 --> 00:03:20.920]  咁我喺嗰五年裏面
[00:03:20.920 --> 00:03:22.920]  有好多學習啦
