
[00:00:00.000 --> 00:00:03.160]  各位弟兄姊妹,各位朋友,平安!
[00:00:03.160 --> 00:00:07.160]  感謝神給我們在這個世代
[00:00:07.160 --> 00:00:10.200]  大家可以彼此問候
[00:00:10.200 --> 00:00:12.280]  用「平安」兩個字問候
[00:00:12.280 --> 00:00:15.680]  神的恩典,讓我有機會這一次
[00:00:15.680 --> 00:00:18.680]  在福音主日跟大家一起分享訊息
[00:00:18.680 --> 00:00:24.560]  這一段時間,真的跟國福堂很有聯繫
[00:00:24.560 --> 00:00:27.600]  昨天下午,我不到二十四小時又來過
[00:00:27.840 --> 00:00:30.440]  昨天下午的團契又是講福音聚會
[00:00:30.440 --> 00:00:33.160]  所以,我自己想一下
[00:00:33.160 --> 00:00:36.800]  到底有什麼福音在主日崇拜
[00:00:36.800 --> 00:00:39.800]  也適合我們每個弟兄姊妹聽的
[00:00:39.800 --> 00:00:42.560]  剛才見到有新的朋友來
[00:00:42.560 --> 00:00:45.760]  所以朋友們你們不需要太介懷
[00:00:45.760 --> 00:00:48.760]  你們是小眾,不過你們是嘉賓
[00:00:48.760 --> 00:00:52.080]  也是神心目中很尊貴的
[00:00:52.080 --> 00:00:54.600]  所以希望今天透過這個永遠的福音
[00:00:54.600 --> 00:01:00.080]  讓大家明白,到底,個個都想要福音
[00:01:00.080 --> 00:01:03.160]  那麼上帝將福音給哪些人呢?
[00:01:03.160 --> 00:01:07.120]  個個都想要福音,福音就是好消息
[00:01:07.120 --> 00:01:12.880]  人隨著年紀的不同,你的好消息也有不同
[00:01:12.880 --> 00:01:16.040]  小時候你的好消息就是名校收了你
[00:01:16.040 --> 00:01:17.200]  那就是好消息
[00:01:17.200 --> 00:01:20.960]  到你長大的時候,你想找工作
[00:01:20.960 --> 00:01:23.880]  就有一間大行請了你
[00:01:24.400 --> 00:01:29.280]  大行請你,我所謂大行就是有規模的企業
[00:01:29.280 --> 00:01:32.400]  那你覺得一定沒問題的
[00:01:32.400 --> 00:01:35.480]  你知不知道現在在香港就比較少一點
[00:01:35.480 --> 00:01:38.600]  在外國有些地方,一裁員的時候
[00:01:38.600 --> 00:01:41.920]  就不是裁一個兩個的,裁成千人的
[00:01:41.920 --> 00:01:46.280]  一千人以上
[00:01:46.280 --> 00:01:51.000]  所以很多時候,你覺得當時是一個好消息
[00:01:51.000 --> 00:01:53.240]  但過後是不是呢?不知道
[00:01:53.600 --> 00:01:55.560]  但今天要跟大家說的就是
[00:01:55.560 --> 00:02:01.960]  任何時間,永遠的都是好消息
[00:02:01.960 --> 00:02:04.160]  問題是你要不要呢?
[00:02:04.160 --> 00:02:08.160]  哪有這麼好賺的?聖經是這樣記載的
